"rownum","BaseItemTypesKey","ItemCurrentLevel","Experience"
0,4797,1,0
1,4797,2,70
2,4797,3,378
3,4797,4,1932
4,4797,5,8599
5,4797,6,34646
6,4797,7,84371
7,4797,8,180085
8,4797,9,349680
9,4797,10,633439
10,4797,11,1087435
11,4797,12,1790563
12,4797,13,2851786
13,4797,14,4917656
14,4797,15,7424766
15,4797,16,13223702
16,4797,17,28307621
17,4797,18,56100356
18,4797,19,99970095
19,4797,20,342051651
20,4798,1,0
21,4798,2,15249
22,4798,3,56766
23,4798,4,138749
24,4798,5,286717
25,4798,6,537274
26,4798,7,942360
27,4798,8,1390078
28,4798,9,2005396
29,4798,10,2840035
30,4798,11,4410795
31,4798,12,6044782
32,4798,13,8195812
33,4798,14,11008001
34,4798,15,16107361
35,4798,16,25508092
36,4798,17,40781458
37,4798,18,67068040
38,4798,19,129958630
39,4798,20,342004647
40,4799,1,0
41,4799,2,9569
42,4799,3,37758
43,4799,4,96904
44,4799,5,208096
45,4799,6,401896
46,4799,7,722176
47,4799,8,1081266
48,4799,9,1579774
49,4799,10,2261831
50,4799,11,3183608
51,4799,12,4911487
52,4799,13,6703256
53,4799,14,9056935
54,4799,15,12127847
55,4799,16,21223313
56,4799,17,37263203
57,4799,18,67080320
58,4799,19,129975376
59,4799,20,342026975
60,4802,1,0
61,4802,2,15249
62,4802,3,56766
63,4802,4,138749
64,4802,5,286717
65,4802,6,537274
66,4802,7,942360
67,4802,8,1390078
68,4802,9,2005396
69,4802,10,2840035
70,4802,11,4410795
71,4802,12,6044782
72,4802,13,8195812
73,4802,14,11008001
74,4802,15,16107361
75,4802,16,25508092
76,4802,17,40781458
77,4802,18,67068040
78,4802,19,129958630
79,4802,20,342004647
80,4804,1,0
81,4804,2,70
82,4804,3,378
83,4804,4,1932
84,4804,5,8599
85,4804,6,34646
86,4804,7,84371
87,4804,8,180085
88,4804,9,349680
89,4804,10,633439
90,4804,11,1087435
91,4804,12,1790563
92,4804,13,2851786
93,4804,14,4917656
94,4804,15,7424766
95,4804,16,13223702
96,4804,17,28307621
97,4804,18,56100356
98,4804,19,99970095
99,4804,20,342051651
100,4805,1,0
101,4805,2,70
102,4805,3,378
103,4805,4,1932
104,4805,5,8599
105,4805,6,34646
106,4805,7,84371
107,4805,8,180085
108,4805,9,349680
109,4805,10,633439
110,4805,11,1087435
111,4805,12,1790563
112,4805,13,2851786
113,4805,14,4917656
114,4805,15,7424766
115,4805,16,13223702
116,4805,17,28307621
117,4805,18,56100356
118,4805,19,99970095
119,4805,20,342051651
120,4806,1,0
121,4806,2,9569
122,4806,3,37758
123,4806,4,96904
124,4806,5,208096
125,4806,6,401896
126,4806,7,722176
127,4806,8,1081266
128,4806,9,1579774
129,4806,10,2261831
130,4806,11,3183608
131,4806,12,4911487
132,4806,13,6703256
133,4806,14,9056935
134,4806,15,12127847
135,4806,16,21223313
136,4806,17,37263203
137,4806,18,67080320
138,4806,19,129975376
139,4806,20,342026975
140,4807,1,0
141,4807,2,9569
142,4807,3,37758
143,4807,4,96904
144,4807,5,208096
145,4807,6,401896
146,4807,7,722176
147,4807,8,1081266
148,4807,9,1579774
149,4807,10,2261831
150,4807,11,3183608
151,4807,12,4911487
152,4807,13,6703256
153,4807,14,9056935
154,4807,15,12127847
155,4807,16,21223313
156,4807,17,37263203
157,4807,18,67080320
158,4807,19,129975376
159,4807,20,342026975
160,4808,1,0
161,4808,2,70
162,4808,3,378
163,4808,4,1932
164,4808,5,8599
165,4808,6,34646
166,4808,7,84371
167,4808,8,180085
168,4808,9,349680
169,4808,10,633439
170,4808,11,1087435
171,4808,12,1790563
172,4808,13,2851786
173,4808,14,4917656
174,4808,15,7424766
175,4808,16,13223702
176,4808,17,28307621
177,4808,18,56100356
178,4808,19,99970095
179,4808,20,342051651
180,4810,1,0
181,4810,2,15249
182,4810,3,56766
183,4810,4,138749
184,4810,5,286717
185,4810,6,537274
186,4810,7,942360
187,4810,8,1390078
188,4810,9,2005396
189,4810,10,2840035
190,4810,11,4410795
191,4810,12,6044782
192,4810,13,8195812
193,4810,14,11008001
194,4810,15,16107361
195,4810,16,25508092
196,4810,17,40781458
197,4810,18,67068040
198,4810,19,129958630
199,4810,20,342004647
200,4811,1,0
201,4811,2,252595
202,4811,3,566989
203,4811,4,955723
204,4811,5,1433160
205,4811,6,2016946
206,4811,7,2727305
207,4811,8,4082816
208,4811,9,5221693
209,4811,10,6589926
210,4811,11,8228264
211,4811,12,10184912
212,4811,13,13840096
213,4811,14,16857423
214,4811,15,20433655
215,4811,16,29598386
216,4811,17,47459814
217,4811,18,93492200
218,4811,19,180740239
219,4811,20,338712291
