"rownum","Id","BaseItemTypesKey","HASH16","HASH32","i32","bool","bool"
0,"Metadata/Pet/Kiwi/Basic",3397,37988,-398558118,8,"",""
1,"Metadata/Pet/Kiwi/Bronze",3398,44438,774276016,8,"",""
2,"Metadata/Pet/Kiwi/Silver",3399,42132,-80846918,8,"",""
3,"Metadata/Pet/Kiwi/Gold",3400,60474,1808500721,8,"",""
4,"Metadata/Pet/Kiwi/Diamond",3401,18975,235029533,9,"",""
5,"Metadata/Pet/Basilisk/Green",3374,61895,-1091154127,8,"",""
6,"Metadata/Pet/Basilisk/Infernal",3375,36008,237863557,8,"",""
7,"Metadata/Pet/Basilisk/Spectral",3376,17172,1286475706,8,"",""
8,"Metadata/Pet/Frog/Blue",3377,37577,1910039313,8,"",""
9,"Metadata/Pet/Frog/BlueCrown",3378,48394,1576132859,8,"",""
10,"Metadata/Pet/Frog/Green",3379,58853,1150919036,8,"",""
11,"Metadata/Pet/Frog/GreenCrown",3380,38190,-1138087676,8,"",""
12,"Metadata/Pet/Frog/Red",3381,47577,-1986187196,8,"",""
13,"Metadata/Pet/Frog/RedCrown",3382,46175,1589963419,8,"",""
14,"Metadata/Pet/Frog/Mysterious",3383,45262,-943687922,8,"",""
15,"Metadata/Pet/Scorpion/Black",3384,37381,-296518570,8,"",""
16,"Metadata/Pet/Scorpion/Chrome",3385,20859,386156159,8,"",""
17,"Metadata/Pet/Scorpion/Purple",3386,13085,1481075546,8,"",""
18,"Metadata/Pet/Scorpion/Red",3387,29389,-2141064532,8,"",""
19,"Metadata/Pet/Scorpion/White",3388,41999,784698058,8,"",""
20,"Metadata/Pet/Scorpion/Yellow",3389,20903,465717861,8,"",""
21,"Metadata/Pet/Weta/Basic",3393,33343,1722344599,8,"",""
22,"Metadata/Pet/Weta/Colossal",3394,12979,1519151167,8,"",""
23,"Metadata/Pet/Weta/Giant",3395,29172,1896349948,8,"",""
24,"Metadata/Pet/Scorpion/fire_upgrade",3390,30851,493774317,8,"",""
25,"Metadata/Pet/Scorpion/acid_upgrade",3391,37150,501714169,8,"",""
26,"Metadata/Pet/Scorpion/Light_upgrade",3392,5815,-902046580,8,"",""
27,"Metadata/Pet/Weta/Blood",3396,58150,-1362539025,8,"",""
28,"Metadata/Pet/Kiwi/Albino",3402,27785,495546624,8,"",""
29,"Metadata/Pet/BabyRhoa/babyrhoa",3403,26930,-1705315480,8,"",""
30,"Metadata/Pet/BabyRhoa/babyrhoa_attach1",3404,17929,55199043,8,"",""
31,"Metadata/Pet/BabyRhoa/babyrhoa_attach2",3405,25177,-1157441189,8,"",""
32,"Metadata/Pet/BabyRhoa/babyrhoa_attach3",3406,14091,-1647793469,8,"",""
33,"Metadata/Pet/BabyRhoaFlying/babyrhoaflying",3407,27061,-1667107564,9,"",""
34,"Metadata/Pet/Ferret/Ferret",3408,23993,-1027825915,8,"",""
35,"Metadata/Pet/Cat/Black",3409,45791,424651664,8,"",""
36,"Metadata/Pet/DemonHand/Basic",3410,44454,-915315497,8,"",""
37,"Metadata/Pet/Fox/infernal_fox/Infernal",3411,28741,-177240790,9,"",""
38,"Metadata/Pet/Bat/Vampire_Bat/Lightning",3412,63077,1760403080,8,"",""
39,"Metadata/Pet/Garena/Garena",3413,21065,1776958371,8,"",""
40,"Metadata/Pet/BellLizard/BellLizard",3414,38215,-1052814216,8,"",""
41,"Metadata/Pet/Lion/Demon/DemonLion",3415,61331,2043582045,11,"",""
42,"Metadata/Pet/Lion/Gem/GemLion",3416,51436,92786027,11,"",""
43,"Metadata/Pet/Cobra/Cobra",3417,37676,2142825620,8,"",""
44,"Metadata/Pet/Cockroach/Cockroach",3418,61480,-184875821,8,"",""
45,"Metadata/Pet/FormosanBear/FormosanBear",3419,51230,-33606175,10,"",""
46,"Metadata/Pet/SpiderLizard/SpiderLizard",3420,179,1059602331,8,"",""
47,"Metadata/Pet/BlueLandCrab/BlueLandCrab",3421,32372,2015692369,8,"",""
48,"Metadata/Pet/CaneToad/CaneToad1/CaneToad1",3422,37890,1447674443,8,"",""
49,"Metadata/Pet/CaneToad/CaneToad2/CaneToad2",3423,236,-1925083731,8,"",""
50,"Metadata/Pet/CaneToad/CaneToad3/CaneToad3",3424,32726,107313587,8,"",""
51,"Metadata/Pet/CaneToad/CaneToad4/CaneToad4",3425,38988,-170234474,8,"",""
52,"Metadata/Pet/CaneToad/CaneToad5/CaneToad5",3426,35988,561753583,8,"",""
53,"Metadata/Pet/CaneToad/CaneToad6/CaneToad6",3427,52732,1611509233,8,"",""
54,"Metadata/Pet/Spider/spider",3428,55525,-1498775985,8,"",""
55,"Metadata/Pet/FormosanDeer/FormosanDeer",3429,24612,-519143126,10,"",""
56,"Metadata/Pet/FlySwarm/FlySwarm",3430,21094,323895592,10,"",""
57,"Metadata/Pet/DropBear/DropBear",3433,53741,-1624813878,9,"",""
58,"Metadata/Pet/BloodWorm/BloodWorm",3434,22385,250173848,8,"",""
59,"Metadata/Pet/Rat_Black/Rat_Black",3435,12421,1561226635,8,"",""
60,"Metadata/Pet/RollingHead/RollingHead",3436,39587,525305324,8,"",""
61,"Metadata/Pet/FlySwarm/FlySwarmGreen",3431,54607,-1460765279,9,"",""
62,"Metadata/Pet/FlySwarm/FlySwarmOrange",3432,45808,65843484,9,"",""
63,"Metadata/Pet/BabyBlackDeath/BabyBlackDeath",3437,61684,736025386,10,"",""
64,"Metadata/Pet/Chicken/Chicken",3438,56633,-52944415,8,"",""
65,"Metadata/Pet/WildTurkey/WildTurkey",3439,35129,-894811245,9,"",""
66,"Metadata/Pet/Hedgehog/Hedgehog",3440,33648,-9012218,8,"",""
67,"Metadata/Pet/Lemur/Lemur",3441,35010,-128290664,8,"",""
68,"Metadata/Pet/PeacockMale/PeacockMale",3442,9926,466304269,10,"",""
69,"Metadata/Pet/PeacockFemale/PeacockFemale",3443,33779,-1989866858,9,"",""
70,"Metadata/Pet/Pukeko/Pukeko",3444,42772,-910397784,8,"",""
71,"Metadata/Pet/RockElemental/RockElemental",3445,4109,264118195,8,"",""
72,"Metadata/Pet/DesertTortoise/DesertTortoise",3446,30319,1227767617,8,"",""
73,"Metadata/Pet/Koala/KoalaBear",3447,1954,-1443058082,9,"",""
74,"Metadata/Pet/Basilisk/LargeInfernal",3448,41489,1345778215,10,"",""
75,"Metadata/Pet/BabyElephant/BabyElephant",3449,59563,-587385770,10,"",""
76,"Metadata/Pet/Wallaby/Wallaby",3450,49218,1542167465,9,"",""
77,"Metadata/Pet/Merveil/Merveil",3451,13339,-1648186919,8,"",""
78,"Metadata/Pet/Lynx/FrostLynx/FrostLynx",3452,11282,-2006539148,9,"",""
79,"Metadata/Pet/Centipede/Centipede",3453,44298,571772702,8,"",""
80,"Metadata/Pet/Parasite/Parasite",3454,33592,-1166395070,8,"",""
81,"Metadata/Pet/Wolf/Wolf",3455,4978,1417889777,10,"",""
82,"Metadata/Pet/GargoyleStone/GargoyleStone",3456,12813,-59322757,8,"",""
83,"Metadata/Pet/GargoyleBronze/GargoyleBronze",3457,23066,1034053560,9,"",""
84,"Metadata/Pet/GargoyleGold/GargoyleGold",3458,55450,644677366,11,"",""
85,"Metadata/Pet/GargoyleAmaranthine/GargoyleAmaranthine",3459,62877,-1416602099,12,1,""
86,"Metadata/Pet/GargoyleAmaranthine/GargoyleAmaranthinePremium",3460,18325,-1646011786,12,"",1
87,"Metadata/Pet/GargoyleAmaranthine/GargoyleAmaranthinePremiumExpired",3461,16648,144263569,12,1,""
88,"Metadata/Pet/BladeSentry/BladeSentry",3462,57610,-1987090299,9,"",""
89,"Metadata/Pet/WhiteTiger/WhiteTiger",3463,9254,-74981471,11,"",""
90,"Metadata/Pet/Parrot/BrazilianParrot",3464,11327,1611287605,8,"",""
