"rownum","WordsKey","ItemVisualIdentityKey","UniqueStashTypesKey","i32","i32","i32","i32","ShowIfEmpty","bool","RenamedVersion","BaseVersion","IsAlternateArt"
0,18,5530,7,0,0,0,0,1,1,"","",""
1,19,5531,6,0,0,1,3,1,1,"","",""
2,20,5532,1,0,0,0,0,1,1,"","",""
3,21,5533,2,0,0,0,0,1,1,"","",""
4,22,5534,2,1,0,0,0,1,1,"","",""
5,24,5535,2,2,0,0,0,1,1,"","",""
6,25,5536,9,0,0,0,0,1,1,"","",""
7,26,5537,1,1,0,0,0,"","","","",""
8,27,5538,15,0,0,0,0,1,1,"","",""
9,28,5539,4,0,0,0,0,1,1,"","",""
10,29,5540,9,2,0,0,0,1,1,"","",""
11,30,5541,6,2,0,2,3,1,1,"","",""
12,31,5542,16,0,0,0,0,1,1,"","",""
13,32,5543,16,2,0,0,0,1,1,"","",""
14,33,5544,9,4,0,0,0,1,1,"","",""
15,35,5546,8,0,0,0,0,1,1,"","",""
16,36,5547,8,2,0,0,0,1,1,"","",""
17,37,5549,6,4,0,0,0,1,1,"","",""
18,38,5550,6,6,0,0,0,1,1,"","",""
19,39,5551,2,3,0,0,0,1,1,"","",""
20,41,5553,2,4,0,0,0,1,1,"","",""
21,43,5555,11,0,0,0,0,"","","","",""
22,44,5556,1,2,0,0,0,1,1,"","",""
23,45,5557,1,3,0,0,0,1,1,"","",""
24,47,5559,1,4,0,0,0,1,1,"","",""
25,48,5560,15,2,0,0,0,1,1,"","",""
26,49,5561,15,4,0,0,0,1,1,"","",""
27,51,5563,16,4,0,0,0,1,1,"","",""
28,52,5564,16,6,0,0,0,1,1,"","",""
29,53,5565,16,8,0,0,0,1,1,"","",""
30,54,5566,16,10,0,0,0,1,1,"","",""
31,55,5567,16,12,0,0,0,1,1,"","",""
32,56,5568,16,14,0,0,0,1,1,"","",""
33,57,5569,16,16,0,0,0,1,1,"","",""
34,58,5570,16,18,0,0,0,1,1,"","",""
35,59,5571,16,20,0,0,0,1,1,"","",""
36,60,5572,1,5,0,0,0,1,1,"","",""
37,61,5573,14,0,0,0,0,1,1,"","",""
38,62,5574,4,1,0,0,0,1,1,"","",""
39,63,5575,14,2,0,0,0,1,1,"","",""
40,65,5577,14,4,0,0,0,1,1,"","",""
41,66,5578,14,6,0,0,0,1,1,"","",""
42,67,5579,14,8,0,0,0,1,1,"","",""
43,68,5580,14,10,0,0,0,1,1,"","",""
44,69,5581,14,12,0,0,0,1,1,"","",""
45,70,5582,13,0,0,0,0,1,1,"","",""
46,71,5583,13,2,0,0,0,1,1,"","",""
47,72,5584,13,4,0,0,0,1,1,"","",""
48,73,5585,13,6,0,0,0,1,1,"","",""
49,74,5586,13,8,0,0,0,1,1,"","",""
50,75,5587,13,10,0,0,0,1,1,"","",""
51,76,5588,13,12,0,0,0,1,1,"","",""
52,77,5589,13,14,0,0,0,1,1,"","",""
53,78,6114,1,6,0,0,0,1,1,"","",""
54,79,6115,1,7,0,0,0,1,1,"","",""
55,80,6116,12,0,0,0,0,1,1,"","",""
56,81,6117,12,2,0,0,0,1,1,"","",""
57,82,6118,12,4,0,0,0,1,1,"","",""
58,83,6119,12,6,0,0,0,1,1,"","",""
59,84,6120,17,0,0,0,0,1,1,"","",""
60,85,6121,17,2,0,0,0,1,1,"","",""
61,86,6122,17,4,0,0,0,1,1,"","",""
62,87,6123,17,6,0,0,0,1,1,"","",""
63,88,6124,17,8,0,0,0,1,1,"","",""
64,89,6422,7,2,0,0,0,1,1,"","",""
