"rownum","Id","MiscAnimatedKey1","SpawnWeight","LevelMin","LevelMax","BuffDefinitionsKey","[i32]","SpawnPatterns","ModsKey","[i32]","[i32]","MiscAnimatedKey2","EnvironmentsKey","i32","Achievements","Type","Description","DaemonSpawningDataKey","bool"
0,"Fire1",4966,100,0,24,1663,"[25,20]",[4],[],[],"[0,0,0,0]",4981,1177,4,[7468],"Infernal","Monsters deal extra Fire Damage and can Ignite \nMeteors fall from the sky",0,""
1,"Fire2",4966,100,25,45,1663,"[30,25]",[4],[],[],"[0,0,0,0]",4981,1177,5,[7468],"Infernal","Monsters deal extra Fire Damage and can Ignite \nMeteors fall from the sky",0,""
2,"Fire3",4966,100,46,67,1663,"[35,30]",[4],[],[],"[0,0,0,0]",4981,1177,5,[7468],"Infernal","Monsters deal extra Fire Damage and can Ignite \nMeteors fall from the sky",0,""
3,"Fire4",4966,100,68,77,1663,"[40,35]",[4],[],[],"[0,0,0,0]",4981,1177,6,[7468],"Infernal","Monsters deal extra Fire Damage and can Ignite \nMeteors fall from the sky",0,""
4,"Fire5",4966,100,78,100,1663,"[50,40]",[4],[],[],"[0,0,0,0]",4981,1177,6,[7468],"Infernal","Monsters deal extra Fire Damage and can Ignite \nMeteors fall from the sky",0,""
5,"Cold1",4967,100,10,24,1664,"[25,20]",[4],[],[],"[0,0,0,0]",4982,1178,1,[7469],"Bitter","Monsters deal extra Cold Damage and can Freeze \nIcy Beams rotate",2,""
6,"Cold2",4967,100,25,45,1664,"[30,25]",[4],[],[],"[0,0,0,0]",4982,1178,1,[7469],"Bitter","Monsters deal extra Cold Damage and can Freeze \nIcy Beams rotate",2,""
7,"Cold3",4967,100,46,67,1664,"[35,30]",[4],[],[],"[0,0,0,0]",4982,1178,1,[7469],"Bitter","Monsters deal extra Cold Damage and can Freeze \nIcy Beams rotate",2,""
8,"Cold4",4967,100,68,77,1664,"[40,35]",[4],[],[],"[0,0,0,0]",4982,1178,1,[7469],"Bitter","Monsters deal extra Cold Damage and can Freeze \nIcy Beams rotate",2,""
9,"Cold5",4967,100,78,100,1664,"[50,40]",[4],[],[],"[0,0,0,0]",4982,1178,1,[7469],"Bitter","Monsters deal extra Cold Damage and can Freeze \nIcy Beams rotate",2,""
10,"ChaosPurple1",4968,50,46,67,1665,"[8,25]",[1],[],[],"[0,0,0,0]",4983,1179,5,[7472],"Dreaded","Monsters deal extra Chaos Damage and can Wither \nAnomalies fire Chaos projectiles",4,""
11,"ChaosPurple2",4968,50,68,77,1665,"[10,35]",[1],[],[],"[0,0,0,0]",4983,1179,6,[7472],"Dreaded","Monsters deal extra Chaos Damage and can Wither \nAnomalies fire Chaos projectiles",4,""
12,"ChaosPurple3",4968,50,78,100,1665,"[12,45]",[1],[],[],"[0,0,0,0]",4983,1179,6,[7472],"Dreaded","Monsters deal extra Chaos Damage and can Wither \nAnomalies fire Chaos projectiles",4,""
13,"Lightning1",5040,100,0,24,1703,"[25,20]",[1],[],[],"[0,0,0,0]",5054,1186,4,[7470],"Fluctuant","Monsters deal extra Lightning Damage and can Shock \nSkull Spires fire Lightning orbs at each other",6,""
14,"Lightning2",5040,100,25,45,1703,"[30,25]",[1],[],[],"[0,0,0,0]",5054,1186,5,[7470],"Fluctuant","Monsters deal extra Lightning Damage and can Shock \nSkull Spires fire Lightning orbs at each other",6,""
15,"Lightning3",5040,100,46,67,1703,"[35,30]",[1],[],[],"[0,0,0,0]",5054,1186,5,[7470],"Fluctuant","Monsters deal extra Lightning Damage and can Shock \nSkull Spires fire Lightning orbs at each other",6,""
