"rownum","BaseItemTypesKey","i32","Description","Hash","AchievementItemsKeys"
0,7657,111,"Essence Item",52571,[]
1,7658,131,"Currency Item",52259,[]
2,7659,151,"Unique Item",18701,[]
3,7660,121,"Map Item",22038,[]
4,7661,251,"Unique Map Item",6696,[]
5,7662,301,"Rare Abyss Item",41772,[]
6,7663,301,"Fragment Item",60390,[]
7,7664,301,"Scarab Item",32186,[]
8,7665,151,"Essence Item",23218,[]
9,7666,301,"Fossil Item",19642,[]
10,7667,181,"Perandus Item",40101,[]
11,7668,151,"Stacked Decks",34745,[]
12,7669,151,"Talisman Item",43064,[]
13,7670,161,"Enchanted Helmet",19352,[]
14,7671,1001,"6-Linked Armour Item",6078,[]
15,7672,141,"Currency Item",14134,[]
16,7673,1501,"League-specific Unique Item",4526,[]
17,7674,501,"Shaper or Elder Armour Item",61377,[]
18,7675,501,"Shaper or Elder Weapon Item",53204,[]
19,7676,701,"Shaper or Elder Trinket Item",61894,[]
20,7677,501,"Elder Map Item",39336,[]
21,7678,351,"Breach Item",43164,[]
22,7679,351,"valuable Currency Shards or Harbinger Item",50482,[]
23,7680,501,"high level Corrupted Gem or Valuable Gem",15068,[]
24,7681,301,"Item",31223,[]
25,7682,121,"Quality Gem",16288,[]
26,7683,151,"Bestiary Item",28161,[]
27,7684,221,"Blight Item",19373,[]
28,7685,221,"Metamorph Item",62324,[]
29,7686,431,"Delirium Item",23535,[]
