"rownum","BaseItemTypesKey","RequiredJob_HeistJobsKey","RequiredLevel"
0,7913,"",0
1,7914,"",0
2,7915,"",0
3,7916,"",0
4,7951,"",2
5,7952,"",3
6,7953,"",4
7,7954,"",5
8,7955,"",2
9,7956,"",3
10,7957,"",4
11,7958,"",5
12,7959,0,2
13,7960,0,3
14,7961,0,4
15,7962,0,5
16,7963,1,2
17,7964,1,3
18,7965,1,4
19,7966,1,5
20,7967,2,2
21,7968,2,3
22,7969,2,4
23,7970,2,5
24,7971,3,2
25,7972,3,3
26,7973,3,4
27,7974,3,5
28,7975,4,2
29,7976,4,3
30,7977,4,4
31,7978,4,5
32,7979,5,2
33,7980,5,3
34,7981,5,4
35,7982,5,5
36,7983,6,2
37,7984,6,3
38,7985,6,4
39,7986,6,5
40,7987,7,2
41,7988,7,3
42,7989,7,4
43,7990,7,5
44,7991,8,2
45,7992,8,3
46,7993,8,4
47,7994,8,5
48,7995,"",2
49,7996,"",3
50,7997,"",4
51,7998,"",5
52,7999,"",2
53,8000,"",3
54,8001,"",4
55,8002,"",5
56,8003,"",2
57,8004,"",3
58,8005,"",4
59,8006,"",5
