"rownum","MonsterVarietiesKey","i32","MinLevel","MaxLevel","i32"
0,5105,100,0,25,100
1,5106,100,0,25,100
2,5107,100,0,25,100
3,5108,100,0,25,100
4,5109,100,0,25,100
5,5110,100,10,100,100
6,5111,100,10,100,100
7,5112,100,10,100,100
8,5113,100,10,100,100
9,5114,100,25,100,100
10,5115,100,25,100,100
11,5118,100,25,100,100
12,5121,100,25,100,100
13,5124,100,25,100,100
14,5127,100,46,100,100
15,5130,100,46,100,100
16,5133,100,46,100,100
17,5136,100,46,100,100
18,5139,100,46,100,100
19,5142,20,60,100,40
20,5143,20,60,100,40
21,5144,20,60,100,40
22,5145,20,60,100,40
23,5146,20,60,100,40
24,5147,20,60,100,40
25,5148,20,60,100,40
26,5149,20,60,100,40
27,5150,20,60,100,40
