"rownum","rid","[rid]"
0,326,"[1439,1440,1441,1442]"
1,327,"[1443,1444,1445]"
2,328,"[1446,1447,1448,1449]"
3,329,"[1450,1451,1452]"
4,330,"[1453,1454,1455]"
5,331,"[1456,1457]"
6,332,"[1458,1459]"
7,333,"[1460,1461]"
8,334,[1462]
9,335,[1463]
10,336,"[1464,1465]"
11,337,"[1466,1467]"
12,338,"[1468,1469,1470]"
13,339,"[1471,1472,1473]"
14,340,"[1474,1475]"
15,341,"[1476,1477]"
16,342,"[1478,1479]"
17,343,[1480]
18,344,"[1481,1482,1483,1484]"
19,345,"[1485,1486]"
20,346,"[1487,1488,1489]"
21,349,"[129,130,131,132,133,134,140,141,142,143,144,165,166,178,179,180,181,318,385,386,308,309,310,311,322,324,326,327,328,343,344,345]"
