"rownum","Id","Name","Description","Icon","NextUpgradeOptions","i32","Tier","Radius","i32","SpendResourceAchievement","StatsKey","StatsKeys","StatsKeys2","bool"
0,"EmptyNode","Tower Foundation","A powered base for one of Cassia's towers.","Art/2DArt/UIImages/InGame/Placeholder/temp_league_prototype_placeholder","[1,6,11,16,21,26]",1487001455,"",0,-1,"","",[],[],""
1,"ChillingTower1","Chilling Tower Mk I","Damage: Low\r\nChills and Damages nearby enemies\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconCold",[2],-1090896293,"I",35,3,"",10474,"[10473,10475,10476,10477,12231]","[24,3573,199,10477,12236]",""
2,"ChillingTower2","Chilling Tower Mk II","Increased Damage\r\nIncreased effect of Chill\r\nAffects more Targets","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconCold",[3],1371628040,"II",35,3,"",10474,"[10473,10475,10476,10477,12231]","[24,3573,199,10477,12236]",""
3,"ChillingTower3","Chilling Tower Mk III","Increased Damage\r\nIncreased effect of Chill\r\nAffects more targets","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconCold","[4,5]",-48389433,"III",35,3,"",10474,"[10473,10475,10476,10477,12231]","[24,3573,199,10477,12236]",""
4,"FreezingTower","Freezebolt Tower","Damage: Very High\r\nShoots a Piercing projectile which Freezes enemies\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconFreezing",[],-632665268,"IV",75,4,"",10479,"[10478,10480,10481,12220,12231]","[24,10480,173,8705,12236]",""
5,"IcePrisonTower","Glacial Cage Tower","Deals no Damage\r\nImprisons Enemies\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconIcePrison",[],1141601187,"IV",60,5,"",10483,"[10482,10484,10485,12221,12231]","[215,10484,3351,434,12236]",""
6,"ShockingTower1","Shock Nova Tower Mk I","Damage: Low\r\nCreates Shocked Ground\r\nCasts Shock Nova\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconLightning",[7],1459477666,"I",20,6,"",10464,"[10465,10486,10487,10488,10489,12231]","[24,10486,3574,10557,2281,12236]",1
7,"ShockingTower2","Shock Nova Tower Mk II","Increased Damage\r\nIncreased chance to Shock\r\nIncreased Area of Effect","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconLightning",[8],1368253867,"II",25,6,"",10464,"[10465,10486,10487,10488,10489,12231]","[24,10486,3574,10557,2281,12236]",1
8,"ShockingTower3","Shock Nova Tower Mk III","Increased Damage\r\nIncreased chance to Shock\r\nIncreased Area of Effect","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconLightning","[9,10]",94056515,"III",30,6,"",10464,"[10465,10486,10487,10488,10489,12231]","[24,10486,3574,10557,2281,12236]",1
9,"LightningStormTower","Lightning Storm Tower","Damage: High\r\nLightning rapidly strikes around the Tower\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconLightningStorm",[],1277124932,"IV",45,7,"",10491,"[10490,10550,10493,12222,12231]","[24,10492,212,12222,12236]",1
10,"ArcingTower","Arc Tower","Damage: Medium\r\nCasts Arc\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconArcing",[],-1027797953,"IV",45,8,"",10495,"[10494,10496,10497,12223,12231]","[24,2281,172,8706,12236]",""
11,"BuffTower1","Empowering Tower Mk I","Improves the effectiveness of other Towers\r\nDoes not Damage Enemies","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconBuff",[12],-1750551302,"I",35,15,"",10499,"[10498,10500,10501,10502,12231]","[4548,216,10501,10502,12236]",1
12,"BuffTower2","Empowering Tower Mk II","Improves the effectiveness of other Towers\r\nDoes not Damage Enemies","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconBuff",[13],-2021019078,"II",45,15,"",10499,"[10498,10500,10501,10502,12231]","[4548,216,10501,10502,12236]",1
13,"BuffTower3","Empowering Tower Mk III","Improves the effectiveness of other Towers\r\nDoes not Damage Enemies","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconBuff","[14,15]",1692746775,"III",55,15,"",10499,"[10498,10500,10501,10502,12231]","[4548,216,10501,10502,12236]",1
14,"BuffPlayersTower","Imbuing Tower","Improves the effectiveness of Players in range.\r\nDoes not Damage Enemies","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconBuffPlayer",[],-720723365,"IV",55,16,"",10504,"[10503,10505,10506,12224,12231]","[4548,10505,10506,12224,12236]",1
15,"WeakenEnemiesTower","Smothering Tower","Weakens Enemies in range\r\nDoes not Damage Enemies","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconWeakining",[],1166693452,"IV",55,17,"",10508,"[10507,10509,10510,12225,12231]","[4548,10509,10510,12225,12236]",1
16,"StunningTower1","Seismic Tower Mk I","Damage: Low\r\nRepeats 3 times\r\nAlways Stuns\r\nDamages and Stuns nearby Enemies\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconPhysical",[17],-239063143,"I",45,9,"",10512,"[10511,10513,10514,10515,12231]","[24,341,7778,10556,12236]",""
17,"StunningTower2","Seismic Tower Mk II","Repeats 5 times","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconPhysical",[18],242248516,"II",45,9,"",10512,"[10511,10513,10514,10515,12231]","[24,341,7778,10556,12236]",""
18,"StunningTower3","Seismic Tower Mk III","Repeats 7 times","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconPhysical","[19,20]",-854560930,"III",45,9,"",10512,"[10511,10513,10514,10515,12231]","[24,341,7778,10556,12236]",""
19,"TemporalTower","Temporal Tower","Persistently Slows Monsters \r\nDoes not Damage Enemies\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconTemporal",[],1524497081,"IV",45,10,"",10517,"[10516,10518,10519,12226,12231]","[4548,10553,10554,12226]",1
20,"PetrificationTower","Stone Gaze Tower","Periodically Petrifies Monsters\r\nDoes not Damage Enemies\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconPetrification",[],-241524287,"IV",45,11,"",10521,"[10520,10522,10523,12235,12231]","[215,3351,10552,12237,12236]",""
21,"MinionTower1","Summoning Tower Mk I","Summons 3 Minions\r\nMinion Damage: Low\r\nMinion Life: Low\r\nCan only summon Minions when previous Minions are dead\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconMinion",[22],93106736,"I",30,12,"",10525,"[10524,10526,10527,10528,10525,12231]","[488,617,159,10551,11714,12236]",""
22,"MinionTower2","Summoning Tower Mk II","Summons 5 Minions","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconMinion",[23],499014349,"II",30,12,"",10525,"[10524,10526,10527,10528,10525,12231]","[488,617,159,10551,11714,12236]",""
23,"MinionTower3","Summoning Tower Mk III","Summons 7 Minions","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconMinion","[24,25]",1389469754,"III",30,12,"",10525,"[10524,10526,10527,10528,10525,12231]","[488,617,159,10551,11714,12236]",""
24,"FlyingMinionTower","Scout Tower","Summons 10 Flying Minions\r\nMinion Damage: High\r\nMinion Life: Low\r\nCan only summon Minions when previous Minions are dead\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconFlyingMinion",[],1443410162,"IV",75,13,"",10530,"[10529,10531,10532,10530,12227,12231,13279]","[488,617,159,11714,12233,12236,10551]",""
25,"TankyMinionTower","Sentinel Tower","Summons 1 Durable Minion\r\nMinion Damage: Low\r\nMinion Life: High\r\nCan only summon Minions when previous Minions are dead\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconTankyMinion",[],467940328,"IV",45,14,"",10534,"[10533,10535,10536,10534,12228,12231]","[488,617,159,11714,3130,12236]",""
26,"FlameTower1","Fireball Tower Mk I","Damage: Medium\r\nCasts a Fireball\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconFire",[27],172162436,"I",45,0,"",10538,"[10537,10539,10540,10541,12231]","[24,216,173,1783,12236]",""
27,"FlameTower2","Fireball Tower Mk II","Casts 3 Fireballs","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconFire",[28],1399853640,"II",60,0,"",10538,"[10537,10539,10540,10541,12231]","[24,216,173,1783,12236]",""
28,"FlameTower3","Fireball Tower Mk III","Casts 5 Fireballs","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconFire","[29,30]",155134479,"III",75,0,"",10538,"[10537,10539,10540,10541,12231]","[24,216,173,1783,12236]",""
29,"FlamethrowerTower","Flamethrower Tower","Damage: High\r\nCasts a stream of Fire\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconFlamethrower",[],-1733718789,"IV",45,1,"",10543,"[10542,10544,10545,12229,12231]","[24,10544,216,8704,12236]",1
30,"MeteorTower","Meteor Tower","Damage: Very High\r\nRains Meteors from the sky\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconMeteor",[],-741826316,"IV",100,2,"",10547,"[10546,10548,10549,12230,12231]","[24,197,10555,1825,12236]",""
