"rownum","Id","MiscObject","i32","string","string","[i32]","bool","i32","bool","bool"
0,"TemplarLab",15,36,"Metadata/QuestObjects/MapRoom/Orrery","",[],"",0,1,""
1,"Hideout_Small","",18,"Metadata/Terrain/Missions/Hideouts/Objects/StrDexIntMappingDevice","",[],1,0,"",1
2,"Hideout_Large",16,36,"Metadata/Terrain/Missions/Hideouts/Objects/StrDexIntMappingDevice","aux_potralbutton_attachment","[-24,0]",1,20,1,1
3,"AlvaWild","",18,"Metadata/NPC/League/TreasureHunterWild","",[],"",0,"",""
4,"AlvaHideout","",18,"Metadata/NPC/League/TreasureHunterHideout","",[],"",0,"",""
5,"Maligaro_Quest",14,36,"Metadata/QuestObjects/Act7/MaligaroOrrery_Main","",[],"",0,1,""
6,"SynthesisBoss1",262,36,"Metadata/Terrain/Leagues/Synthesis/Objects/BossPortalGenerator_FinalBoss","",[],"",0,"",""
7,"SynthesisGuardian1",262,36,"Metadata/Terrain/Leagues/Synthesis/Objects/BossPortalGenerator_Guardian1","",[],"",0,"",""
8,"SynthesisGuardian2",262,36,"Metadata/Terrain/Leagues/Synthesis/Objects/BossPortalGenerator_Guardian2","",[],"",0,"",""
9,"SynthesisGuardian3",262,36,"Metadata/Terrain/Leagues/Synthesis/Objects/BossPortalGenerator_Guardian3","",[],"",0,"",""
10,"SynthesisGuardian4",262,36,"Metadata/Terrain/Leagues/Synthesis/Objects/BossPortalGenerator_Guardian4","",[],"",0,"",""
11,"MiracleMapDevice",322,36,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/MiracleMapDevice","aux_potralbutton_attachment","[-14,0]",1,0,1,""
12,"MiracleMapDevice1",322,36,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/MiracleMapDevice1","aux_potralbutton_attachment","[-14,0]",1,0,1,""
13,"MiracleMapDevice2",322,36,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/MiracleMapDevice2","aux_potralbutton_attachment","[-25,0]",1,0,1,""
14,"MiracleMapDevice3",322,36,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/MiracleMapDevice3","aux_potralbutton_attachment","[-25,0]",1,0,1,""
15,"AstrolabeMapDevice","",18,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/AstrolabeMapDevice","",[],1,0,"",""
