"rownum","string","[rid]","i32"
0,"steelskin_hit",[19],0
1,"steelskin_hit",[255],1
2,"steelskin_hit",[20],2
3,"steelskin_fadeout",[13],0
4,"steelskin_fadeout",[256],1
5,"steelskin_fadeout",[14],2
6,"divine_cry_weapon_left",[307],0
7,"divine_cry_weapon_right",[306],0
8,"chain_strike_dash",[10],0
9,"chain_strike_dash",[309],1
10,"chain_strike_hit",[11],0
11,"chain_strike_hit",[310],1
12,"arcane_cloak_block",[80],0
13,"arcane_cloak_block",[311],1
14,"arcane_cloak_fade_out",[79],0
15,"arcane_cloak_fade_out",[312],1
16,"igniting_flask_in_hand",[313],0
17,"igniting_flask_in_hand_scion_pls",[314],0
18,"weapon_trap_weapon",[318],0
19,"ambush_teleport_in",[324],0
20,"ambush_teleport_out",[325],0
21,"rage_slash_weapon",[326],0
22,"soulfeast_hand_surge",[327],0
23,"lightning_strike_proj_hit",[328],0
24,"lightning_strike_proj_hit",[328],1
25,"lightning_strike_proj_hit",[329],2
26,"lightning_strike_vaal_blade",[330],0
27,"lightning_strike_vaal_blade",[330],1
28,"lightning_strike_vaal_blade",[342],2
29,"burning_arrow_stuck_fade",[71],0
30,"burning_arrow_stuck_fade",[333],1
31,"dash_afterimage",[57],0
32,"dash_char",[54],0
33,"dash_afterimage",[58],1
34,"dash_char",[55],1
35,"dash_afterimage",[59],2
36,"dash_char",[56],2
37,"dash_afterimage",[59],3
38,"dash_char",[56],3
39,"dash_afterimage",[161],4
40,"dash_char",[160],4
41,"dash_afterimage",[335],5
42,"dash_char",[334],5
43,"spectral_helix_weapon_effect",[341],0
44,"flame_wall_arrow_loop",[186],0
45,"flame_wall_arrow_loop",[226],1
46,"flame_wall_arrow_loop",[296],2
47,"flame_wall_arrow_loop",[343],3
48,"flame_wall_arrow_once",[187],0
49,"flame_wall_arrow_once",[227],1
50,"flame_wall_arrow_once",[297],2
51,"flame_wall_arrow_once",[344],3
52,"flame_wall_spell_loop",[188],0
53,"flame_wall_spell_loop",[228],1
54,"flame_wall_spell_loop",[298],2
55,"flame_wall_spell_loop",[345],3
56,"flame_wall_spell_once",[189],0
57,"flame_wall_spell_once",[229],1
58,"flame_wall_spell_once",[299],2
59,"flame_wall_spell_once",[346],3
60,"flame_wall_mortar_1",[193],0
61,"flame_wall_mortar_1",[230],1
62,"flame_wall_mortar_1",[300],2
63,"flame_wall_mortar_1",[347],3
64,"flame_wall_mortar_2",[195],0
65,"flame_wall_mortar_2",[231],1
66,"flame_wall_mortar_2",[301],2
67,"flame_wall_mortar_2",[348],3
68,"flame_wall_mortar_3",[196],0
69,"flame_wall_mortar_3",[232],1
70,"flame_wall_mortar_3",[302],2
71,"flame_wall_mortar_3",[349],3
72,"flame_wall_mortar_4",[197],0
73,"flame_wall_mortar_4",[233],1
74,"flame_wall_mortar_4",[303],2
75,"flame_wall_mortar_4",[350],3
