"rownum","Id","AOFiles","LoopAnimationIds","ImpactAnimationIds","ProjectileSpeed","bool","i32","bool","bool","InheritsFrom","i32","rid","i32","bool","bool","Stuck_AOFile","Bounce_AOFile","i32","i32","i32","i32","rid","rid","i32","i32","i32","i32","i32","[string]","bool","[i32]"
0,"Metadata/Projectiles/Fireball","[""Metadata/Effects/Spells/fireball/fireball_new2.ao""]","[""fireball""]","[""fireball_explode""]",1040,"",2,"","","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
1,"Metadata/Projectiles/DragonFireball","[""Metadata/Effects/Microtransactions/Spells/fireball/dragon_fireball/dragonball.ao""]","[""fire""]","[""fire_explode""]",1040,"",2,"","","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
2,"Metadata/Projectiles/GoldenFireball","[""Metadata/Effects/Spells/fireball/golden/rig.ao""]","[""fireball""]","[""fireball_explode""]",1040,"",2,1,"","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
3,"Metadata/Projectiles/PyroFireball","[""Metadata/Effects/Spells/monsters_effects/act3/pyro/fireball.ao""]","[""fireball_loop""]","[""fireball_explode""]",1040,"",2,"","","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
4,"Metadata/Projectiles/PyroPoisonFireball","[""Metadata/Effects/Spells/monsters_effects/act3/pyro/fireball_poison.ao""]","[""fireball_loop""]","[""fireball_explode""]",1040,"",2,"","","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
5,"Metadata/Projectiles/PhoenixFireball","[""Metadata/Effects/Spells/monsters_effects/Phoenix/projectile/projectile_fire.ao""]","[""projectile_travel""]","[""projectile_end""]",1040,1,2,"","","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
6,"Metadata/Projectiles/StygianFireball","[""Metadata/Effects/Microtransactions/Spells/fireball/stygian/rig.ao""]","[""fireball""]","[""fireball_explode""]",1040,"",2,"","","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
7,"Metadata/Projectiles/SandSpitter","[""Metadata/Effects/Spells/sandspitterprojectile/rig.ao""]","[""flying""]","[""impact""]",1688,"",2,1,"","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
8,"Metadata/Projectiles/SandSpitterFire","[""Metadata/Effects/Spells/monsters_effects/sandspitter_elemental/fire.ao""]","[""sandspitter_ele""]","[""sandspitter_ele_impact""]",1170,"",2,"","","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
9,"Metadata/Projectiles/SandSpitterCold","[""Metadata/Effects/Spells/monsters_effects/sandspitter_elemental/ice.ao""]","[""sandspitter_ele""]","[""sandspitter_ele_impact""]",1170,"",2,"","","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
