"rownum","MonsterVarietiesKey","LegionFactionsKey","LegionRanksKey","i32","MiscAnimatedKey","i32","i32","[i32]","[i32]","[i32]","[i32]","[i32]","[i32]","i32","i32","[rid]","MonsterVarietiesKey2"
0,6737,0,0,0,[3058],10,2,[100],[200],[0],[440],[600],[60],15,50,[1],""
1,6738,0,0,0,[3059],10,2,[100],[200],[0],[580],[650],[60],15,50,[1],""
2,6739,0,0,0,[3058],10,2,[100],[200],[0],[440],[600],[60],15,50,[1],""
3,6740,0,0,0,[3059],10,2,[100],[200],[0],[550],[580],[60],15,50,[1],""
4,6741,0,0,0,[],0,2,[],[],[],[],[],[],15,50,[],""
5,6749,0,1,0,[3058],10,1,[100],[200],[0],[440],[600],[60],15,50,[1],""
6,6751,0,1,1,[3062],10,1,[10],[20],[0],[130],[300],[60],15,50,[1],""
7,6753,0,1,0,[],0,1,[],[],[],[],[],[],15,120,[],""
8,6757,0,2,0,[],0,1,[],[],[],[],[],[],15,50,[],""
9,6759,0,2,2,[],0,1,[],[],[],[],[],[],15,50,[],""
10,6763,0,3,3,[],0,1,[],[],[],[],[],[],15,50,[],""
11,6764,2,0,0,[3063],10,1,[100],[200],[0],[900],[1010],[60],15,60,[1],""
12,6767,2,1,1,[3066],10,1,[130],[200],[0],[170],[550],[75],15,60,[1],""
13,6769,2,1,0,[3065],10,1,[100],[200],[0],[580],[650],[50],15,60,[1],""
14,6773,2,2,0,[],0,1,[],[],[],[],[],[],15,40,[],""
15,6775,2,2,0,[],0,1,[],[],[],[],[],[],15,40,[],""
16,6777,2,3,3,[],0,1,[],[],[],[],[],[],15,60,[],""
17,6782,3,0,0,[3071],10,2,[100],[200],[0],[900],[1010],[60],15,50,[1],""
18,6784,3,0,0,[3071],10,1,[100],[200],[0],[900],[1010],[60],15,50,[1],""
19,6789,3,1,0,[],0,1,[],[],[],[],[],[],15,50,[],""
20,6790,3,1,1,[],0,1,[],[],[],[],[],[],15,110,[],""
21,6792,3,1,0,[],0,1,[],[],[],[],[],[],15,110,[],""
22,6797,3,2,0,[],0,1,[],[],[],[],[],[],15,60,[],""
23,6799,3,2,1,[],0,1,[],[],[],[],[],[],15,60,[],""
24,6802,3,3,3,[],0,1,[],[],[],[],[],[],15,60,[],6801
25,6805,4,0,0,[3069],10,1,[100],[200],[0],[440],[530],[60],15,50,[1],""
26,6806,4,0,0,[3069],10,1,[100],[200],[0],[440],[520],[60],15,50,[1],""
27,6807,4,0,0,[],0,1,[],[],[],[],[],[],15,60,[],""
28,6814,4,1,2,[],0,1,[],[],[],[],[],[],15,50,[],""
29,6815,4,1,2,[],0,1,[],[],[],[],[],[],15,50,[],""
30,6820,4,2,2,[],0,1,[],[],[],[],[],[],15,60,[],""
31,6822,4,2,0,[],0,1,[],[],[],[],[],[],15,60,[],""
32,6824,4,3,3,[],0,1,[],[],[],[],[],[],15,60,[],""
33,6826,1,0,0,[3073],10,1,[100],[200],[0],[440],[600],[60],15,50,[1],""
34,6827,1,0,0,[3073],10,1,[100],[200],[0],[440],[550],[60],15,50,[1],""
35,6828,1,0,1,[],0,1,[],[],[],[],[],[],15,50,[],""
36,6835,1,1,2,[],0,3,[],[],[],[],[],[],15,50,[],""
37,6838,1,0,0,[],0,1,[],[],[],[],[],[],15,50,[],""
38,6841,1,1,0,[],0,1,[],[],[],[],[],[],15,60,[],""
39,6843,1,1,0,[],0,1,[],[],[],[],[],[],15,60,[],""
40,6846,1,2,1,[],0,1,[],[],[],[],[],[],15,40,[],""
41,6848,1,2,0,[],0,1,[],[],[],[],[],[],15,60,[],""
42,6850,1,3,3,[],0,1,[],[],[],[],[],[],15,60,[],""
43,6742,0,57,0,[],0,2,[],[],[],[],[],[],150,50,[],""
44,6743,0,57,0,[],0,2,[],[],[],[],[],[],150,50,[],""
45,6744,0,57,0,[],0,2,[],[],[],[],[],[],150,50,[],""
46,6745,0,57,0,[],0,2,[],[],[],[],[],[],150,50,[],""
47,6746,0,57,0,[],0,2,[],[],[],[],[],[],150,50,[],""
48,6754,0,57,0,[],0,1,[],[],[],[],[],[],150,50,[],""
49,6755,0,57,1,[],0,1,[],[],[],[],[],[],150,50,[],""
50,6756,0,57,0,[],0,1,[],[],[],[],[],[],150,120,[],""
51,6765,2,57,0,[],0,8,[],[],[],[],[],[],150,60,[],""
52,6771,2,57,1,[],0,1,[],[],[],[],[],[],150,60,[],""
53,6772,2,57,0,[],0,1,[],[],[],[],[],[],150,60,[],""
54,6786,3,57,0,[],0,5,[],[],[],[],[],[],150,50,[],""
55,6787,3,57,0,[],0,5,[],[],[],[],[],[],150,50,[],""
56,6794,3,57,0,[],0,1,[],[],[],[],[],[],150,50,[],""
57,6795,3,57,1,[],0,1,[],[],[],[],[],[],150,110,[],""
58,6796,3,57,0,[],0,1,[],[],[],[],[],[],150,110,[],""
59,6808,4,57,0,[],0,3,[],[],[],[],[],[],150,50,[],""
60,6809,4,57,0,[],0,3,[],[],[],[],[],[],150,50,[],""
61,6810,4,57,0,[],0,3,[],[],[],[],[],[],150,60,[],""
62,6816,4,57,2,[],0,1,[],[],[],[],[],[],150,50,[],""
63,6817,4,57,2,[],0,1,[],[],[],[],[],[],150,50,[],""
64,6829,1,57,0,[],0,3,[],[],[],[],[],[],150,50,[],""
