"rownum","Id","AtlasRegionsKey","i32","Level","i32","i32","i32","BaseItemTypesKey","AtlasSkillGraphKey","i32","i32","i32","i32","WorldAreasKey","i32","i32"
0,"Void1","",4,83,974,2,4,8090,8,426,0,2334,1100,"[1230,1232,1231,1229]",1155,2298
1,"Void2","",4,83,975,2,4,8091,8,426,0,2334,1101,"[1704,1703,1701,1702]",1155,2299
2,"Void3","",4,83,976,2,4,8092,8,426,0,2334,1102,"[446,444,443,445]",1155,2300
3,"Void4","",4,83,977,2,4,8093,8,426,0,2334,1103,"[1065,1067,1068,1069]",1155,2301
4,"Void5","",5,83,978,2,5,8094,8,426,0,2334,1104,"[442,1066,746,1233,1266]",1155,2349
5,"OutsideTopLeft1",0,3,73,979,2,2,8095,0,427,0,2335,1019,[],1155,2302
6,"OutsideTopLeft2",0,4,75,980,2,2,8096,0,979,1,2335,1019,[],1155,2303
7,"OutsideTopLeft3",0,5,78,981,2,3,8097,0,980,2,2335,1019,[],1155,2304
8,"OutsideTopLeft4",0,6,80,982,2,3,8098,0,981,3,2335,1019,[],1155,2305
9,"OutsideTopLeft5",0,10,83,983,2,10,8099,0,982,4,2335,1019,[],1084,2350
10,"InsideTopLeft1",1,3,73,984,2,2,8100,1,428,0,2336,1020,[],1155,2306
11,"InsideTopLeft2",1,4,75,985,2,2,8101,1,984,1,2336,1020,[],1155,2307
12,"InsideTopLeft3",1,5,78,986,2,3,8102,1,985,2,2336,1020,[],1155,2308
13,"InsideTopLeft4",1,6,80,987,2,3,8103,1,986,3,2336,1020,[],1155,2309
14,"InsideTopLeft5",1,10,83,988,2,10,8104,1,987,4,2336,1020,[],1085,2351
15,"InsideTopRight1",2,3,73,989,2,2,8105,2,429,0,2337,1021,[],1155,2310
16,"InsideTopRight2",2,4,75,990,2,2,8106,2,989,1,2337,1021,[],1155,2311
17,"InsideTopRight3",2,5,78,991,2,3,8107,2,990,2,2337,1021,[],1155,2312
18,"InsideTopRight4",2,6,80,992,2,3,8108,2,991,3,2337,1021,[],1155,2313
19,"InsideTopRight5",2,10,83,993,2,10,8109,2,992,4,2337,1021,[],1086,2352
20,"OutsideTopRight1",3,3,73,994,2,2,8110,3,430,0,2338,1022,[],1155,2314
21,"OutsideTopRight2",3,4,75,995,2,2,8111,3,994,1,2338,1022,[],1155,2315
22,"OutsideTopRight3",3,5,78,996,2,3,8112,3,995,2,2338,1022,[],1155,2316
23,"OutsideTopRight4",3,6,80,997,2,3,8113,3,996,3,2338,1022,[],1155,2317
24,"OutsideTopRight5",3,10,83,998,2,10,8114,3,997,4,2338,1022,[],1087,2353
25,"OutsideBottomLeft1",4,3,73,999,2,2,8115,4,431,0,2339,1023,[],1155,2318
26,"OutsideBottomLeft2",4,4,75,1000,2,2,8116,4,999,1,2339,1023,[],1155,2319
27,"OutsideBottomLeft3",4,5,78,1001,2,3,8117,4,1000,2,2339,1023,[],1155,2320
28,"OutsideBottomLeft4",4,6,80,1002,2,3,8118,4,1001,3,2339,1023,[],1155,2321
29,"OutsideBottomLeft5",4,10,83,1003,2,10,8119,4,1002,4,2339,1023,[],1088,2354
30,"InsideBottomLeft1",5,3,73,1004,2,2,8120,5,432,0,2340,1024,[],1155,2322
31,"InsideBottomLeft2",5,4,75,1005,2,2,8121,5,1004,1,2340,1024,[],1155,2323
32,"InsideBottomLeft3",5,5,78,1006,2,3,8122,5,1005,2,2340,1024,[],1155,2324
33,"InsideBottomLeft4",5,6,80,1007,2,3,8123,5,1006,3,2340,1024,[],1155,2325
34,"InsideBottomLeft5",5,10,83,1008,2,10,8124,5,1007,4,2340,1024,[],1089,2355
35,"InsideBottomRight1",6,3,73,1009,2,2,8125,6,433,0,2341,1025,[],1155,2326
36,"InsideBottomRight2",6,4,75,1010,2,2,8126,6,1009,1,2341,1025,[],1155,2327
37,"InsideBottomRight3",6,5,78,1011,2,3,8127,6,1010,2,2341,1025,[],1155,2328
38,"InsideBottomRight4",6,6,80,1012,2,3,8128,6,1011,3,2341,1025,[],1155,2329
39,"InsideBottomRight5",6,10,83,1013,2,10,8129,6,1012,4,2341,1025,[],1090,2356
40,"OutsideBottomRight1",7,3,73,1014,2,2,8130,7,434,0,2342,1026,[],1155,2330
41,"OutsideBottomRight2",7,4,75,1015,2,2,8131,7,1014,1,2342,1026,[],1155,2331
42,"OutsideBottomRight3",7,5,78,1016,2,3,8132,7,1015,2,2342,1026,[],1155,2332
43,"OutsideBottomRight4",7,6,80,1017,2,3,8133,7,1016,3,2342,1026,[],1155,2333
44,"OutsideBottomRight5",7,10,83,1018,2,10,8134,7,1017,4,2342,1026,[],1091,2357
