"rownum","Item","i32","i32","i32","i32","[rid]","bool","bool","rid"
0,8089,2285,2565,225,2565,[],"","",""
1,8095,2302,2565,979,2565,[],"",1,928
2,8096,2303,2565,980,2565,[],"",1,928
3,8097,2304,2565,981,2565,[],"",1,928
4,8098,2305,2565,982,2565,[],"",1,928
5,8100,2306,2565,984,2565,[],"",1,928
6,8101,2307,2565,985,2565,[],"",1,928
7,8102,2308,2565,986,2565,[],"",1,928
8,8103,2309,2565,987,2565,[],"",1,928
9,8105,2310,2565,989,2565,[],"",1,928
10,8106,2311,2565,990,2565,[],"",1,928
11,8107,2312,2565,991,2565,[],"",1,928
12,8108,2313,2565,992,2565,[],"",1,928
13,8110,2314,2565,994,2565,[],"",1,928
14,8111,2315,2565,995,2565,[],"",1,928
15,8112,2316,2565,996,2565,[],"",1,928
16,8113,2317,2565,997,2565,[],"",1,928
17,8115,2318,2565,999,2565,[],"",1,928
18,8116,2319,2565,1000,2565,[],"",1,928
19,8117,2320,2565,1001,2565,[],"",1,928
20,8118,2321,2565,1002,2565,[],"",1,928
21,8120,2322,2565,1004,2565,[],"",1,928
22,8121,2323,2565,1005,2565,[],"",1,928
23,8122,2324,2565,1006,2565,[],"",1,928
24,8123,2325,2565,1007,2565,[],"",1,928
25,8125,2326,2565,1009,2565,[],"",1,928
26,8126,2327,2565,1010,2565,[],"",1,928
27,8127,2328,2565,1011,2565,[],"",1,928
28,8128,2329,2565,1012,2565,[],"",1,928
29,8130,2330,2565,1014,2565,[],"",1,928
30,8131,2331,2565,1015,2565,[],"",1,928
31,8132,2332,2565,1016,2565,[],"",1,928
32,8133,2333,2565,1017,2565,[],"",1,928
