"rownum","string","[rid]","i32","i32","rid"
0,"anger_aura_end",[827],3,2,""
1,"hatred_aura_end",[828],3,2,""
2,"hatred_aura_end",[1458],3,3,""
3,"wrath_aura_end",[826],3,2,""
4,"haste_aura_end",[797],3,2,""
5,"steelskin_block",[3089],1,0,""
6,"steelskin_block",[5105],1,1,""
7,"steelskin_block",[3090],1,2,""
8,"cremation_explosion",[1649],1,0,""
9,"cremation_explosion",[1649],1,1,""
10,"cremation_explosion",[1800],1,2,""
11,"cremation_explosion",[1825],1,3,""
12,"cremation_explosion",[1652],1,4,""
13,"cremation_explosion",[5323],1,5,""
14,"cremation_explosion",[5476],1,6,""
15,"cremation_explosion",[5498],1,7,""
16,"cremation_geyser",[1650],3,0,""
17,"cremation_geyser",[1650],3,1,""
18,"cremation_geyser",[1801],3,2,""
19,"cremation_geyser",[1826],3,3,""
20,"cremation_geyser",[1653],3,4,""
21,"cremation_geyser",[5322],3,5,""
22,"cremation_geyser",[5475],3,6,""
23,"cremation_geyser",[5497],3,7,""
24,"cremation_impact",[1648],1,0,""
25,"cremation_impact",[1648],1,1,""
26,"cremation_impact",[1799],1,2,""
27,"cremation_impact",[1824],1,3,""
28,"cremation_impact",[1651],1,4,""
29,"cremation_impact",[5321],1,5,""
30,"cremation_impact",[5474],1,6,""
31,"cremation_impact",[5496],1,7,""
32,"consecrated_path_slam",[2210],1,0,""
33,"consecrated_path_slam",[2550],1,1,""
34,"consecrated_path_slam",[4463],1,2,""
35,"consecrated_path_slam",[4469],1,3,""
36,"consecrated_path_slam_large",[4160],1,0,11951
37,"consecrated_path_slam_large",[2550],1,1,11951
38,"consecrated_path_slam_large",[4466],1,2,11951
39,"consecrated_path_slam_large",[4472],1,3,11951
40,"consecrated_path_teleport",[2211],1,0,""
41,"consecrated_path_teleport",[2551],1,1,""
42,"consecrated_path_teleport",[4464],1,2,""
43,"consecrated_path_teleport",[4470],1,3,""
44,"consecrated_path_teleport_large",[4161],1,0,11951
45,"consecrated_path_teleport_large",[2551],1,1,11951
46,"consecrated_path_teleport_large",[4467],1,2,11951
47,"consecrated_path_teleport_large",[4473],1,3,11951
48,"consecrated_path_range",[2212],1,0,""
49,"consecrated_path_range",[2552],1,1,""
50,"consecrated_path_range",[4465],1,2,""
51,"consecrated_path_range",[4471],1,3,""
52,"consecrated_path_range_large",[4162],1,0,11951
53,"consecrated_path_range_large",[2552],1,1,11951
54,"consecrated_path_range_large",[4468],1,2,11951
55,"consecrated_path_range_large",[4474],1,3,11951
56,"divine_cry",[5518],1,0,""
57,"divine_cry",[4251],1,2,""
58,"divine_cry",[4413],1,3,""
59,"absolution_blast",[5552],1,0,""
60,"absolution_blast",[5554],1,1,""
61,"absolution_blast_convert",[5591],3,0,""
62,"absolution_blast_convert",[5591],3,1,""
63,"absolution_blast_shockwave",[5553],3,0,14296
64,"absolution_blast_shockwave",[5555],3,1,14296
65,"absolution_blast_lite",[5692],1,0,""
66,"absolution_blast_lite",[5554],1,1,""
67,"soulfeast_primary_explode",[5538],1,0,""
68,"soulfeast_wall_explode",[5637],1,0,""
69,"mana_void",[5539],3,0,""
70,"mana_void_rect_1",[5540],3,0,""
71,"mana_void_rect_2",[5541],3,0,""
72,"mana_void_rect_3",[5542],3,0,""
73,"mana_void_rect_4",[5543],3,0,""
74,"mana_void_lite",[5685],3,0,""
75,"mana_void_rect_1_lite",[5686],3,0,""
76,"mana_void_rect_2_lite",[5687],3,0,""
77,"mana_void_rect_3_lite",[5688],3,0,""
78,"mana_void_rect_4_lite",[5689],3,0,""
79,"mana_void_unleash",[5690],3,0,""
