"rownum","QuestKey","i32","QuestStates","[i32]","Text","bool","Message","MapPinsKeys1","i32","MapPinsTexts","MapPinsKeys2","[rid]","bool","[i32]","QuestStateCalcuationKey","i32","i32","i32","i32","rid"
0,0,0,[3],[],"Quest Complete - You have killed Hillock and received a reward from Tarkleigh.",1,"Quest Complete",[],0,[],[],[],"",[],0,0,204,0,8,""
1,0,1,"[1,125]",[],"You have killed Hillock, the zombie attacking the town. Talk to Tarkleigh for a reward.","","",[0],0,"[""Talk to Tarkleigh for your reward""]",[0],[],"",[],0,0,504,0,8,""
2,0,2,[1],"[281,368]","You have killed Hillock, the zombie attacking the town and levelled up. Open the Passive Skill Screen and spend a Passive Skill Point to upgrade your character.","","",[1],0,"[""Open the Passive Skill Screen\nSpend your Passive Skill Point""]",[1],[],"",[],0,0,1004,0,8,""
3,0,3,[1],[],"You have killed Hillock, the zombie attacking the town. Enter through the gate for a reward.","","Enter town for your reward",[0],0,"[""Enter town for your reward""]",[1],[],"",[],0,0,1348,0,8,""
4,0,4,[2],[],"A large zombie called Hillock is attacking the town. Kill him to gain access.","","Kill Hillock",[1],0,"[""Kill Hillock""]",[1],[],"",[],0,0,1606,0,8,""
5,5,0,[7],[],"Quest Complete - You have slain Brutus and have received a reward from Tarkleigh.",1,"Quest Complete",[],0,[],[],[],"",[],0,0,1776,0,8,""
6,5,1,"[6,27]",[],"You have killed Brutus and found a way through the Prison. Talk to Tarkleigh in town for a reward.","","Talk to Tarkleigh for your reward",[0],0,"[""Talk to Tarkleigh for your reward""]",[0],[],"",[],0,0,2164,0,8,""
7,5,2,[6],[],"You have killed Brutus and unlocked the Prison's exit. Search for it in the Warden's Chambers in the Upper Prison.","","The Prison's exit is now open",[11],0,"[""Find the exit from the Prison""]",[10],[],"",[],0,0,2564,0,8,""
8,5,3,[515],[],"You have found Brutus in the Warden's Chambers in the Upper Prison. Kill him to unlock the exit.","","Kill Brutus",[10],0,"[""Kill Brutus""]",[10],[],"",[],0,0,2856,0,8,""
9,5,4,[131],[798],"You have found Axiom Prison, home to Brutus, the Warden. Return to town for help preparing for the coming battle.","","Return to town for assistance",[0],0,"[""Talk to Nessa""]",[0],[],"",[],0,0,3226,0,8,""
