"rownum","string","bool"
0,"DISABLED",""
1,"AtlasMission",1
2,"DIVIDER1",1
3,"Gossip",""
4,"DIVIDER2",""
5,"Quests",1
6,"QuestReward",1
7,"NextPresetQuest",1
8,"BanditRespec",1
9,"DIVIDER3",1
10,"SynthesisOptions",1
11,"MetamorphosisOptions",1
12,"BuyDoodads",1
13,"BuyAzuriteItems",1
14,"ViewIncursionTemple",1
15,"OpenIncursionPortal",1
16,"OpenIncursionTemple",1
17,"ItemiseIncursionTemple",""
18,"OpenHeistNPCInventory",1
19,"OpenHeistNPCBlueprint",1
20,"OpenExpeditionMap",1
21,"OpenExpeditionStorage",1
22,"RightMenu",1
23,"BuyProphecy",1
24,"ViewProphecies",1
25,"BuyItems",1
26,"SellItems",1
27,"Crafting",1
28,"DIVIDER4",1
29,"PVP",1
30,"ArenaPVP",1
31,"DIVIDER5",1
32,"TradeDivinationCards",1
33,"CadiroOffer",1
34,"ViewPantheon",1
35,"DIVIDER6",1
36,"SelectHideout",1
37,"InviteToHideout",1
38,"BuyExpeditionItems",1
