"rownum","WorldAreasKey","BaseItemTypesKey","i32","MonsterVarietiesKey","PantheonPanelLayoutKey"
0,1075,7728,1390,2081,0
1,1251,7729,1391,7688,0
2,1227,7730,1392,4857,0
3,1119,7731,1393,2135,1
4,1172,7732,1394,3817,1
5,1091,7733,1395,2069,1
6,1183,7734,1396,4191,2
7,1188,7735,1397,3825,2
8,1192,7736,1398,5441,2
9,1153,7737,1399,2383,3
10,1202,7738,1400,1410,3
11,1249,7739,1401,7727,3
12,1197,7740,1403,5276,6
13,1127,7741,1406,5298,8
14,1212,7742,1407,5308,9
15,1215,7743,1408,5496,10
16,1173,7744,1402,5077,11
17,1118,7745,1405,5027,13
18,1222,7746,1409,5345,14
19,1145,7747,1404,1354,15
