"rownum","DelveUpgradeTypeKey","UpgradeLevel","StatsKeys","StatValues","Cost","i32","AchievementItemsKey","i32"
0,6,0,[],[],0,0,"",0
1,0,0,[8272],[600],0,0,"",0
2,0,1,[8272],[900],15,1,"",6
3,0,2,[8272],[1350],102,2,"",13
4,0,3,[8272],[2000],187,3,"",20
5,0,4,[8272],[3000],300,4,"",25
6,0,5,[8272],[4500],444,4,"",29
7,0,6,[8272],[6400],630,4,"",35
8,0,7,[8272],[9000],865,4,"",0
9,0,8,[8272],[12500],1016,4,"",0
10,0,9,[8272],[17500],1496,4,"",0
11,0,10,[8272],[22750],2143,4,"",0
12,0,11,[8272],[30000],5271,4,"",0
13,0,12,[8272],[38500],12962,4,"",0
14,0,13,[8272],[46000],21521,4,"",0
15,0,14,[8272],[55000],33728,4,"",0
16,0,15,[8272],[65000],54709,4,"",0
17,1,0,[8273],[3],0,0,"",0
18,1,1,[8273],[4],92,0,"",6
19,1,2,[8273],[5],199,0,"",13
20,1,3,[8273],[6],370,0,"",20
21,1,4,[8273],[7],560,0,"",25
22,1,5,[8273],[8],762,0,"",29
23,1,6,[8273],[9],1255,0,"",35
24,1,7,[8273],[10],1495,0,"",0
25,1,8,[8273],[11],1860,0,"",0
26,1,9,[8273],[12],2312,0,"",0
27,1,10,[8273],[13],4046,0,"",0
28,1,11,[8273],[14],7081,0,"",0
29,1,12,[8273],[15],12391,0,"",0
30,1,13,[8273],[16],18678,0,"",0
31,1,14,[8273],[17],25082,0,"",0
32,1,15,[8273],[18],33246,0,"",0
33,1,16,[8273],[19],43909,0,"",0
34,1,17,[8273],[20],58214,0,"",0
35,2,0,[8274],[2],0,0,"",0
36,2,1,[8274],[3],70,0,"",0
37,2,2,[8274],[4],214,0,"",0
38,2,3,[8274],[5],586,0,"",0
39,2,4,[8274],[6],1386,0,"",0
40,2,5,[8274],[7],2050,0,"",0
41,3,0,[8275],[0],0,0,"",0
42,3,1,[8275],[30],50,1,"",6
43,3,2,[8275],[60],167,2,"",13
44,3,3,[8275],[90],312,3,"",20
45,3,4,[8275],[120],505,4,"",25
46,3,5,[8275],[150],688,4,"",29
47,3,6,[8275],[180],1012,4,"",35
48,3,7,[8275],[210],1224,4,"",0
49,3,8,[8275],[240],1397,4,"",0
50,3,9,[8275],[270],1487,4,"",0
51,3,10,[8275],[300],1682,4,"",0
52,3,11,[8275],[330],1832,4,"",0
53,3,12,[8275],[360],1943,4,"",0
54,3,13,[8275],[390],2222,4,"",0
55,3,14,[8275],[420],2276,4,"",0
56,3,15,[8275],[450],2245,4,"",0
57,3,16,[8275],[480],2388,4,"",0
58,3,17,[8275],[510],2446,4,"",0
59,3,18,[8275],[540],2566,4,"",0
60,3,19,[8275],[570],2593,4,"",0
61,3,20,[8275],[600],2824,4,"",0
62,3,21,[8275],[630],2964,4,"",0
63,3,22,[8275],[660],2994,4,"",0
64,3,23,[8275],[690],3262,4,"",0
65,3,24,[8275],[720],3423,4,"",0
66,3,25,[8275],[750],3458,4,"",0
67,3,26,[8275],[780],3767,4,"",0
68,3,27,[8275],[810],3953,4,"",0
69,3,28,[8275],[840],3993,4,"",0
70,3,29,[8275],[870],4350,4,"",0
71,3,30,[8275],[900],4565,4,"",0
72,3,31,[8275],[930],4611,4,"",0
73,3,32,[8275],[960],5024,4,"",0
74,3,33,[8275],[990],5271,4,"",0
75,3,34,[8275],[1020],5325,4,"",0
76,3,35,[8275],[1050],5802,4,"",0
77,3,36,[8275],[1080],6088,4,"",0
78,3,37,[8275],[1110],6150,4,"",0
79,3,38,[8275],[1140],6700,4,"",0
80,3,39,[8275],[1170],7030,4,"",0
81,3,40,[8275],[1200],7102,4,"",0
82,3,41,[8275],[1230],7737,4,"",0
83,3,42,[8275],[1260],8119,4,"",0
84,3,43,[8275],[1290],8202,4,"",0
85,3,44,[8275],[1320],8936,4,"",0
86,3,45,[8275],[1350],9376,4,"",0
87,3,46,[8275],[1380],9472,4,"",0
88,3,47,[8275],[1410],10319,4,"",0
89,3,48,[8275],[1440],10828,4,"",0
90,3,49,[8275],[1470],10939,4,"",0
91,3,50,[8275],[1500],11917,4,"",0
92,3,51,[8275],[1530],12505,4,"",0
93,3,52,[8275],[1560],12633,4,"",0
94,3,53,[8275],[1590],13763,4,"",0
95,3,54,[8275],[1620],14441,4,"",0
96,3,55,[8275],[1650],14589,4,"",0
97,3,56,[8275],[1680],15894,4,"",0
98,3,57,[8275],[1710],16677,4,"",0
99,3,58,[8275],[1740],16848,4,"",0
100,3,59,[8275],[1770],18355,4,"",0
101,3,60,[8275],[1800],19260,4,"",0
102,3,61,[8275],[1830],19457,4,"",0
103,3,62,[8275],[1860],21197,4,"",0
104,3,63,[8275],[1890],22242,4,"",0
105,3,64,[8275],[1920],22470,4,"",0
106,3,65,[8275],[1950],24479,4,"",0
107,3,66,[8275],[1980],25686,4,"",0
108,3,67,[8275],[2010],25949,4,"",0
109,3,68,[8275],[2040],28270,4,"",0
110,3,69,[8275],[2070],29664,4,"",0
111,3,70,[8275],[2100],29967,4,"",0
112,3,71,[8275],[2130],32647,4,"",0
113,3,72,[8275],[2160],34257,4,"",0
114,3,73,[8275],[2190],34607,4,"",0
115,3,74,[8275],[2220],37702,4,"",0
116,3,75,[8275],[2250],39562,4,"",0
117,3,76,[8275],[2280],39966,4,"",0
118,3,77,[8275],[2310],43540,4,"",0
119,3,78,[8275],[2340],45688,4,"",0
120,3,79,[8275],[2370],46155,4,"",0
121,3,80,[8275],[2400],50282,4,"",0
122,3,81,[8275],[2430],52762,4,"",0
123,3,82,[8275],[2460],53302,4,"",0
124,3,83,[8275],[2490],58069,4,"",0
125,3,84,[8275],[2520],60932,4,"",0
126,3,85,[8275],[2550],61555,4,"",0
127,3,86,[8275],[2580],67060,4,"",0
128,3,87,[8275],[2610],70367,4,"",0
129,3,88,[8275],[2640],71087,4,"",0
130,3,89,[8275],[2670],77444,4,"",0
131,3,90,[8275],[2700],81264,4,"",0
132,3,91,[8275],[2730],82095,4,"",0
133,3,92,[8275],[2760],89436,4,"",0
134,3,93,[8275],[2790],93847,4,"",0
135,3,94,[8275],[2820],94807,4,"",0
136,3,95,[8275],[2850],103285,4,"",0
137,3,96,[8275],[2880],108379,4,"",0
138,3,97,[8275],[2910],109487,4,"",0
139,3,98,[8275],[2940],119279,4,"",0
140,3,99,[8275],[2970],125161,4,"",0
141,3,100,[8275],[3000],126441,4,"",0
142,3,101,[8275],[3030],137749,4,"",0
143,3,102,[8275],[3060],144542,4,"",0
144,3,103,[8275],[3090],146020,4,"",0
145,3,104,[8275],[3120],159078,4,"",0
146,3,105,[8275],[3150],166924,4,"",0
147,4,0,[8276],[0],0,0,"",0
148,4,1,[8276],[30],121,0,"",6
149,4,2,[8276],[60],233,0,"",13
150,4,3,[8276],[90],396,0,"",20
151,4,4,[8276],[120],598,0,"",25
152,4,5,[8276],[150],850,0,"",29
153,4,6,[8276],[180],1111,0,"",35
154,4,7,[8276],[210],1273,0,"",0
155,4,8,[8276],[240],1385,0,"",0
156,4,9,[8276],[270],1576,0,"",0
157,4,10,[8276],[300],1714,0,"",0
158,4,11,[8276],[330],1811,0,"",0
159,4,12,[8276],[360],2072,0,"",0
160,4,13,[8276],[390],2235,0,"",0
161,4,14,[8276],[420],2205,0,"",0
162,4,15,[8276],[450],2345,0,"",0
163,4,16,[8276],[480],2402,0,"",0
164,4,17,[8276],[510],2369,0,"",0
165,4,18,[8276],[540],2581,0,"",0
166,4,19,[8276],[570],2709,0,"",0
167,4,20,[8276],[600],2736,0,"",0
168,4,21,[8276],[630],2981,0,"",0
169,4,22,[8276],[660],3128,0,"",0
170,4,23,[8276],[690],3160,0,"",0
171,4,24,[8276],[720],3443,0,"",0
172,4,25,[8276],[750],3612,0,"",0
173,4,26,[8276],[780],3649,0,"",0
174,4,27,[8276],[810],3976,0,"",0
175,4,28,[8276],[840],4172,0,"",0
176,4,29,[8276],[870],4215,0,"",0
