"rownum","string","i32","bool","rid","rid","bool","bool","bool"
0,"0",0,"",0,0,"","",""
1,"1",0,1,0,16777216,"","",""
2,"2",1,"",0,33554432,"","",""
3,"3",1,1,0,50331648,"","",""
4,"4",2,"",16777216,0,"","",""
5,"5",2,1,16777216,16777216,"","",""
6,"6",3,"",16777216,33554432,"","",""
7,"7",3,1,16777216,50331648,"","",""
8,"8",4,"",33554432,0,"","",""
9,"9",4,1,33554432,16777216,"","",""
10,"10",5,"",33554432,33554432,"","",""
11,"11",5,1,33554432,50331648,"","",""
12,"12",6,"",50331648,0,"","",""
13,"13",6,1,50331648,16777216,"","",""
14,"14",7,"",50331648,33554432,"","",""
15,"15",7,1,50331648,50331648,"","",""
16,"16",8,"",67108864,0,"","",""
17,"17",8,1,67108864,16777216,"","",""
18,"18",9,"",67108864,33554432,"","",""
19,"19",9,1,67108864,50331648,"","",""
20,"20",10,"",83886080,0,"","",""
21,"21",10,1,83886080,16777216,"","",""
22,"22",11,"",83886080,33554432,"","",""
23,"23",11,1,83886080,50331648,"","",""
24,"24",12,"",100663296,0,"","",""
25,"25",12,1,100663296,16777216,"","",""
26,"26",13,"",100663296,33554432,"","",""
27,"27",13,1,100663296,50331648,"","",""
28,"28",14,"",117440512,0,"","",""
29,"29",14,1,117440512,16777216,"","",""
30,"30",15,"",117440512,33554432,"","",""
31,"31",15,1,117440512,50331648,"","",""
