"rownum","StatsKey","i32","MonsterPacksKeys","AdditionalMonsterPacksStatMode","PackCountStatsKey","StatsKeys","StatsValues","i32"
0,6900,1,"[1313,1314]",1,"",[],[],0
1,6899,1,"[1306,1307,1308,1309,1310,1311,1800]",0,2221,[],[],0
2,7273,1,"[1318,1319,1320,1321]",0,2221,[],[],0
3,9414,2,[1799],0,"",[],[],0
4,5048,2,[1235],0,"",[],[],0
5,5049,2,[1239],0,"",[],[],0
6,5050,2,[1237],0,"",[],[],0
7,5644,2,[1286],0,"",[],[],0
8,5051,2,[1238],0,"",[],[],0
9,5052,2,[1236],0,"",[],[],0
10,5104,2,[1240],0,"",[],[],0
11,5133,2,[1244],0,"",[],[],0
12,5108,2,[1245],0,"",[5111],[1],0
13,5109,2,[1241],0,"",[],[],15
14,10868,2,"[1318,1319,1320,1321]",0,"",[10906],[1],126
15,10869,2,"[1306,1307,1308,1309,1310,1311,1800]",0,"",[10905],[1],127
16,14023,2,[1398],0,"",[],[],0
17,14024,2,[1399],0,"",[],[],0
18,14025,2,[1409],0,"",[],[],0
