"rownum","rid","rid","[rid]"
0,1497,1498,[]
1,1499,1500,[]
2,1501,1502,[]
3,1503,1504,[]
4,1508,1509,[]
5,1510,1511,[]
6,1512,1513,[]
7,1557,1558,[]
8,1559,1560,[]
9,1561,1562,[]
10,1563,1564,[]
11,1565,1566,[]
12,1567,1568,[]
13,1569,1570,[]
14,1571,1572,[]
15,1573,1574,[]
16,3576,3577,[]
17,3578,3579,[]
18,3580,3581,[]
19,3582,3583,[]
20,1529,1530,[]
21,1531,1532,[]
22,1533,1534,[]
23,1598,1599,[]
24,1600,1601,[]
25,1602,1603,[]
26,273,274,[]
27,276,277,[]
28,278,279,[]
29,301,302,[]
30,303,304,[]
31,309,310,[]
32,311,312,[]
33,313,314,[]
34,321,322,[]
35,323,322,[]
36,324,322,[]
37,325,322,[]
38,801,803,[]
39,1450,1451,[]
40,1452,1453,[]
41,1454,1455,[]
42,1456,1457,[]
43,1458,1459,[]
44,1460,1461,[]
45,1462,1463,[]
46,1464,1465,[]
47,2819,2821,[]
48,2824,2826,[]
49,2837,2839,[]
50,2827,2832,[]
51,2831,2832,[]
52,2844,2845,[]
53,2840,2845,[]
54,5525,5527,[]
55,5531,5535,[]
56,5532,5535,[]
57,5536,5539,[]
58,5537,5539,[]
59,5540,5541,[]
60,5543,5544,[]
61,5545,5546,[]
62,5547,5548,[]
63,5550,5551,[]
64,5555,5556,[]
65,5558,5559,[]
66,6139,5535,[]
67,6141,5535,[]
68,6143,5535,[]
69,6145,5535,[]
70,6147,5535,[]
71,6140,5539,[]
72,6142,5539,[]
73,6144,5539,[]
74,6146,5539,[]
75,6148,5539,[]
76,6149,5541,[]
77,6150,5546,[]
78,6151,5559,[]
79,6153,5544,[]
80,6154,6155,[]
81,6156,6155,[]
82,6157,6158,[]
83,6159,6158,[]
84,6160,6161,[]
85,6162,6161,[]
86,6180,6181,[]
87,6185,6186,[]
88,6189,6186,[]
89,6187,6188,[]
90,6190,6188,[]
91,6191,6192,[]
92,6193,6192,[]
93,6197,6198,[]
94,6199,6198,[]
95,6202,6203,[]
96,6206,6203,[]
97,6204,6205,[]
98,6207,6205,[]
99,6210,6211,[]
100,6214,6211,[]
101,6212,6213,[]
102,6215,6213,[]
103,6219,6220,[]
104,6223,6220,[]
105,6221,6222,[]
106,6224,6222,[]
107,6226,6227,[]
108,6230,6227,[]
109,6232,6227,[]
110,6228,6229,[]
111,6231,6229,[]
112,6237,6229,[]
113,6233,6234,[]
114,6235,6236,[]
115,6238,584,[]
116,6239,3606,[]
117,6240,3615,[]
118,6241,3622,[]
119,6244,5340,[]
120,6245,5341,[]
121,6246,414,[]
122,6247,414,[]
123,6248,414,[]
124,6249,414,[]
125,6250,414,[]
126,6251,6255,[]
127,6252,6255,[]
128,6253,6255,[]
129,6254,6255,[]
130,6256,6258,[]
131,6260,119,[]
132,6265,3670,[]
133,6266,5548,[]
134,6269,5551,[]
135,6270,115,[]
136,6271,811,[]
137,6272,1359,[]
138,6275,2765,[]
139,6293,5973,[]
140,6295,5975,[]
141,6297,5977,[]
142,6299,5979,[]
143,6301,5981,[]
144,6302,5983,[]
145,6303,5985,[]
146,6304,5987,[]
147,6305,5989,[]
148,6306,5991,[]
149,6307,5993,[]
150,6308,5995,[]
151,6309,5997,[]
152,6311,5999,[]
153,6313,6001,[]
154,6315,6003,[]
155,6317,6085,[]
156,6318,6089,[]
157,6319,6093,[]
158,6320,6097,[]
159,6321,6101,[]
160,6322,6105,[]
161,6323,6109,[]
162,6330,374,[]
163,6334,6335,[]
164,6336,6337,[]
165,6354,6357,[]
166,6355,6357,[]
167,6356,6357,[]
168,6358,6361,[]
169,6359,6361,[]
170,6360,6361,[]
171,6362,6365,[]
172,6363,6365,[]
173,6364,6365,[]
174,6366,6369,[]
175,6367,6369,[]
176,6368,6369,[]
177,6370,6373,[]
178,6371,6373,[]
179,6372,6373,[]
180,6374,6377,[]
181,6375,6377,[]
182,6376,6377,[]
