"rownum","string","i32","[rid]","i32","rid"
0,"default_ranged",0,[59],3,""
1,"default_ranged",1,[210],3,""
2,"default_ranged",2,[332],3,""
3,"default_ranged",3,[557],3,""
4,"default_ranged",4,[558],3,""
5,"default_ranged",5,[593],3,""
6,"default_ranged",6,[609],3,""
7,"default_ranged",7,[610],3,""
8,"default_ranged",8,[611],3,""
9,"default_ranged",9,[612],3,""
10,"default_ranged",10,[613],3,""
11,"default_ranged",11,[614],3,""
12,"default_ranged",12,[615],3,""
13,"default_ranged",13,[616],3,""
14,"default_ranged",14,[617],3,""
15,"default_ranged",15,[618],3,""
16,"default_ranged",16,[619],3,""
17,"default_ranged",17,[620],3,""
18,"default_ranged",18,[702],3,""
19,"default_ranged",19,[678],3,""
20,"default_ranged",20,[687],3,""
21,"default_ranged",21,[703],3,""
22,"default_ranged",22,[710],3,""
23,"default_ranged",23,[711],3,""
24,"default_ranged",24,[712],3,""
25,"default_ranged",25,[811],3,""
26,"default_ranged",26,[814],3,""
27,"default_ranged",27,[822],3,""
28,"default_ranged",28,[919],3,""
29,"default_ranged",29,[965],3,""
30,"default_ranged",30,[972],3,""
31,"default_ranged",31,[1055],3,""
32,"default_ranged",32,[1066],3,""
33,"default_ranged",33,[1067],3,""
34,"default_ranged",34,[1068],3,""
35,"cremation_projectile",0,[371],3,""
36,"cremation_projectile",1,[371],3,""
37,"cremation_projectile",2,[412],3,""
38,"cremation_projectile",3,[416],3,""
39,"cremation_projectile",4,[372],3,""
40,"cremation_projectile",5,[1050],3,""
41,"cremation_projectile",6,[1065],3,""
42,"cremation_projectile",7,[1069],3,""
43,"soulfeast_primary",0,[1071],3,""
44,"soulfeast_secondary",0,[1072],3,""
45,"soulfeast_primary_short",0,[1073],3,""
46,"soulfeast_secondary_short",0,[1074],3,""
47,"igniting_flask",0,[1088],3,""
48,"spark",0,[17],3,""
49,"spark",1,[18],3,""
50,"spark",2,[19],3,""
51,"spark",3,[257],3,""
52,"spark",4,[355],3,""
53,"spark",5,[356],3,""
54,"spark",6,[17],3,""
55,"spark",7,[429],3,""
56,"spark",8,[444],3,""
57,"spark",9,[467],3,""
58,"spark",10,[480],3,""
59,"spark",11,[528],3,""
60,"spark",12,[604],3,""
61,"spark",13,[713],3,""
62,"spark",14,[720],3,""
63,"spark",15,[771],3,""
64,"spark",16,[916],3,""
65,"spark",17,[1033],3,""
66,"spark",18,[1034],3,""
67,"spark",19,[1089],3,""
68,"spark_monster",1,[93],3,""
69,"spark_monster",2,[94],3,""
70,"spark_monster",3,[863],3,""
71,"spark_tornado",0,[356],3,""
72,"spark_tornado",2,[359],3,""
73,"spark_tornado",17,[357],3,""
74,"spark_tornado",18,[358],3,""
75,"lightning_strike_projectile",0,[30],3,""
76,"lightning_strike_projectile_lite",0,[1111],3,""
77,"lightning_strike_projectile",1,[30],3,""
78,"lightning_strike_projectile_lite",1,[1111],3,""
79,"lightning_strike_projectile",2,[1097],3,""
80,"lightning_strike_projectile_lite",2,[1097],3,""
81,"burning_arrow",0,[62],3,""
82,"burning_arrow_vaal",0,[63],3,""
83,"burning_arrow",1,[1102],3,""
84,"burning_arrow_vaal",1,[1103],3,""
85,"eye_of_winter_ball",0,[1090],3,""
86,"eye_of_winter_ball",1,[1115],3,""
87,"eye_of_winter_shard",0,[1091],3,""
88,"eye_of_winter_shard",1,[1116],3,""
89,"spectral_helix",0,[1080],3,""
90,"spectral_helix",1,[1117],3,""
91,"mortar_barrage_mine",0,[725],3,""
92,"mortar_barrage_mine",1,[740],3,""
93,"mortar_barrage_mine",2,[1119],3,""
94,"cold_projectile_mine",0,[729],3,""
95,"cold_projectile_mine",1,[739],3,""
96,"cold_projectile_mine",2,[1118],3,""
