"rownum","BaseItemType","i32","i32"
0,3556,30,105
1,3555,160,105
2,3455,150,131
3,3439,0,0
4,3558,30,105
5,3557,160,105
6,3476,150,131
7,3485,160,105
8,3395,15,3
9,3394,95,62
10,3396,200,0
11,3393,5,0
12,3560,160,131
13,3512,30,105
14,3511,160,105
15,3450,150,131
16,3549,210,234
17,3561,180,234
18,3545,150,131
19,3515,120,131
20,3473,250,131
21,3480,0,0
22,3479,0,0
23,3536,160,105
24,3516,120,131
25,3420,175,131
26,3475,200,131
27,3503,30,105
28,3506,160,105
29,3505,60,211
30,3566,0,0
31,3389,15,62
32,3388,25,62
33,3392,1100,235
34,3390,550,338
35,3385,65,62
36,3384,45,62
37,3474,450,340
38,3391,550,340
39,3436,0,0
40,3445,180,131
41,3407,0,0
42,3406,0,0
43,3405,0,0
44,3404,0,0
45,3403,0,0
46,3484,160,105
47,3467,150,131
48,3491,0,0
49,3444,150,131
50,3486,150,0
51,3559,160,0
52,3442,180,131
53,3443,100,131
54,3454,80,62
55,3522,320,211
56,3477,150,131
57,3428,80,62
58,3551,0,0
59,3552,0,0
60,3550,0,0
61,3538,30,105
62,3465,0,0
63,3510,160,0
64,3451,0,0
65,3539,160,105
66,3540,30,105
67,3481,30,105
68,3527,0,0
69,3441,150,131
70,3448,0,0
71,3447,0,0
72,3401,0,0
73,3400,0,0
74,3399,0,0
75,3398,0,0
76,3397,0,0
77,3490,0,0
78,3565,30,105
79,3504,30,105
80,3507,160,105
81,3492,160,105
82,3488,30,105
83,3526,0,0
84,3541,160,105
85,3542,30,105
86,3489,1,0
87,3499,0,0
88,3468,160,131
89,3440,120,131
90,3502,0,0
91,3483,0,0
92,3517,120,131
93,3469,190,235
94,3530,160,0
95,3518,160,235
96,3509,160,0
97,3416,0,0
98,3456,0,0
99,3458,0,0
100,3457,0,0
101,3460,0,0
102,3459,0,0
103,3413,0,0
104,3470,0,0
105,3452,220,235
106,3382,50,62
107,3381,20,62
108,3383,0,0
109,3380,45,62
110,3379,15,62
111,3378,55,62
112,3377,25,62
113,3411,250,235
114,3429,150,131
115,3419,250,131
116,3528,0,0
117,3531,0,0
118,3432,45,131
119,3472,55,131
120,3431,55,131
121,3493,160,105
122,3487,30,105
123,3525,0,0
124,3408,150,131
125,3523,30,105
126,3521,160,105
127,3498,0,0
128,3497,0,0
129,3496,0,0
130,3495,0,0
131,3494,0,0
132,3433,0,0
133,3544,150,235
134,3533,0,0
135,3532,350,0
136,3478,0,0
137,3446,120,131
138,3415,0,0
139,3571,0,0
140,3410,0,0
141,3482,30,105
142,3553,90,131
143,3562,160,105
144,3554,0,0
145,3537,160,105
146,3501,150,131
147,3418,25,3
148,3417,120,131
