"rownum","Id","MonsterPacksKey","bool","i32","MonsterVarietiesKey"
0,"ProxyKey168",1,1,80,2390
1,"ProxyKey170",1,1,20,2427
2,"ProxyKey942",2,1,8,2430
3,"ProxyKey943",2,1,40,2427
4,"ProxyKey3336",2,1,40,2390
5,"ProxyKey3333",2,1,8,2395
6,"ProxyKey3340",2,1,4,2453
7,"ProxyKey1025",3,1,20,2430
8,"ProxyKey1026",3,1,20,2395
9,"ProxyKey1027",3,1,30,2390
10,"ProxyKey1028",3,1,30,2427
11,"ProxyKey177",4,1,60,414
12,"ProxyKey338",0,1,50,2395
13,"ProxyKey341",0,1,50,2430
14,"ProxyKey58",5,1,85,398
15,"ProxyKey165",5,1,15,406
16,"ProxyKey166",6,1,100,398
17,"ProxyKey1503",7,1,25,5638
18,"4265",7,1,25,5635
19,"4266",7,1,25,5636
20,"4267",7,1,25,5637
21,"ProxyKey452",8,1,50,2427
22,"ProxyKey394",8,1,50,2390
23,"ProxyKey259",9,1,45,2427
24,"ProxyKey254",9,1,45,2390
25,"ProxyKey3346",9,1,10,2453
26,"ProxyKey662",11,1,100,507
27,"ProxyKey660",12,1,50,588
28,"ProxyKey661",12,1,50,511
29,"ProxyKey658",13,1,50,588
30,"ProxyKey659",13,1,50,571
31,"ProxyKey3343",14,1,100,605
32,"ProxyKey1",15,1,25,255
33,"ProxyKey2",15,1,75,217
34,"ProxyKey21",16,1,100,301
35,"ProxyKey104",17,"",12,786
36,"ProxyKey151",18,"",12,786
37,"ProxyKey1489",19,"",1,3176
38,"ProxyKey1490",19,"",1,3177
39,"ProxyKey212",20,1,30,102
40,"ProxyKey264",20,1,70,830
41,"ProxyKey4",21,1,100,358
42,"ProxyKey218",22,1,70,54
43,"ProxyKey220",22,1,30,6
44,"ProxyKey63",23,1,100,54
45,"ProxyKey64",24,1,100,115
46,"ProxyKey66",25,1,100,51
47,"ProxyKey231",26,1,33,564
48,"ProxyKey232",26,1,33,543
49,"ProxyKey233",26,1,34,577
50,"ProxyKey223",27,1,40,827
51,"ProxyKey1401",27,1,60,831
52,"ProxyKey45",28,1,40,582
53,"ProxyKey100",28,1,60,682
54,"ProxyKey235",32,1,100,759
55,"ProxyKey49",30,1,30,48
56,"ProxyKey9",30,1,70,55
57,"ProxyKey1500",31,1,100,759
58,"ProxyKey236",29,1,20,3
59,"ProxyKey237",29,1,30,10
60,"ProxyKey238",29,1,50,49
61,"ProxyKey1501",33,1,50,10
62,"ProxyKey1502",33,1,50,49
