"rownum","Id","BaseItemTypesKey","PosX","PosY","Order","SizeX","SizeY","bool","i32","i32"
0,"Metadata/Items/MapFragments/CurrencyVaalFragment1_1",5998,220,99,0,1,1,"",0,70
1,"Metadata/Items/MapFragments/CurrencyVaalFragment1_2",5999,220,193,1,1,1,"",0,70
2,"Metadata/Items/MapFragments/CurrencyVaalFragment1_3",6000,122,193,2,1,1,"",0,70
3,"Metadata/Items/MapFragments/CurrencyVaalFragment1_4",6001,122,99,3,1,1,"",0,70
4,"Metadata/Items/MapFragments/CurrencyVaalFragment2_1",6003,744,99,4,1,1,"",0,70
5,"Metadata/Items/MapFragments/CurrencyVaalFragment2_2",6004,744,193,5,1,1,"",0,70
6,"Metadata/Items/MapFragments/CurrencyVaalFragment2_3",6005,647,193,6,1,1,"",0,70
7,"Metadata/Items/MapFragments/CurrencyVaalFragment2_4",6006,647,99,7,1,1,"",0,70
8,"Metadata/Items/MapFragments/CurrencyProphecyFragment1",6008,482,99,8,1,1,"",0,70
9,"Metadata/Items/MapFragments/CurrencyProphecyFragment2",6009,482,193,9,1,1,"",0,70
10,"Metadata/Items/MapFragments/CurrencyProphecyFragment3",6010,385,193,10,1,1,"",0,70
11,"Metadata/Items/MapFragments/CurrencyProphecyFragment4",6011,385,99,11,1,1,"",0,70
12,"Metadata/Items/MapFragments/CurrencyShaperFragment1",6013,482,674,12,1,1,"",0,70
13,"Metadata/Items/MapFragments/CurrencyShaperFragment2",6014,482,768,13,1,1,"",0,70
14,"Metadata/Items/MapFragments/CurrencyShaperFragment3",6015,385,768,14,1,1,"",0,70
15,"Metadata/Items/MapFragments/CurrencyShaperFragment4",6016,385,674,15,1,1,"",0,70
16,"Metadata/Items/MapFragments/CurrencyFragmentPantheonFlask",6028,122,542,16,1,1,"",0,70
17,"Metadata/Items/MapFragments/CurrencyBreachFragmentFire",6029,228,315,17,1,1,"",1,74
18,"Metadata/Items/MapFragments/CurrencyBreachFragmentCold",6030,329,315,18,1,1,"",1,74
19,"Metadata/Items/MapFragments/CurrencyBreachFragmentLightning",6031,430,315,19,1,1,"",1,74
20,"Metadata/Items/MapFragments/CurrencyBreachFragmentPhysical",6032,532,315,20,1,1,"",1,74
21,"Metadata/Items/MapFragments/CurrencyBreachFragmentChaos",6033,633,315,21,1,1,"",1,74
22,"Metadata/Items/Currency/CurrencyBreachFireShard",182,228,197,22,1,1,1,1,74
23,"Metadata/Items/Currency/CurrencyBreachColdShard",183,329,197,23,1,1,1,1,74
24,"Metadata/Items/Currency/CurrencyBreachLightningShard",184,430,197,24,1,1,1,1,74
25,"Metadata/Items/Currency/CurrencyBreachPhysicalShard",185,532,197,25,1,1,1,1,74
26,"Metadata/Items/Currency/CurrencyBreachChaosShard",186,633,197,26,1,1,1,1,74
27,"Metadata/Items/MapFragments/CurrencyOfferingToTheGoddess",6055,247,542,27,1,1,"",0,70
28,"Metadata/Items/Scarabs/ScarabBreach1",7768,491,677,28,1,1,"",2,75
29,"Metadata/Items/Scarabs/ScarabBreach2",7769,592,677,29,1,1,"",2,75
30,"Metadata/Items/Scarabs/ScarabBreach3",7770,693,677,30,1,1,"",2,75
31,"Metadata/Items/Scarabs/ScarabMaps1",7772,491,287,31,1,1,"",2,75
32,"Metadata/Items/Scarabs/ScarabMaps2",7773,592,287,32,1,1,"",2,75
33,"Metadata/Items/Scarabs/ScarabMaps3",7774,693,287,33,1,1,"",2,75
34,"Metadata/Items/Scarabs/ScarabUniques1",7776,68,186,34,1,1,"",2,75
35,"Metadata/Items/Scarabs/ScarabUniques2",7777,169,186,35,1,1,"",2,75
36,"Metadata/Items/Scarabs/ScarabUniques3",7778,270,186,36,1,1,"",2,75
37,"Metadata/Items/Scarabs/ScarabBeasts1",7780,68,89,37,1,1,"",2,75
38,"Metadata/Items/Scarabs/ScarabBeasts2",7781,169,89,38,1,1,"",2,75
39,"Metadata/Items/Scarabs/ScarabBeasts3",7782,270,89,39,1,1,"",2,75
40,"Metadata/Items/Scarabs/ScarabShaperRares1",7788,491,89,40,1,1,"",2,75
41,"Metadata/Items/Scarabs/ScarabShaperRares2",7789,592,89,41,1,1,"",2,75
42,"Metadata/Items/Scarabs/ScarabShaperRares3",7790,693,89,42,1,1,"",2,75
43,"Metadata/Items/Scarabs/ScarabElderRares1",7792,491,482,43,1,1,"",2,75
44,"Metadata/Items/Scarabs/ScarabElderRares2",7793,592,482,44,1,1,"",2,75
45,"Metadata/Items/Scarabs/ScarabElderRares3",7794,693,482,45,1,1,"",2,75
46,"Metadata/Items/Scarabs/ScarabSulphite1",7796,68,382,46,1,1,"",2,75
47,"Metadata/Items/Scarabs/ScarabSulphite2",7797,169,382,47,1,1,"",2,75
48,"Metadata/Items/Scarabs/ScarabSulphite3",7798,270,382,48,1,1,"",2,75
49,"Metadata/Items/Scarabs/ScarabDivinationCards1",7800,491,579,49,1,1,"",2,75
50,"Metadata/Items/Scarabs/ScarabDivinationCards2",7801,592,579,50,1,1,"",2,75
51,"Metadata/Items/Scarabs/ScarabDivinationCards3",7802,693,579,51,1,1,"",2,75
52,"Metadata/Items/Scarabs/ScarabTorment1",7804,68,284,52,1,1,"",2,75
53,"Metadata/Items/Scarabs/ScarabTorment2",7805,169,284,53,1,1,"",2,75
54,"Metadata/Items/Scarabs/ScarabTorment3",7806,270,284,54,1,1,"",2,75
55,"Metadata/Items/Scarabs/ScarabStrongbox1",7808,68,675,55,1,1,"",2,75
56,"Metadata/Items/Scarabs/ScarabStrongbox2",7809,169,675,56,1,1,"",2,75
57,"Metadata/Items/Scarabs/ScarabStrongbox3",7810,270,675,57,1,1,"",2,75
58,"Metadata/Items/Scarabs/ScarabHarbinger1",7812,491,384,58,1,1,"",2,75
59,"Metadata/Items/Scarabs/ScarabHarbinger2",7813,592,384,59,1,1,"",2,75
60,"Metadata/Items/Scarabs/ScarabHarbinger3",7814,693,384,60,1,1,"",2,75
61,"Metadata/Items/Scarabs/ScarabPerandus1",7816,491,189,61,1,1,"",2,75
62,"Metadata/Items/Scarabs/ScarabPerandus2",7817,592,189,62,1,1,"",2,75
63,"Metadata/Items/Scarabs/ScarabPerandus3",7818,693,189,63,1,1,"",2,75
64,"Metadata/Items/MapFragments/CurrencyLegionFragmentKarui",6049,335,420,64,1,1,"",0,70
