"rownum","Id","i32","i32","i32","i32","rid","rid","[rid]","bool","bool","[string]","[rid]","i32","i32","i32"
0,"IsNormalMonster",0,0,0,0,"","",[],"","",[],[],0,1,100
1,"IsMagicMonster",1,0,0,0,"","",[],"","",[],[],0,1,100
2,"IsRareMonster",2,0,0,0,"","",[],"","",[],[],0,1,100
3,"IsUniqueMonster",3,0,0,0,"","",[],"","",[],[],0,1,100
4,"IsMapBoss",-16843010,-16843010,-16843010,-16843010,"","",[],1,"",[],[],0,1,100
5,"IsNotUnique",-16843010,-16843010,-16843010,-16843010,"",3,[],"","",[],[],0,1,100
6,"IsBeyondMonster",-16843010,-16843010,-16843010,-16843010,5765,"",[],"","",[],[],0,1,100
7,"IsInvasionBoss",-16843010,-16843010,-16843010,-16843010,3549,"",[],"","",[],[],0,1,100
8,"IsTormentedSpirit",-16843010,-16843010,-16843010,-16843010,5628,"",[],"","",[],[],0,1,100
9,"IsRogueExile",-16843010,-16843010,-16843010,-16843010,8921,"",[],"","",[],[],0,1,100
10,"IsIzaro",-16843010,-16843010,-16843010,-16843010,4162,"",[],"","",[],[],0,1,100
11,"IsNotIzaro",-16843010,-16843010,-16843010,-16843010,"","",[4162],"","",[],[],0,1,100
12,"IsSynthesisedMonster",-16843010,-16843010,-16843010,-16843010,"","",[],"","","[""r""]",[],0,1,100
13,"IsNotConvertingPhysicalDamage",-16843010,-16843010,-16843010,-16843010,"","","[1109,1110,1111,1112]","","",[],[],0,1,100
14,"IsHarbinger",-16843010,-16843010,-16843010,-16843010,9391,"",[],"","",[],[],0,1,100
15,"IsFirst3Possessed",-16843010,-16843010,-16843010,-16843010,2634,"",[],"","",[],[],3,1,100
16,"IsCorruptedVaal",-16843010,-16843010,-16843010,-16843010,"","",[],"","","[""tConvertingPhysicalDamage""]",[],0,1,100
17,"IsNotMapBoss",-16843010,-16843010,-16843010,-16843010,"","",[],"",1,[],[],0,1,100
18,"ShouldNotDropSplinters",-16843010,-16843010,-16843010,-16843010,11729,"",[],"","",[],[],0,1,100
19,"IsWarband",-16843010,-16843010,-16843010,-16843010,11730,"",[],"","",[],[],0,1,100
20,"IsElderPortal",-16843010,-16843010,-16843010,-16843010,11731,"",[],"","",[],[],0,1,100
21,"IsMapBossUnderling",-16843010,-16843010,-16843010,-16843010,11732,"",[],"","",[],[],0,1,100
22,"IsAfflictionWildBoss",-16843010,-16843010,-16843010,-16843010,11733,"",[],"","",[],[],0,1,100
23,"IsTempleArchitect",-16843010,-16843010,-16843010,-16843010,11766,"",[],"","",[],[],0,1,100
24,"IsNotTempleArchitect",-16843010,-16843010,-16843010,-16843010,"","",[11766],"","",[],[],0,1,100
25,"IsIncursionBoss",-16843010,-16843010,-16843010,-16843010,11767,"",[],"","",[],[],0,1,100
26,"IsWarbandLeader",-16843010,-16843010,-16843010,-16843010,11815,"",[],"","",[],[],0,1,100
27,"IsNotWarbandLeader",-16843010,-16843010,-16843010,-16843010,"","",[11815],"","",[],[],0,1,100
28,"IsBetrayalTarget",-16843010,-16843010,-16843010,-16843010,11835,"",[],"","",[],[],0,1,100
29,"IsNotBetrayalTarget",-16843010,-16843010,-16843010,-16843010,"","",[11835],"","",[],[],0,1,100
30,"IsIncursionArchitect",-16843010,-16843010,-16843010,-16843010,11836,"",[],"","",[],[],0,1,100
31,"IsNotIncursionArchitect",-16843010,-16843010,-16843010,-16843010,"","",[11836],"","",[],[],0,1,100
32,"IsBestiaryRedBeast",-16843010,-16843010,-16843010,-16843010,11837,"",[],"","",[],[],0,1,100
33,"IsNotBestiaryRedBeast",-16843010,-16843010,-16843010,-16843010,"","",[11837],"","",[],[],0,1,100
34,"HeistGuard",-16843010,-16843010,-16843010,-16843010,"","",[],"","","[""otMapBoss""]",[],0,1,100
35,"IsNotRitualMonster",-16843010,-16843010,-16843010,-16843010,"","",[13472],"","",[],[],0,1,100
36,"IsShaperMonster",-16843010,-16843010,-16843010,-16843010,"","",[],"","","[""pBoss""]",[],0,1,100
37,"IsElderMonster",-16843010,-16843010,-16843010,-16843010,"","",[],"","","[""䈀漀猀猀""]",[],0,1,100
38,"IsCrusaderMonster",-16843010,-16843010,-16843010,-16843010,"","",[],"","","[""oss""]",[],0,1,100
39,"IsEyrieMonster",-16843010,-16843010,-16843010,-16843010,"","",[],"","","[""Boss""]",[],0,1,100
40,"IsBasiliskMonster",-16843010,-16843010,-16843010,-16843010,"","",[],"","","[""漀猀猀""]",[],0,1,100
41,"IsAdjudicatorMonster",-16843010,-16843010,-16843010,-16843010,"","",[],"","","[""猀猀""]",[],0,1,100
42,"IsBreachMonster",-16843010,-16843010,-16843010,-16843010,5172,"",[],"","",[],[],0,1,100
43,"IsRitualRespawnedMapBoss",-16843010,-16843010,-16843010,-16843010,8006,"",[],"","",[],[],0,1,100
44,"IsNotRitualRespawnedMapBoss",-16843010,-16843010,-16843010,-16843010,"","",[8006],"","",[],[],0,1,100
45,"IsAbyssMonster",-16843010,-16843010,-16843010,-16843010,"","",[],"","","[""䈀漀猀猀""]",[],0,1,100
46,"IsEssenceMonster",-16843010,-16843010,-16843010,-16843010,13813,"",[],"","",[],[],0,1,100
47,"IsInfluenceMonster",-16843010,-16843010,-16843010,-16843010,"","",[],"","","[""s""]",[],0,1,100
48,"IsBlightBoss",-16843010,-16843010,-16843010,-16843010,"","",[],"","","[""""]",[],0,1,100
49,"Level4Plus",-16843010,-16843010,-16843010,-16843010,"","",[],"","",[],[],0,4,100
