"rownum","Id","MonsterVarietiesKey","i32","rid","i32","bool"
0,"SkeletonMeleeFireTormentNecromancer",2016,125,"",1,""
1,"TormentMutilatorAnimatedWeapons","",8,"",1,""
2,"WbChaos2Skeleton",4029,125,"",1,""
3,"EssenceFleshmonsterSummonedOnDeath",4643,125,1029,2,1
4,"EssenceBloodworm",3898,125,"",1,""
5,"Essence Elemental Swarm 1st stage",377,125,107,4,1
6,"Essence Elemental Swarm 2nd stage",378,125,107,2,1
7,"Essence Elemental Swarm 3rd stage",379,125,107,2,1
8,"Essence Rock Golem",4142,125,"",1,1
9,"Essence Explosive Insect",1367,125,"",1,1
10,"Volatile Flameblood",4670,125,"",1,1
11,"Obsidian Golem",3838,125,"",1,1
12,"TormentedBetrayerBeacon",6872,125,"",1,""
13,"BlightDaemonFire",7186,125,107,1,""
14,"BlightDaemonCold",7188,125,109,1,""
15,"BlightDaemonLightning",7190,125,440,1,""
16,"BlightDaemonPhysical",7192,125,515,1,""
17,"BlightDaemonChaos",7194,125,1044,1,""
