"rownum","Id","BuffDefinitionsKey","[i32]","AuraRadius","[i32]","[i32]","BuffVisualsKey","f32","bool","StatsKey"
0,"UltimatumRecoveryDebuff1",1776,"[-30,-30,-30]",0,[],[],"",0,1,[]
1,"UltimatumAreaAndProjectileSpeedDebuff",1777,"[-50,-50]",0,[],[],"",0,1,[]
2,"UltimatumBuffsExpireFaster",1778,[200],0,[],[],"",0,1,[]
3,"UltimatumCooldownSpeedDebuff",1779,[-80],0,[],[],"",0,1,[]
4,"UltimatumVulnerabilityDebuff",1772,[100],0,[],"[-100,1,-50]","",0,1,[]
5,"UltimatumMonsterSpeedBuff",1783,"[50,50,50]",0,[],"[-100,5,0]","",0,1,[]
6,"Unhinged",1696,[],0,[],[],"",0,1,[]
7,"PainSuppression",1788,"[0,0,0]",0,[],[],"",0,1,"[13984,13916,14069]"
8,"PlayerDebuffExtraCriticalRolls",1801,[-1],0,[],[],"",0,1,[]
9,"PlayerDebuffHinderedMsOnFlaskUse",1802,[4000],0,[],[],"",0,1,[]
10,"PlayerDebuffCancelFlaskEffectOnFlaskUse",1803,[1],0,[],[],"",0,1,[]
11,"PlayerDebuffCursesandNonDamagingAilmentsReflectedToSelf",1804,"[1,1]",0,[],[],"",0,1,[]
12,"PlayerDebuffSelfLightningDamageOnSkillUseManaSpentOnCost",1805,[1000],0,[],[],"",0,1,[]
13,"PlayerDebuffRandomProjectileDirection",1806,[1],0,[],[],"",0,1,[]
14,"UltimatumFrostInfection",345,[],1,[9],[],1526,0,1,[]
15,"PlayerDebuffAurasAlsoAffectEnemies",1808,[1],0,[],[],"",0,1,[]
16,"ScionMovementSpeed",488,[8],60,"[1,2,10]",[],"",0,1,[]
17,"OccultistWitherNearbyEnemies",1223,[15000],0,[],[],"",0,1,[]
18,"ScionAuguryOfPenitence",569,[10],60,[3],[],"",0,1,[]
19,"OccultistPowerChargeOnManaSpent",919,[],0,[],[],"",0,1,[]
20,"OccultistNearbyEnemiesColdChaosResistLifeRegen",617,"[-20,-100,-20]",60,[3],[],"",0,1,[]
21,"ChampionMovementSpeed",487,[12],60,"[1,2,10]",[],"",0,1,[]
22,"JuggernautPhysDamagePreventedAsLifeRegen",1060,[],0,[],[],"",0,1,[]
23,"OccultistFreezeNearbyChilledEnemies",1224,"[600,600]",0,[],[],"",0,1,[]
24,"ChampionFortify",393,[-20],0,[],[],"",0,1,[]
25,"PendulumOfDestruction",1041,[],0,[],[],"",0,1,[]
26,"ChieftanPhysicalAsFireCycle",1047,[100],0,[],[],"",0,1,[]
27,"ChampionDamageAgainstImpaled",1228,"[6,12]",60,"[1,2,10]",[],"",0,1,[]
28,"SaboteurBlind",1496,[],35,[3],[9],"",0,1,[]
29,"AuguryOfPenitence",568,"[16,-8]",60,[3],[],"",0,1,[]
30,"OccultistNearbyChilledEnemiesReducedHitDamage",1226,[-10],60,[3],[],"",0,1,[]
31,"OccultistNearbyHinderedEnemiesReducedDotDamage",1227,[-15],60,[3],[],"",0,1,[]
32,"TricksterGhostDance",1260,[],0,[],[],"",0,1,[]
33,"SlayerCritMultiplier",1319,[-30],60,[3],[],"",0,1,[]
34,"GuardianDamageSpeedAreaIntimidate",1340,"[20,30,100,100]",60,"[2,10]",[],"",0,1,[]
35,"AfflictionNearbyEnemiesChilled",1496,[],30,[3],[1],"",0,1,[]
36,"AfflictionNearbyEnemiesFireExposure",1496,[],30,[3],"[3,-10]","",0,1,[]
37,"ReplenishingPresenceLifeRegenAura",1540,[60],60,"[1,2,10]",[],"",0,1,[]
38,"DeadeyeTailwind",1068,[-8],60,"[1,2,10]",[],"",0,1,[]
39,"ScionTailwind",1068,[-8],60,"[1,2,10]",[],"",0,1,[]
40,"UltimatumDealNoDamageFor2SecondEvery8Seconds",1821,[],0,[],"[8000,2000]","",0,1,[]
41,"UltimatumLoseChargesEverySecond",1822,[],0,[],[1000],"",0,1,[]
42,"UltimatumAltarProtection",1825,[],22,"[3,10]",[],1541,0,1,[]
43,"UltimatumRecoveryDebuff2",1776,"[-60,-60,-60]",0,[],[],"",0,1,[]
44,"WitherNearbyEnemiesRoyale",1223,[5000],0,[],[],"",0,1,[]
45,"PlayerDebuffSelfLightningDamageOnSkillUseManaSpentOnCostLow",1805,[50],0,[],[],"",0,1,[]
46,"PlayerDebuffSelfLightningDamageOnSkillUseManaSpentOnCostMid",1805,[200],0,[],[],"",0,1,[]
