"rownum","string","string","string","[rid]","string","bool","undefined (English)","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)"
0,"Default","Art/2DArt/Cursors/Default.bmp","Art/2DArt/Cursors/Default_Click.bmp",[],"Regular",1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,"HighContrast","Art/2DArt/Cursors/Contrast.bmp","Art/2DArt/Cursors/Contrast_Click.bmp",[],"High-contrast",1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,"Maraketh","Art/2DArt/Cursors/Maraketh.bmp","Art/2DArt/Cursors/Maraketh_Click.bmp",[],"","",0,0,0,0,0,0,0,0,0,0
3,"Vaal","Art/2DArt/Cursors/Vaal.bmp","Art/2DArt/Cursors/Vaal_Click.bmp",[],"","",0,0,0,0,0,0,0,0,0,0
4,"Eternal","Art/2DArt/Cursors/Eternal.bmp","Art/2DArt/Cursors/Eternal_Click.bmp",[],"","",0,0,0,0,0,0,0,0,0,0
5,"Karui","Art/2DArt/Cursors/Karui.bmp","Art/2DArt/Cursors/Karui_Click.bmp",[],"","",0,0,0,0,0,0,0,0,0,0
6,"Ezomyte","Art/2DArt/Cursors/Ezomyte.bmp","Art/2DArt/Cursors/Ezomyte_Click.bmp",[],"","",0,0,0,0,0,0,0,0,0,0
7,"ContrastGreenArmour","Art/2DArt/Cursors/ContrastGreenArmour.bmp","Art/2DArt/Cursors/ContrastGreenArmour_Click.bmp",[],"Green",1,0,0,0,0,0,0,0,0,0,0
8,"ContrastGreenArmourInvert","Art/2DArt/Cursors/ContrastGreenArmourInv.bmp","Art/2DArt/Cursors/ContrastGreenArmourInv_Click.bmp",[],"Green (Inverted)",1,0,0,0,0,0,0,0,0,0,0
9,"ContrastInvert","Art/2DArt/Cursors/ContrastInvert.bmp","Art/2DArt/Cursors/ContrastInvert_Click.bmp",[],"High-contrast (Inverted)",1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,"ContrastPinkArmour","Art/2DArt/Cursors/ContrastPinkArmour.bmp","Art/2DArt/Cursors/ContrastPinkArmour_Click.bmp",[],"Pink",1,0,0,0,0,0,0,0,0,0,0
11,"ContrastPinkArmourInvert","Art/2DArt/Cursors/ContrastPinkArmourInv.bmp","Art/2DArt/Cursors/ContrastPinkArmourInv_Click.bmp",[],"Pink (Inverted)",1,0,0,0,0,0,0,0,0,0,0
