"rownum","ModsKey","i32","i32","i32"
0,20766,2,9,100
1,20767,10,14,100
2,20768,15,20,100
3,20769,2,9,100
4,20770,10,14,100
5,20771,15,20,100
6,20682,15,20,10
7,20683,15,20,10
8,20684,15,20,10
9,20685,10,14,0
10,20686,15,20,0
11,20687,10,14,0
12,20688,15,20,0
13,20689,10,14,0
14,20690,15,20,0
15,20691,10,14,20
16,20692,15,20,20
17,20693,5,14,35
18,20694,15,20,35
19,20695,5,9,50
20,20696,10,15,50
21,20697,15,20,50
22,20698,2,9,25
23,20699,10,14,25
24,20700,15,20,25
25,20701,5,9,25
26,20702,10,14,25
27,20703,15,20,25
28,20704,5,9,25
29,20705,10,14,25
30,20706,15,20,25
31,20707,2,9,25
32,20708,10,14,25
33,20709,15,20,25
34,20710,5,9,25
35,20711,10,14,25
36,20712,15,20,25
37,20713,5,9,25
38,20714,10,14,25
39,20715,15,20,25
40,20716,2,9,25
41,20717,10,14,25
42,20718,15,20,25
43,20719,5,9,25
44,20720,10,14,25
45,20721,15,20,25
46,20722,5,9,25
47,20723,10,14,25
48,20724,15,20,25
49,20725,2,9,25
50,20726,10,14,25
51,20727,15,20,25
52,20728,10,14,25
53,20729,15,17,25
54,20730,18,20,25
55,20731,5,9,25
56,20732,10,14,25
57,20733,15,20,25
58,20734,2,9,25
59,20735,10,14,25
60,20736,15,20,25
61,20737,10,14,25
62,20738,15,17,25
63,20739,18,20,25
64,20740,10,14,20
65,20741,15,20,20
66,20742,2,9,20
67,20743,10,14,20
68,20744,15,20,20
69,20745,10,14,10
70,20746,15,17,10
71,20747,18,20,10
72,20748,2,9,100
73,20749,10,14,100
74,20750,15,20,100
75,20751,10,14,25
76,20752,15,20,25
77,20753,10,14,25
78,20754,15,20,25
79,20755,10,14,25
80,20756,15,20,25
81,20757,10,14,0
82,20758,15,20,0
83,20759,10,14,10
84,20760,15,20,10
85,20761,10,14,10
86,20762,15,20,10
87,20763,2,9,30
88,20764,10,14,30
89,20765,15,20,30
90,20772,2,9,40
91,20773,10,14,40
92,20774,15,20,40
