"rownum","Id","WorldAreasKey","CharactersKey","MonsterVarietiesKey","i32"
0,"ProxyKey0",1315,0,2301,1
1,"ProxyKey1",1319,0,2313,1
2,"ProxyKey2",1320,0,2313,1
3,"ProxyKey3",1327,0,2282,1
4,"ProxyKey4",1328,0,2282,1
5,"ProxyKey5",1335,0,2328,1
6,"ProxyKey6",1315,1,2291,1
7,"ProxyKey7",1319,1,2322,1
8,"ProxyKey8",1320,1,2322,1
9,"ProxyKey9",1327,1,2313,1
10,"ProxyKey10",1328,1,2313,1
11,"ProxyKey11",1335,1,2328,1
12,"ProxyKey12",1315,3,2274,1
13,"ProxyKey13",1319,3,2282,1
14,"ProxyKey14",1320,3,2282,1
15,"ProxyKey15",1327,3,2322,1
16,"ProxyKey16",1328,3,2322,1
17,"ProxyKey17",1335,3,2328,1
18,"ProxyKey18",1315,6,2313,1
19,"ProxyKey19",1319,6,2291,1
20,"ProxyKey20",1320,6,2291,1
21,"ProxyKey21",1327,6,2301,1
22,"ProxyKey22",1328,6,2301,1
23,"ProxyKey23",1335,6,2328,1
24,"ProxyKey24",1315,4,2282,1
25,"ProxyKey25",1319,4,2301,1
26,"ProxyKey26",1320,4,2301,1
27,"ProxyKey27",1327,4,2274,1
28,"ProxyKey28",1328,4,2274,1
29,"ProxyKey29",1335,4,2328,1
30,"ProxyKey30",1315,5,2322,1
31,"ProxyKey31",1319,5,2274,1
32,"ProxyKey32",1320,5,2274,1
33,"ProxyKey33",1327,5,2291,1
34,"ProxyKey34",1328,5,2291,1
35,"ProxyKey35",1335,5,2328,1
36,"ProxyKey36",1315,2,2291,1
37,"ProxyKey50",1315,2,2274,1
38,"ProxyKey51",1319,2,2301,1
39,"ProxyKey37",1319,2,2322,1
40,"ProxyKey42",1320,2,2301,1
41,"ProxyKey43",1320,2,2322,1
42,"ProxyKey38",1327,2,2313,1
43,"ProxyKey44",1327,2,2282,1
44,"ProxyKey45",1328,2,2313,1
45,"ProxyKey39",1328,2,2282,1
46,"ProxyKey41",1335,2,2328,1
