"rownum","AtlasExilesKey","AtlasRegionsKey","i32","BaseItemTypesKey","QuestState"
0,0,0,608,7851,2151
1,0,1,609,7852,2152
2,0,2,610,7853,2153
3,0,3,611,7854,2154
4,0,4,612,7855,2155
5,0,5,613,7856,2156
6,0,6,614,7857,2157
7,0,7,615,7858,2158
8,1,0,616,7859,2159
9,1,1,617,7860,2160
10,1,2,618,7861,2161
11,1,3,619,7862,2162
12,1,4,620,7863,2163
13,1,5,621,7864,2164
14,1,6,622,7865,2165
15,1,7,623,7866,2166
16,2,0,624,7867,2167
17,2,1,625,7868,2168
18,2,2,626,7869,2169
19,2,3,627,7870,2170
20,2,4,628,7871,2171
21,2,5,629,7872,2172
22,2,6,630,7873,2173
23,2,7,631,7874,2174
24,3,0,632,7875,2175
25,3,1,633,7876,2176
26,3,2,634,7877,2177
27,3,3,635,7878,2178
28,3,4,636,7879,2179
29,3,5,637,7880,2180
30,3,6,638,7881,2181
31,3,7,639,7882,2182
