"rownum","Id","StatsKey","bool","StatMin","StatMax"
0,"IsMagic",1953,"",1,1
1,"IsRare",1953,"",2,2
2,"IsUnique",1953,"",3,3
3,"IsTwinned",984,1,1,1
4,"IsUnidentified",1361,1,1,1
5,"IsCorrupted",2533,1,1,1
6,"Has8ExplicitMods",4512,1,8,8
7,"Has10TotalMods",6526,1,10,10
8,"Has3Leaguestones",5826,1,3,3
9,"HasZanaMod",7724,1,1,1
10,"HasCraftedMods",7725,1,1,1
11,"HasShaperInfluence",6863,"",1,1
12,"HasElderInfluence",6863,"",2,2
13,"HasShaperOrElderInfluence",6863,"",1,2
14,"IsWhiteTier",10062,"",1,5
15,"IsYellowTier",10062,"",6,10
16,"IsRedTier",10062,"",11,16
17,"HasSextantMod",5859,1,1,1
18,"HasNemesisSextant",4954,1,1,1
19,"HasGroundHasteSextant",5075,1,1,1
20,"HasNoReflectSextant",5101,1,1,1
21,"HasExtraTeamMonstersSextant",5109,1,1,1
22,"HasBodyguardsSextant",5138,1,1,1
23,"HasBarrelSextant1",5135,1,1,1
24,"HasBarrelSextant2",5162,1,1,1
25,"HasBarrelSextant3",5163,1,1,1
26,"HasBarrelSextant4",5164,1,1,1
27,"HasBarrelSextant5",5165,1,1,1
28,"HasBarrelSextant6",5166,1,1,1
29,"HasConvertOnDeathSextant",5108,1,1,1
30,"HasOnslaughtIfHitRecentlySextant",5058,1,1,1
31,"HasQualityAffectsRaritySextant",5093,1,1,1
32,"HasCorruptedDropsSextant",5095,1,1,1
33,"HasMinStrongboxRaritySextant",5161,1,1,1
34,"HasPossessedRustedScarabSextant",9380,1,1,1
35,"HasPossessedPolishedScarabSextant",9381,1,1,1
36,"HasPossessedGildedScarabSextant",9382,1,1,1
37,"HasPossessedWingedScarabSextant",9383,1,1,1
38,"HasPossessedUniqueDropSextant",9384,1,1,1
39,"HasPossessedMapDropSextant",9385,1,1,1
40,"HasShrineDurationSextant",5738,1,1,1
41,"HasCurrencyShardSextant",9389,1,1,1
42,"HasVaalMonstersSextant",9414,1,1,1
43,"HasBeyondSextant",9405,1,1,1
44,"HasTormentBetrayersSextant",9443,1,1,1
45,"HasTormentHereticsSextant",9444,1,1,1
46,"HasTormentGraverobbersSextant",9442,1,1,1
47,"HasCorruptEssenceSextant",9860,1,1,1
48,"HasTempests",3133,1,1,1
49,"HasLegionSextant",9402,1,1,1
50,"HasQuality",5094,1,20,20
51,"IsDeliriumMap",11565,1,1,1
52,"IsMaximumDelirium",11565,1,100,100
53,"AwakeningLevel8",10756,1,8,8
54,"ContainsElderGuardian",6582,1,1,1
55,"IsBlightedMap",10393,1,1,1
