"rownum","Id","ModsKeys","MinZoneLevel","MaxZoneLevel","SpawnWeight_TagsKeys","SpawnWeight_Values","i32","BuffDefinitionsKey","[i32]","ItemWeight_TagsKeys","ItemWeight_Values","MonsterVarietiesKey","i32","bool","AchievementItemsKey","bool"
0,"FlameBearers",[7929],12,100,"[170,0]","[0,300]",0,"",[],[],[],3335,125,"",[],""
1,"FrostBearers",[7930],12,100,"[170,0]","[0,300]",0,"",[],[],[],3336,125,"",[],""
2,"StormBearers",[7931],12,100,"[170,0]","[0,300]",0,"",[],[],[],3338,125,"",[],""
3,"UnionOfSouls",[7935],0,100,"[170,0]","[0,800]",0,"",[],[],[],"",125,"",[],1
4,"Shrouded",[7936],16,100,"[170,48,72,56,75,76,73,74,53,0]","[0,800,0,0,0,0,0,0,0,0]",0,"",[],[],[],"",125,"",[],""
5,"Necrovigil",[7937],68,100,"[170,163,125,73,0]","[0,0,0,0,0]",0,"",[],[],[],"",125,"",[],1
6,"PackDeathCount",[7938],0,100,[0],[0],0,"",[],[],[],"",125,"",[],1
7,"DamageCharges",[8036],20,100,"[291,170,149,0]","[0,0,0,600]",0,363,[],[],[],"",125,"",[],""
8,"SpeedCharges",[8037],20,100,"[170,0]","[0,600]",0,364,[],[],[],"",125,"",[],""
9,"MarkOfCannibalism",[8038],0,100,"[170,125,0]","[0,0,800]",0,"",[],[],[],3340,125,"",[],1
10,"FlaringPulseblood",[8040],12,100,"[170,32,34,0]","[0,300,300,0]",0,"",[],[],[],3341,125,"",[],1
11,"RimePulseblood",[8041],12,100,"[170,32,34,0]","[0,300,300,0]",0,"",[],[],[],3342,125,"",[],1
12,"StaticPulseblood",[8042],12,100,"[170,32,34,0]","[0,300,300,0]",0,"",[],[],[],3343,125,"",[],1
13,"CongealingBloodRed",[8043],0,100,"[170,119,120,121,122,123,124,118,0]","[0,0,0,0,0,0,0,100,0]",0,"",[],[],[],1657,125,"",[],1
14,"CongealingBloodYellow",[8044],52,100,"[170,119,120,118,122,123,124,121,0]","[0,0,0,0,0,0,0,100,0]",0,"",[],[],[],1658,125,"",[],1
15,"CongealingBloodMud",[8045],32,100,"[170,119,118,121,122,123,124,120,0]","[0,0,0,0,0,0,0,100,0]",0,"",[],[],[],1662,125,"",[],1
16,"Shared Boon","[8074,8075,8076]",16,100,"[170,0]","[0,800]",0,"",[],[],[],"",125,"",[],1
17,"CultOfTheElements","[8077,8084,8085]",16,20,[0],[0],0,"",[],[],[],"",125,"",[],""
18,"CultOfTheElements2","[8078,8084,8085]",21,40,[0],[0],0,"",[],[],[],"",125,"",[],""
19,"CultOfTheElements3","[8079,8084,8085]",41,60,[0],[0],0,"",[],[],[],"",125,"",[],""
20,"CultOfTheElements4","[8080,8084,8085]",61,65,[0],[0],0,"",[],[],[],"",125,"",[],""
21,"CultOfTheElements5","[8081,8084,8085]",66,70,[0],[0],0,"",[],[],[],"",125,"",[],""
22,"CultOfTheElements6","[8082,8084,8085]",71,75,[0],[0],0,"",[],[],[],"",125,"",[],""
23,"CultOfTheElements7","[8083,8084,8085]",76,100,[0],[0],0,"",[],[],[],"",125,"",[],""
24,"VengefulBlizzard",[8089],60,100,"[170,126,0]","[0,0,600]",0,"",[],[],[],3344,125,"",[],1
25,"HeraldsOfTheObelisk",[8091],6,100,"[170,163,0]","[0,0,100]",0,"",[],[],[],"",1,1,[],1
26,"HeraldsOfTheObelisk2",[8092],6,100,"[170,163,0]","[0,0,0]",0,"",[],[],[],"",2,1,[],1
27,"HeraldsOfTheObelisk3",[8093],6,100,"[170,163,0]","[0,0,100]",0,"",[],[],[],"",3,1,[],1
28,"HeraldsOfTheObelisk4",[8094],6,100,"[170,163,0]","[0,0,100]",0,"",[],[],[],"",4,1,[],1
29,"HeraldsOfTheObelisk5",[8095],6,100,"[170,163,0]","[0,0,100]",0,"",[],[],[],"",5,1,[],1
30,"SpiritWalkers",[8096],12,100,"[170,53,0]","[0,0,800]",0,"",[],[],[],"",125,"",[],""
31,"BearersOfTheGuardian",[8100],60,100,"[170,0]","[0,100]",0,"",[],[],[],3452,125,"",[],1
32,"Otherworldly",[8101],0,100,"[170,0]","[0,800]",13000,"",[],[],[],"",125,"",[],""
33,"PhylacteralLink",[8102],0,100,"[127,0]","[0,0]",7000,372,"[1,1,1]",[],[],"",125,"",[],""
34,"KeepersOfTheTrove",[8103],40,61,"[170,0]","[0,80]",0,"",[],"[0,1,2,3,4,5,6,7,8,9,19]","[2810,1123,374,437,562,499,125,62,125,125,38]","",125,"",[7957],""
35,"KeepersOfTheTrove2",[8103],62,67,"[170,0]","[0,80]",0,"",[],"[0,1,2,3,4,5,6,7,8,9,19]","[2810,1123,374,437,562,499,125,62,125,125,28]","",125,"",[7957],""
36,"KeepersOfTheTrove3",[8103],68,71,"[170,0]","[0,80]",0,"",[],"[0,1,2,3,4,5,6,7,8,9,19]","[2810,1123,374,437,562,499,125,62,125,125,20]","",125,"",[7957],""
37,"KeepersOfTheTrove4",[8103],72,75,"[170,0]","[0,80]",0,"",[],"[0,1,2,3,4,5,6,7,8,9,19]","[2810,1123,374,437,562,499,125,62,125,125,14]","",125,"",[7957],""
38,"KeepersOfTheTrove5",[8103],76,79,"[170,0]","[0,80]",0,"",[],"[0,1,2,3,4,5,6,7,8,9,19]","[2810,1123,374,437,562,499,125,62,125,125,10]","",125,"",[7957],""
39,"KeepersOfTheTrove6",[8103],80,100,"[170,0]","[0,80]",0,"",[],"[0,1,2,3,4,5,6,7,8,9]","[2810,1123,374,437,562,499,125,62,125,125]","",125,"",[7957],""
40,"CorruptedBloodline",[8106],0,20,"[170,0]","[0,0]",0,"",[],[],[],"",125,"",[],""
41,"CorruptedBloodline2",[8107],21,35,"[170,0]","[0,0]",0,"",[],[],[],"",125,"",[],""
42,"CorruptedBloodline3",[8108],36,45,"[170,0]","[0,800]",0,"",[],[],[],"",125,"",[],""
43,"CorruptedBloodline4",[8109],46,60,"[170,0]","[0,800]",0,"",[],[],[],"",125,"",[],""
44,"CorruptedBloodline5",[8110],61,100,"[170,0]","[0,800]",0,"",[],[],[],"",125,"",[],""
45,"Voidspawn",[8111],60,100,"[170,0]","[0,50]",0,"",[],[],[],"",7,"",[],1
46,"MonsterBloodlinesThorns",[8046],40,100,"[141,0]","[0,0]",0,"",[],[],[],"",125,"",[],1
47,"MonsterBloodlinesThornsLargeModel",[8047],40,100,"[141,0]","[0,0]",0,"",[],[],[],"",125,"",[],1
48,"SummonSewerZombieGiant",[12327],0,100,[0],[0],0,"",[],[],[],983,125,"",[],1
