"rownum","ChestsKey","Weight","HeistAreasKey","HeistChestTypesKey"
0,1418,9999999,"[0,7,8]",0
1,1419,9999999,"[1,6]",0
2,1420,9999999,"[2,4]",0
3,1421,9999999,"[3,5]",0
4,1482,250,"[0,7,8]",1
5,1483,250,"[1,6]",1
6,1484,250,"[2,4]",1
7,1485,250,"[3,5]",1
8,1486,250,"[0,7,8]",1
9,1487,250,"[1,6]",1
10,1488,250,"[2,4]",1
11,1489,250,"[3,5]",1
12,1490,250,"[0,7,8]",1
13,1491,250,"[1,6]",1
14,1492,250,"[2,4]",1
15,1493,250,"[3,5]",1
16,1494,250,"[0,7,8]",1
17,1495,250,"[1,6]",1
18,1496,250,"[2,4]",1
19,1497,250,"[3,5]",1
20,1498,250,"[0,7,8]",1
21,1499,250,"[1,6]",1
22,1500,250,"[2,4]",1
23,1501,250,"[3,5]",1
24,1502,250,"[0,7,8]",1
25,1503,250,"[1,6]",1
26,1504,250,"[2,4]",1
27,1505,250,"[3,5]",1
28,1506,250,"[0,7,8]",1
29,1507,250,"[1,6]",1
30,1508,250,"[2,4]",1
31,1509,250,"[3,5]",1
32,1510,250,"[0,7,8]",1
33,1511,250,"[1,6]",1
34,1512,250,"[2,4]",1
35,1513,250,"[3,5]",1
36,1514,250,"[0,7,8]",1
37,1515,250,"[1,6]",1
38,1516,250,"[2,4]",1
39,1517,250,"[3,5]",1
40,1518,250,"[0,7,8]",1
41,1519,250,"[1,6]",1
42,1520,250,"[2,4]",1
43,1521,250,"[3,5]",1
44,1522,250,"[0,7,8]",1
45,1523,250,"[1,6]",1
46,1524,250,"[2,4]",1
47,1525,250,"[3,5]",1
48,1526,250,"[0,7,8]",1
49,1527,250,"[1,6]",1
50,1528,250,"[2,4]",1
51,1529,250,"[3,5]",1
52,1530,250,"[0,7,8]",1
53,1531,250,"[1,6]",1
54,1532,250,"[2,4]",1
55,1533,250,"[3,5]",1
56,1534,250,"[0,7,8]",1
57,1535,250,"[1,6]",1
58,1536,250,"[2,4]",1
59,1537,250,"[3,5]",1
60,1538,250,"[0,7,8]",1
61,1539,250,"[1,6]",1
62,1540,250,"[2,4]",1
63,1541,250,"[3,5]",1
64,1542,250,"[0,7,8]",1
65,1543,250,"[1,6]",1
66,1544,250,"[2,4]",1
67,1545,250,"[3,5]",1
