"rownum","Id","EssenceType","IsCorruptedEssence","WordsKey"
0,"Hatred",1,"",2499
1,"Woe",1,"",2500
2,"Greed",1,"",2501
3,"Contempt",1,"",2502
4,"Sorrow",2,"",2503
5,"Anger",2,"",2504
6,"Torment",2,"",2505
7,"Fear",2,"",2506
8,"Suffering",3,"",2507
9,"Rage",3,"",2509
10,"Wrath",3,"",2508
11,"Doubt",3,"",2510
12,"Anguish",4,"",2511
13,"Loathing",4,"",2512
14,"Spite",4,"",2514
15,"Zeal",4,"",2513
16,"Misery",5,"",2515
17,"Dread",5,"",2516
18,"Scorn",5,"",2517
19,"Envy",5,"",2518
20,"Hysteria",6,1,2519
21,"Insanity",6,1,2520
22,"Horror",6,1,2521
23,"Delirium",6,1,2522
24,"NotEssence",0,"",2523
