"rownum","Id","CharactersKey","Text","Mono_AudioFile","Stereo_AudioFile","HasStereo","bool","Video","i32","i32","i32","i32","i32","i32","i32","rid"
0,"NessaIntro1",1,"I saw what you did to Hillock out there, Witch. Your black art is the reason you're here, in exile. It may also be the only thing that allows you to see another dawn.\r\n\r\nI'm Nessa. And I suppose I should thank you for ridding us of that putrid giant. Back in Oriath I judged your kind without hesitation. In Wraeclast, I don't have that luxury.","Audio/Dialogue/NPC/Nessa/Ne01c.ogg","","","","",0,0,1,1,0,802,0,""
1,"NessaIntro2",0,"Tala moana, Marauder of Ngamakanui. No need to be surprised, Karui. My father and I were amongst those who tried to save your people from ignorance and damnation. My father paid for his arrogance with his life. I'm still paying for mine.\r\n\r\nI'm Nessa. And I suppose I should thank you ridding us of Hillock, that putrid giant you felled out there.\r\n\r\nBe careful in the days to come. Karui savagery is nothing when compared to the ferocity that is Wraeclast.","Audio/Dialogue/NPC/Nessa/Ne01d.ogg","","","","",0,0,1,1,0,1834,0,""
2,"NessaIntro3",3,"I've seen you before, back in Oriath! Running like a frightened rabbit from my father and his gameskeepers. Fleet as a fox you were, even with that leg of prize venison over your shoulder. And from what I saw you do to Hillock, you've grown even faster since then.\r\n\r\nI'm Nessa, and I suppose I should thank you for ridding us of that putrid giant. \r\n\r\nI hope your speed never fails you, Ranger. It's all that stands between you and death, here in Wraeclast.","Audio/Dialogue/NPC/Nessa/Ne01e.ogg","","","","",0,0,1,1,0,2868,0,""
3,"NessaIntro4",5,"I saw what you did to Hillock out there, Shadow. Your murderous art is the reason you're here, in exile... and it'll be the one thing that sees you through to another dawn.\r\n\r\nI'm Nessa, and I suppose I should thank you for ridding us of the putrid giant. \r\n\r\nBack in Oriath, I feared your kind... condemned you from afar. In Wraeclast, I don't have that luxury.","Audio/Dialogue/NPC/Nessa/Ne01f.ogg","","","","",0,0,1,1,0,3710,0,""
4,"NessaIntro5",4,"Now there's a face I never expected to see in exile. The maidens of Oriath must be wailing in their beds now that their mighty Duelist has left them. Or is that why you're here? Did you perhaps choose the wrong bed in which to celebrate your conquests?\r\n\r\nI'm Nessa, and I suppose I should thank you for ridding us of Hillock, that putrid giant you felled out there.\r\n\r\nBack in Oriath, I disdained your kind. In Wraeclast, I don't have that luxury.","Audio/Dialogue/NPC/Nessa/Ne01g.ogg","","","","",0,0,1,1,0,4724,0,""
5,"NessaIntro6",6,"I know you. The blasphemer. That's what my father called you. God saw fit to drown my father, and everyone else I ever loved. I wonder what fate He has in store for you.\r\n\r\nI'm Nessa, and I suppose I should thank you for ridding us of Hillock, that putrid giant you felled out there. \r\n\r\nYou know, back in Oriath, I was taught that God loved me. He has a funny way of showing His love, doesn't He, Templar.","Audio/Dialogue/NPC/Nessa/Ne01h.ogg","","","","",0,0,1,1,0,5654,0,""
6,"NessaIntro7",2,"Welcome to our home away from home... for what it's worth. I'm Nessa.\r\n\r\nThat putrid giant you just laid to rest? That was Hillock. You're lucky; he's eaten stronger exiles than you. Don't count on that luck lasting. It's in short supply here in Wraeclast.\r\n\r\nStill, you've rid us of a curse, and we owe you our thanks.","Audio/Dialogue/NPC/Nessa/Ne01.ogg","","","","",0,0,1,1,0,6408,0,""
7,"NessaMedicineThanks","","I'd almost stopped believing in miracles. This medicine chest... it's greater than the serums and salves it holds. It tells us that we can do more in Wraeclast than merely suffer. \r\n\r\nI've not much to offer in return but please, take something in thanks for what you've done.","Audio/Dialogue/NPC/Nessa/Ne08.ogg","","","","",0,0,1,1,0,7090,0,""
8,"NessaOnTarkleigh","","Tarkleigh's as good a man as you can find on this God-forsaken coast. He has some wrongs to right, no doubt. What they are, I've never asked and I never will. If not for Tarkleigh, we'd all be dead.","Audio/Dialogue/NPC/Nessa/Ne02.ogg","","","","",0,0,1,1,0,7612,0,""
9,"NessaMedicineQuest","","Lioneye's Watch isn't much, but it's ours. We could use you here, while you live.\r\n\r\nBut, should you wish to venture out, do just one thing for me? Out on the coast, amongst the wrecks, there must be a ship's medicine chest. I have many to care for and there's only so much I can do with herbs and seawater.","Audio/Dialogue/NPC/Nessa/Ne07.ogg","","","","",0,0,1,1,0,8356,0,""
10,"NessaOnTown","","Lioneye's Watch isn't much, but it's ours. We could use you here, while you live.","Audio/Dialogue/NPC/Nessa/Ne07Edit.ogg","","","","",0,0,1,1,0,8642,0,""
