"rownum","ItemVisualIdentityKey","WorldAreasKey","WordsKey","FlavourTextKey","HasGuildCharacter","GuildCharacter","Name"
0,6105,1148,97,79,"","g","Vaults of Atziri"
1,6989,1126,148,149,"","Ç","Maelstrom of Chaos"
2,7008,1182,152,153,"","Å","The Coward's Trial"
3,7051,1199,154,159,"","Ô","Acton's Nightmare"
4,7084,1168,184,191,"","ß","Poorjoy's Asylum"
5,7101,1155,207,209,"","À","Mao Kun"
6,7105,1204,211,213,"","#","Oba's Cursed Trove"
7,7165,1138,214,216,"","$","Olmec's Sanctum"
8,7166,1157,215,217,1,"","Untainted Paradise"
9,7319,1206,301,303,"","¿","Death and Taxes"
10,7470,1098,363,390,"","È","Whakawairua Tuahu"
11,8075,1185,386,413,1,"Ù","Hall of Grandmasters"
12,8076,1152,587,573,"","²","The Vinktar Square"
13,9304,1140,643,802,"","æ","Caer Blaidd, Wolfpack's Den"
14,9373,1100,700,889,"","™","The Perandus Manor"
15,9690,1171,784,1045,"","Õ","The Putrid Cloister"
16,9691,1128,786,1047,"","Ð","Hallowed Ground"
17,9917,1236,928,1421,1,"","The Beachhead"
18,9918,1237,928,1421,1,"","The Beachhead"
19,9919,1238,928,1421,1,"","The Beachhead"
20,9921,1160,930,1442,"","^","The Twilight Temple"
21,9922,1110,934,1443,"","‹","Doryani's Machinarium"
22,9923,1136,938,1444,"","›","Pillars of Arun"
23,10454,443,1158,1901,1,"","Altered Distant Memory"
24,10455,444,1159,1902,1,"","Augmented Distant Memory"
25,10456,445,1160,1903,1,"","Twisted Distant Memory"
26,10457,446,1161,1904,1,"","Rewritten Distant Memory"
27,10458,442,1162,1905,1,"","Cortex"
28,9920,1239,1249,1421,1,"","Infused Beachhead"
29,10459,442,1163,1905,1,"","Cortex"
30,9924,1136,939,1444,"","","Pillars of Arun"
31,7085,1168,185,191,"","","Poorjoy's Asylum"
