"rownum","string","i32","[rid]"
0,"absolution_blast",0,[4948]
1,"flame_golem",-4,[8240]
2,"flame_golem",-3,[8207]
3,"flame_golem",-2,[7224]
4,"flame_golem",-1,[3861]
5,"flame_golem",0,[3860]
6,"flame_golem",1,[3862]
7,"flame_golem_monster",1,[3873]
8,"lightning_golem",-4,[8242]
9,"lightning_golem",-3,[8209]
10,"lightning_golem",-2,[7226]
11,"lightning_golem",-1,[3892]
12,"lightning_golem",0,[3887]
13,"lightning_golem",1,[3888]
14,"ice_golem_monster",1,[3851]
15,"ice_golem",-4,[8239]
16,"ice_golem",-3,[8206]
17,"ice_golem",-2,[7223]
18,"ice_golem",-1,[3849]
19,"ice_golem",0,[3847]
20,"ice_golem",1,[3848]
21,"stone_golem",-4,[8243]
22,"stone_golem",-3,[8210]
23,"stone_golem",-2,[7227]
24,"stone_golem",-1,[4133]
25,"stone_golem",0,[4132]
26,"chaos_golem_monster",1,[3655]
27,"chaos_golem",-4,[8241]
28,"chaos_golem",-3,[8208]
29,"chaos_golem",-2,[7225]
30,"chaos_golem",-1,[3885]
31,"chaos_golem",0,[3883]
32,"bone_golem",0,[7196]
33,"bone_golem",1,[7538]
34,"bone_golem",2,[7906]
35,"bone_golem",3,[7918]
36,"agony_crawler",0,[6282]
37,"agony_crawler",1,[6282]
38,"agony_crawler",2,[6282]
39,"agony_crawler",3,[6282]
40,"agony_crawler",4,[6282]
41,"agony_crawler",5,[6282]
42,"agony_crawler",6,[6282]
43,"agony_crawler",7,[6282]
44,"agony_crawler",8,[6282]
45,"agony_crawler",9,[6282]
46,"agony_crawler",10,[6447]
47,"agony_crawler",11,[6284]
48,"agony_crawler",12,[6283]
49,"agony_crawler",13,[6731]
50,"agony_crawler",14,[6885]
51,"agony_crawler",15,[7253]
52,"agony_crawler",16,[7536]
53,"agony_crawler",17,[7539]
54,"agony_crawler",18,[7732]
55,"agony_crawler",19,[7904]
56,"agony_crawler",20,[7950]
57,"purity_champion",0,[1156]
58,"purity_champion",1,[1156]
59,"purity_champion",2,[1156]
60,"purity_champion",3,[1156]
61,"purity_champion",4,[1156]
62,"purity_champion",5,[1156]
63,"purity_champion",6,[1156]
64,"purity_champion",7,[1156]
65,"purity_champion",8,[1156]
66,"purity_champion",9,[1156]
67,"purity_champion",10,[6448]
68,"purity_champion",11,[1157]
69,"purity_champion",12,[1158]
70,"purity_champion",13,[6732]
71,"purity_champion",14,[6886]
72,"purity_champion",15,[7254]
73,"purity_champion",16,[7537]
74,"purity_champion",17,[7540]
75,"purity_champion",18,[7733]
76,"purity_champion",19,[7905]
77,"purity_champion",20,[7951]
