"rownum","Contract_BaseItemTypesKey","Level","Cost1_BaseItemTypesKeys","Cost1_Values","Cost2_BaseItemTypesKeys","Cost2_Values","Cost3_BaseItemTypesKeys","Cost3_Values","Cost4_BaseItemTypesKeys","Cost4_Values"
0,7895,1,[10],[1],[11],[1],[6],[1],[],[]
1,7895,46,[7],[1],[6],[1],[2],[1],[],[]
2,7896,1,[10],[1],[11],[1],[6],[1],[],[]
3,7896,46,[7],[1],[6],[1],[2],[1],[],[]
4,7897,1,[10],[1],[11],[1],[6],[1],[],[]
5,7897,46,[7],[1],[6],[1],[2],[1],[],[]
6,7898,1,[10],[1],[11],[1],[6],[1],[],[]
7,7898,46,[7],[1],[6],[1],[2],[1],[],[]
8,7899,1,[10],[1],[11],[1],[6],[1],[],[]
9,7899,46,[7],[1],[6],[1],[2],[1],[],[]
10,7900,1,[10],[1],[11],[1],[6],[1],[],[]
11,7900,46,[7],[1],[6],[1],[2],[1],[],[]
12,7901,1,[10],[1],[11],[1],[6],[1],[],[]
13,7901,46,[7],[1],[6],[1],[2],[1],[],[]
14,7902,1,[10],[1],[11],[1],[6],[1],[],[]
15,7902,46,[7],[1],[6],[1],[2],[1],[],[]
