"rownum","Id","Description","Invisible","Removable","Name","StatsKeys","bool","i32","bool","Maximum_StatsKey","Current_StatsKey","bool","i32","BuffVisualsKey","bool","bool","i32","bool","bool","bool","bool","BuffLimit","bool","Id2","IsRecovery","bool","bool","rid","bool","i32","bool","bool","i32","[i32]","bool","bool","rid","bool","[rid]","[rid]","[rid]","[rid]","i32","bool"
0,"ignited","You're on fire","","","Ignited",[8108],"",13,"","","",1,18,2,"","",2,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[8108],[14614],0,""
1,"chilled","You are slowed","","","Chilled",[8444],1,13,"","","",1,1,3,"","",2,"",1,1,"",0,"","",1,"","","","",4,"","",0,[],"","","","",[],[],[8444],[14615],16842752,""
2,"frozen","Frozen solid","","","Frozen",[12483],1,13,"","","",1,18,4,"","",2,"",1,1,"",0,"","FreezeBuff","","","","","",4,"","",0,[],"","","","",[],[],[12483],"[14616,2006]",16777216,""
3,"shocked","You take up to 50% increased Damage","","","Shocked",[477],"",13,"","","",1,2,5,"","",2,"",1,1,"",0,"","",1,"","","","",4,"","",0,[],"","","","",[],[],[477],[14617],16842752,""
4,"sprinting","Increased movement velocity","",1,"Faster Run",[177],1,2,"","","","",18,7,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[177],[],0,""
5,"flask_effect_life","",1,"","Healing",[7728],1,5,"","","","",18,0,1,"",4,"",1,"",1,0,"","",1,"","","","",4,"","",0,[],"","","","",[],[],[7728],[],0,""
6,"grace_period","You can't be damaged","",1,"Grace Period","[140,864,1307,8195,2985,6858,6857]",1,2,"","","","",18,8,1,"",15,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[140,864,1307,8195,2985,6858,6857]",[],0,""
7,"god_mode","You cannot be damaged","",1,"Invulnerability",[140],1,3,"","","","",18,9,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[140],[],0,""
8,"experience","Increased experience for 30 seconds","",1,"Increased Experience",[157],1,2,"","","","",18,10,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[157],[],0,""
9,"flask_effect_mana","",1,"","Regenerating Mana",[7729],1,5,"","","","",14,0,1,"",4,"",1,"",1,0,"","",1,"","","","",4,"","",0,[],"","","","",[],[],[7729],[],0,""
10,"poison","You take chaos damage","","","Poisoned",[8109],1,1,1,"","",1,18,11,"",1,2,"",1,1,"",0,"","","","","","","",2,"","",0,[],"","","","",[],[],[8109],[14618],256,""
11,"blood_rage","Taking Physical Damage over time based on Life and Energy Shield, while increasing Attack Speed and Life Leech. Killing an enemy refreshes the buff duration and can grant a Frenzy Charge.","","","Blood Rage","[70,3104,2576,3071,1355,12846,3124]",1,2,"","","",1,18,13,1,"",1,"",1,1,"",0,"","BloodRageBuff","","","","","",4,"","",0,[],"","","","",[454],[],"[70,3104,2576,3071,1355,12846,3124,454]",[],0,""
12,"righteous_fire","You take burning damage, deal burning damage to those around you, and have increased spell damage.","","","Righteous Fire","[883,25,882,1908]",1,2,"","","",1,18,15,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[883,25,882,1908]",[],0,""
