"rownum","Id","Name","Metadata","i32","NPCMasterKey","ShortName","i32","NPCShop","NPCAudios1","NPCAudios2","i32","row","Portrait","DialogueStyle"
0,"Metadata/NPC/Act1/Tarkleigh","Tarkleigh","Metadata/NPC/NPC",2565,"","",1,0,[0],[1],18329,"","",""
1,"Metadata/NPC/Act1/Nessa","Nessa","Metadata/NPC/NPC",2565,"","",1,11,[2],[3],16035,"","",""
2,"Metadata/NPC/Act1/Bestel","Bestel","Metadata/NPC/NPC",2565,"","",1,"",[4],[],56488,"","",""
3,"Metadata/NPC/Act1/Doorman","Doorman","Metadata/NPC/NPC",2565,"","",1,"",[],[],31831,"","",""
4,"Metadata/NPC/Act1/Fairgraves","Captain Fairgraves","Metadata/NPC/NPC",2565,"","Fairgraves",1,"",[],[5],39720,"","",""
5,"Metadata/Monsters/Skeletons/SkeletonBossFairgraves","Captain Fairgraves","Metadata/Monsters/Skeletons/SkeletonBossEmerge",2565,"","Fairgraves",0,"",[],[],47303,"","",""
6,"Metadata/NPC/Act1/WoundedExile","Dying Exile","Metadata/NPC/NPC",2565,"","",1,"",[],[],48620,"","",""
7,"Metadata/NPC/Act1/Brutus","Brutus, the Warden","Metadata/NPC/NPC",2565,"","Brutus",1,"",[],[],45035,"","",""
8,"Metadata/NPC/Act1/Merveil","Merveil","Metadata/NPC/NPC",2565,"","",1,"",[],[],20647,"","",""
9,"Metadata/NPC/Act2/Eramir","Eramir","Metadata/NPC/NPC",2565,"","",2,"",[6],[7],5275,"","",""
10,"Metadata/NPC/Act2/Yeena","Yeena","Metadata/NPC/NPC",2565,"","",2,12,[8],[9],66,"","",""
11,"Metadata/NPC/Act2/Greust","Greust","Metadata/NPC/NPC",2565,"","",2,1,[10],[11],60311,"","",""
12,"Metadata/NPC/Act2/Silk","Silk","Metadata/NPC/NPC",2565,"","",2,"",[12],[],60264,"","",""
13,"Metadata/Monsters/BanditLeaderInt/BanditLeaderInt","Alira","Metadata/NPC/NPC",2565,"","",2,"",[],[],64364,"","",""
14,"Metadata/Monsters/BanditLeaderDexInt/BanditLeaderDexInt","Kraityn","Metadata/NPC/NPC",2565,"","",2,"",[],[],26782,"","",""
