"rownum","Id","MonsterVarietiesKey","MiscAnimated1","MiscAnimated2","MiscAnimated3"
0,"ProxyKey1",3535,"","",""
1,"ProxyKey2",3540,"","",""
2,"ProxyKey3",13,"","",""
3,"ProxyKey4",3984,"","",""
4,"ProxyKey5",3990,"","",""
5,"ProxyKey6",3953,"","",""
6,"ProxyKey7",4460,"","",""
7,"ProxyKey8",4462,"","",""
8,"ProxyKey9",408,"","",""
9,"ProxyKey10",449,"","",""
10,"ProxyKey11",769,"","",""
11,"ProxyKey12",3541,"","",""
12,"ProxyKey13",975,"","",""
13,"ProxyKey14",1221,"","",""
14,"ProxyKey15",2276,"","",""
15,"ProxyKey16",2285,"","",""
16,"ProxyKey17",3050,"","",""
17,"ProxyKey18",409,"","",""
18,"ProxyKey19",450,"","",""
19,"ProxyKey20",770,"","",""
20,"ProxyKey21",5569,1747,1748,1749
