"rownum","Id","i32"
0,"AddDropsToMonster",32177
1,"DropsModifier",29368
2,"SpawnsMonster",5794
3,"VendorRecipe",5466
4,"ItemModification",25262
5,"MissionModifier",10645
6,"TriggeredOnKill",369
7,"AddDropsToRareMonster",15988
8,"OnBloodlinePackDied",31191
9,"ReadingSpawnsMonsterPack",7754
10,"ReadingSpawnsMonsterPackMagic",46064
11,"OpenPortals",26611
12,"ModifyLabyrinthCurrency",40145
13,"StrongboxMonsterModifier",54576
14,"ItemTransmuteToRare",52694
15,"ItemTransmuteSpecificMod",15721
16,"OpenPortalsMirroredMap",36446
