"rownum","Id","Tag","Stat1","Stat2","Stat3","Stat4"
0,"fire","Fire",516,9068,10287,10743
1,"cold","Cold",517,9069,10288,10744
2,"lightning","Lightning",518,9070,10289,10745
3,"chaos","Chaos",519,9071,10290,10746
4,"spell","Spell",521,"","",""
5,"projectile","Projectile",520,9079,"",""
6,"bow","Bow",523,9073,"",""
7,"melee","Melee",522,9072,"",""
8,"minion","Minion",524,9067,"",""
9,"strength","",756,9075,"",10748
10,"dexterity","",757,9076,"",10749
11,"intelligence","",758,9077,"",10750
12,"aura","Aura",1064,9074,"",""
13,"attack","Attack","","","",""
14,"area","AoE",7940,9078,"",""
15,"duration","Duration",7939,"","",""
16,"support","Support",2226,2441,"",""
17,"curse","Curse",2031,"","",""
18,"chaining","Chaining","","","",""
19,"totem","Totem","","","",10752
20,"trap","Trap",8031,"","",""
21,"mine","Mine","","","",""
22,"movement","Movement",1261,"","",""
23,"cast","Cast","","","",""
24,"vaal","Vaal",2147,"","",10751
25,"active_skill","",2412,"","",""
26,"trigger","Trigger","","","",""
27,"warcry","Warcry",3179,"","",""
28,"golem","Golem",3183,"","",""
29,"low_max_level","","","","",""
30,"channelling","Channelling","","","",""
31,"herald","Herald",6168,"","",""
32,"brand","Brand","","","",""
33,"physical","Physical","","",10291,10747
34,"guard","Guard","","","",""
35,"travel","Travel","","","",""
36,"strike","Strike","","","",""
37,"blink","Blink","","","",""
38,"nova","Nova","","","",""
39,"banner","","","","",""
40,"slam","Slam","","","",""
41,"stance","Stance","","","",""
42,"hex","Hex",13128,"","",""
43,"mark","Mark","","","",""
44,"orb","Orb","","","",""
45,"random_element","Prismatic","","","",""
46,"arcane","Arcane","","","",""
