"rownum","Id","Image","bool","bool"
0,"EventFlag","Art/2DArt/UIImages/Common/LeagueEvent","",""
1,"StandardFlag","Art/2DArt/UIImages/Common/LeagueStandard","",""
2,"HardcoreFlag","Art/2DArt/UIImages/Common/LeagueHardcore",1,""
3,"OnslaughtFlag","Art/2DArt/UIImages/Common/LeagueOnslaught","",""
4,"AnarchyFlag","Art/2DArt/UIImages/Common/LeagueAnarchy","",""
5,"VoidFlag","Art/2DArt/UIImages/Common/LeagueVoid","",""
6,"EventLargeStandard","Art/2DArt/UIImages/Common/LeagueEventLargeStandard","",""
7,"EventLargeHardcore","Art/2DArt/UIImages/Common/LeagueEventLargeHardcore",1,""
8,"DominationFlag","Art/2DArt/UIImages/Common/LeagueDomination","",""
9,"NemesisFlag","Art/2DArt/UIImages/Common/LeagueNemesis","",""
10,"AmbushFlag","Art/2DArt/UIImages/Common/LeagueAmbush","",""
11,"InvasionFlag","Art/2DArt/UIImages/Common/LeagueInvasion","",""
12,"RampageFlag","Art/2DArt/UIImages/Common/LeagueRampage","",""
13,"BeyondFlag","Art/2DArt/UIImages/Common/LeagueBeyond","",""
14,"TormentFlag","Art/2DArt/UIImages/Common/LeagueTorment","",""
15,"BloodlinesFlag","Art/2DArt/UIImages/Common/LeagueBloodlines","",""
16,"WarbandsFlag","Art/2DArt/UIImages/Common/LeagueWarbands","",""
17,"TempestFlag","Art/2DArt/UIImages/Common/LeagueTempest","",""
18,"TalismanStandard","Art/2DArt/UIImages/Common/LeagueTalisman","",""
19,"TalismanHardcore","Art/2DArt/UIImages/Common/LeagueTalismanHC",1,""
20,"PerandusStandard","Art/2DArt/UIImages/Common/LeaguePerandus","",""
21,"PerandusHardcore","Art/2DArt/UIImages/Common/LeaguePerandusHC",1,""
22,"ProphecyStandard","Art/2DArt/UIImages/Common/LeagueProphecy","",""
23,"ProphecyHardcore","Art/2DArt/UIImages/Common/LeagueProphecyHC",1,""
24,"EventCutthroatShort","Art/2DArt/UIImages/Common/LeagueEventCutthroatShort","",""
25,"EventCutthroatLong","Art/2DArt/UIImages/Common/LeagueEventCutthroatLong","",""
26,"EssenceStandard","Art/2DArt/UIImages/Common/LeagueEssence","",""
27,"EssenceHardcore","Art/2DArt/UIImages/Common/LeagueEssenceHC",1,""
28,"BreachStandard","Art/2DArt/UIImages/Common/LeagueBreach","",""
29,"BreachHardcore","Art/2DArt/UIImages/Common/LeagueBreachHC",1,""
30,"ClassicStandard","Art/2DArt/UIImages/Common/LeagueClassic","",""
31,"ClassicHardcore","Art/2DArt/UIImages/Common/LeagueClassicHC",1,""
32,"ClassicStandardSSF","Art/2DArt/UIImages/Common/LeagueClassicSSF","",1
33,"ClassicHardcoreSSF","Art/2DArt/UIImages/Common/LeagueClassicHCSSF",1,1
34,"StandardSSF","Art/2DArt/UIImages/Common/LeagueStandardSSF","",1
35,"HardcoreSSF","Art/2DArt/UIImages/Common/LeagueHardcoreSSF",1,1
36,"HarbingerStandard","Art/2DArt/UIImages/Common/LeagueHarbinger","",""
37,"HarbingerHardcore","Art/2DArt/UIImages/Common/LeagueHarbingerHC",1,""
38,"HarbingerStandardSSF","Art/2DArt/UIImages/Common/LeagueHarbingerSSF","",1
39,"HarbingerHardcoreSSF","Art/2DArt/UIImages/Common/LeagueHarbingerHCSSF",1,1
40,"AbyssStandard","Art/2DArt/UIImages/Common/LeagueAbyss","",""
41,"AbyssHardcore","Art/2DArt/UIImages/Common/LeagueAbyssHC",1,""
42,"AbyssStandardSSF","Art/2DArt/UIImages/Common/LeagueAbyssSSF","",1
43,"AbyssHardcoreSSF","Art/2DArt/UIImages/Common/LeagueAbyssHCSSF",1,1
44,"BestiaryStandard","Art/2DArt/UIImages/Common/LeagueBeastiary","",""
45,"BestiaryHardcore","Art/2DArt/UIImages/Common/LeagueBeastiaryHC",1,""
46,"BestiaryStandardSSF","Art/2DArt/UIImages/Common/LeagueBeastiarySSF","",1
47,"BestiaryHardcoreSSF","Art/2DArt/UIImages/Common/LeagueBeastiaryHCSSF",1,1
48,"IncursionStandard","Art/2DArt/UIImages/Common/LeagueIncursion","",""
49,"IncursionHardcore","Art/2DArt/UIImages/Common/LeagueIncursionHC",1,""
50,"IncursionStandardSSF","Art/2DArt/UIImages/Common/LeagueIncursionSSF","",1
51,"IncursionHardcoreSSF","Art/2DArt/UIImages/Common/LeagueIncursionHCSSF",1,1
52,"DelveStandard","Art/2DArt/UIImages/Common/LeagueDelve","",""
53,"DelveHardcore","Art/2DArt/UIImages/Common/LeagueDelveHC",1,""
54,"DelveStandardSSF","Art/2DArt/UIImages/Common/LeagueDelveSSF","",1
55,"DelveHardcoreSSF","Art/2DArt/UIImages/Common/LeagueDelveHCSSF",1,1
56,"BetrayalStandard","Art/2DArt/UIImages/Common/LeagueBetrayal","",""
57,"BetrayalHardcore","Art/2DArt/UIImages/Common/LeagueBetrayalHC",1,""
58,"BetrayalStandardSSF","Art/2DArt/UIImages/Common/LeagueBetrayalSSF","",1
59,"BetrayalHardcoreSSF","Art/2DArt/UIImages/Common/LeagueBetrayalHCSSF",1,1
60,"SynthesisStandard","Art/2DArt/UIImages/Common/LeagueSynthesis","",""
61,"SynthesisHardcore","Art/2DArt/UIImages/Common/LeagueSynthesisHC",1,""
62,"SynthesisStandardSSF","Art/2DArt/UIImages/Common/LeagueSynthesisSSF","",1
63,"SynthesisHardcoreSSF","Art/2DArt/UIImages/Common/LeagueSynthesisHCSSF",1,1
64,"LegionStandard","Art/2DArt/UIImages/Common/LeagueLegion","",""
65,"LegionHardcore","Art/2DArt/UIImages/Common/LeagueLegionHC",1,""
66,"LegionStandardSSF","Art/2DArt/UIImages/Common/LeagueLegionSSF","",1
67,"LegionHardcoreSSF","Art/2DArt/UIImages/Common/LeagueLegionHCSSF",1,1
68,"BlightStandard","Art/2DArt/UIImages/Common/LeagueBlight","",""
69,"BlightHardcore","Art/2DArt/UIImages/Common/LeagueBlightHC",1,""
70,"BlightStandardSSF","Art/2DArt/UIImages/Common/LeagueBlightSSF","",1
71,"BlightHardcoreSSF","Art/2DArt/UIImages/Common/LeagueBlightHCSSF",1,1
72,"MetamorphosisStandard","Art/2DArt/UIImages/Common/LeagueMetamorph","",""
73,"MetamorphosisHardcore","Art/2DArt/UIImages/Common/LeagueMetamorphHC",1,""
74,"MetamorphosisStandardSSF","Art/2DArt/UIImages/Common/LeagueMetamorphSSF","",1
75,"MetamorphosisHardcoreSSF","Art/2DArt/UIImages/Common/LeagueMetamorphHCSSF",1,1
76,"DeliriumStandard","Art/2DArt/UIImages/Common/LeagueDelirium","",""
77,"DeliriumHardcore","Art/2DArt/UIImages/Common/LeagueDeliriumHC",1,""
78,"DeliriumStandardSSF","Art/2DArt/UIImages/Common/LeagueDeliriumSSF","",1
79,"DeliriumHardcoreSSF","Art/2DArt/UIImages/Common/LeagueDeliriumHCSSF",1,1
