"rownum","Id","[i32]","[i32]","bool","[i32]","[i32]","i32","WorldAreasKey","i32","bool","i32"
0,"MissionFish",[34],[140],"",[],[0],-16843010,"",-16843010,"",41
1,"MissionZana",[308],[],"",[],[0],-16843010,"",-16843010,"",41
2,"StoneCircle",[446],[554],"",[],[8],-16843010,"",-16843010,"",41
3,"Shrine",[690],[],"",[],[8],-16843010,"",-16843010,"",41
4,"VaalSideArea",[804],[],"",[886],[0],-16843010,"",-16843010,"",41
5,"LabyrinthTrial",[950],[],"",[1070],"[0,3]",-16843010,"",-16843010,"",41
6,"ProphecyCrystalBoss","[1148,0]",[],"","[1456,0,1476,0]",[0],-16843010,"",-16843010,"",41
7,"ProphecyDarkTome",[1612],[],"",[],[0],-16843010,"",-16843010,"",41
8,"EssenceMonolith",[1794],[],"",[],[8],-16843010,"",-16843010,"",41
9,"IncursionPast",[1930],[],"",[],[0],-16843010,"",-16843010,"",41
10,"DelveMineralVein","[2102,0]",[],"",[],[3],-16843010,"",-16843010,"",41
11,"DelveMineralChest",[2384],[],"",[],[3],-16843010,"",-16843010,"",41
12,"BetrayalLaboratory",[2550],[2704],"",[2878],[0],-16843010,"",0,"",41
13,"BetrayalFortFallback",[2946],[3110],"",[],[0],-16843010,"",-16843010,"",41
14,"BetrayalFortSmall1",[3270],[3442],"",[],[0],-16843010,"",-16843010,1,41
15,"BetrayalFortMed1",[3598],[3768],"",[],[0],-16843010,"",-16843010,1,41
16,"BetrayalFortLarge1",[3928],[4100],"",[],[0],-16843010,"",-16843010,1,41
17,"SynthesisEncounter",[4260],[],"",[4376],[3],-16843010,"",-16843010,"",30
18,"SynthesisReward",[4434],[4548],"",[],[0],-16843010,"",-16843010,"",41
19,"LegionMonolith",[4734],[],"",[],[8],-16843010,"",-16843010,"",41
20,"BlightEncounter",[4886],[],"",[],[4],-16843010,"",-16843010,"",41
21,"HarvestEncounter",[5042],[],"",[5162],[0],-16843010,"",0,"",41
22,"UltimatumEncounter",[5226],[5346],"",[],[0],-16843010,"",-16843010,"",41
23,"ExpeditionEncounter",[5554],[],"",[],[0],-16843010,"",-16843010,"",41
24,"ExpeditionBossSideArea",[5716],[5852],"",[],"[0,3]",-16843010,"",-16843010,"",41
25,"ExpeditionSideArea",[6048],[6190],"",[],[8],-16843010,"",-16843010,"",41
26,"ExpeditionSideAreaCave",[6390],[6526],"",[],[8],-16843010,"",-16843010,"",41
27,"ExpeditionBossMedved",[6722],[6860],"",[],"[0,3]",-16843010,"",-16843010,"",41
28,"ExpeditionBossVorana",[7068],[7206],"",[],"[0,3]",-16843010,"",-16843010,"",41
