"rownum","Id","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","i32_16","Icon","i32_28","i32_32","Icon2","Name2","Name2 (French)","Name2 (German)","Name2 (Japanese)","Name2 (Korean)","Name2 (Portuguese)","Name2 (Russian)","Name2 (Spanish)","Name2 (Thai)","Name2 (Traditional Chinese)","IconCombined","Result","i32_68"
0,"IronOre","Crimson Iron Ore","Minerai de Fer écarlate","Bluteisen-Erz","深赤鉄鉱石","진홍철 광석","Minério Carmesim","Руда алого железа","Mineral de hierro carmesí","แร่เหล็กเลือดนก","緋紅鍛鐵礦材",4,"Art/2DItems/Currency/Settlers/CrismonIronOre.dds",0,200,"Art/2DArt/UIImages/InGame/Village/Mining/CrismonIronOre","Crimson Iron","Fer écarlate","Bluteisen","深赤鉄","진홍철","Ferro Carmesim","Алое железо","Hierro carmesí","เหล็กเลือดนก","緋紅鍛鐵","Art/2DItems/Currency/Settlers/CrismonIronCombined.dds",5,500
1,"CopperOre","Orichalcum Ore","Minerai d'Orichalque","Oreichalkos-Erz","オリハルコン鉱","오리칼쿰 광석","Minério de Oricálco","Орихалковая руда","Mineral de oricalco","แร่โอริคัลคุม","山銅礦材",5,"Art/2DItems/Currency/Settlers/DemonCopperOre.dds",0,175,"Art/2DArt/UIImages/InGame/Village/Mining/DemonCopperOre","Orichalcum","Orichalque","Oreichalkos","オリハルコン","오리칼쿰","Oricálco","Орихалк","Oricalco","โอริคัลคุม","山銅","Art/2DItems/Currency/Settlers/DemonCopperCombined.dds",6,500
2,"Amber","Petrified Amber Ore","\r\nMinerai d'Ambre pétrifié","Amberium-Erz","石化琥珀鉱","석화 호박 광석","Minério de Âmbar Petrificado","Окаменевший янтарь","Mineral de ámbar petrificado","แร่หินอำพัน","石化琥珀礦材",6,"Art/2DItems/Currency/Settlers/PetrifiedWoodOre.dds",3,133,"Art/2DArt/UIImages/InGame/Village/Mining/PetrifiedWoodOre","Petrified Amber","Ambre pétrifié","Amberium","石化琥珀","석화 호박","Âmbar Petrificado","Окаменевший янтарь","Ámbar petrificado","หินอำพัน","石化琥珀錠","Art/2DItems/Currency/Settlers/PetrifiedWoodCombined.dds",7,500
3,"BismuthOre","Bismuth Ore","Minerai de Bismuth","Bismuterz","蒼鉛鉱","비스무트 광석","Minério de Bismuto","Руда висмута","Mineral de bismuto","แร่บิสมัท","鉍礦材",9,"Art/2DItems/Currency/Settlers/BismuthOre.dds",5,84,"Art/2DArt/UIImages/InGame/Village/Mining/BismuthOre","Bismuth","Bismuth","Bismut","蒼鉛","비스무트","Bismuto","Висмут","Bismuto","บิสมัท","鉍","Art/2DItems/Currency/Settlers/BismuthCombined.dds",8,500
4,"VerisiumOre","Verisium Ore","Minerai de Vérisium","Verisiumerz","ヴァリシウム鉱","베리시움 광석","Minério de Verísio","Веризий-сырец","Mineral de verisium","แร่เวรีเซียม","維里西姆礦材",16,"Art/2DItems/Currency/Settlers/VerisiumOre.dds",7,52,"Art/2DArt/UIImages/InGame/Village/Mining/VerisiumOre","Verisium","Vérisium","Verisium","ヴァリシウム","베리시움","Verísio","Веризий","Verisium","เวรีเซียม","維里西姆","Art/2DItems/Currency/Settlers/VerisiumCombined.dds",9,500
5,"RefinedIron","Crimson Iron Bar","Lingot de Fer écarlate","Bluteisen-Barren","深赤鉄の延べ棒","진홍철 주괴","Lingote de Ferro Carmesim","Слиток алого железа","Lingote de hierro carmesí","แท่งเหล็กเลือดนก","緋紅鍛鐵錠",16,"Art/2DItems/Currency/Settlers/CrismonIronIngot.dds",0,0,"Art/2DArt/UIImages/InGame/Village/Mining/CrismonIronIngot","Crimson Iron","Fer écarlate","Bluteisen","深赤鉄","진홍철","Ferro Carmesim","Алое железо","Hierro carmesí","เหล็กเลือดนก","緋紅鍛鐵","Art/2DItems/Currency/Settlers/CrismonIronCombined.dds","",0
6,"RefinedCopper","Orichalcum Bar","Lingot d'Orichalque","Oreichalkos-Barren","オリハルコンの延べ棒","오리칼쿰 주괴","Lingote de Oricálco","Слиток орихалка","Lingote de oricalco","แท่งโอริคัลคุม","山銅錠",19,"Art/2DItems/Currency/Settlers/DemonCopperIngot.dds",0,0,"Art/2DArt/UIImages/InGame/Village/Mining/DemonCopperIngot","Orichalcum","Orichalque","Oreichalkos","オリハルコン","오리칼쿰","Oricálco","Орихалк","Oricalco","โอริคัลคุม","山銅","Art/2DItems/Currency/Settlers/DemonCopperCombined.dds","",0
7,"RefinedAmber","Petrified Amber Bar","Lingot d'Ambre pétrifié","Amberium-Barren","石化琥珀の延べ棒","석화 호박 주괴","Lingote de Âmbar Petrificado","Слиток твёрдого янтаря","Lingote de ámbar petrificado","แท่งหินอำพัน","石化琥珀錠",24,"Art/2DItems/Currency/Settlers/PetrifiedWoodIngot.dds",0,0,"Art/2DArt/UIImages/InGame/Village/Mining/PetrifiedWoodIngot","Petrified Amber","Ambre pétrifié","Amberium","石化琥珀","석화 호박","Âmbar Petrificado","Окаменевший янтарь","Ámbar petrificado","หินอำพัน","石化琥珀錠","Art/2DItems/Currency/Settlers/PetrifiedWoodCombined.dds","",0
8,"RefinedBismuth","Bismuth Bar","Lingot de Bismuth","Bismutbarren","蒼鉛の延べ棒","비스무트 주괴","Lingote de Bismuto","Слиток висмута","Lingote de bismuto","แท่งบิสมัท","鉍錠",37,"Art/2DItems/Currency/Settlers/BismuthIngot.dds",0,0,"Art/2DArt/UIImages/InGame/Village/Mining/BismuthIngot","Bismuth","Bismuth","Bismut","蒼鉛","비스무트","Bismuto","Висмут","Bismuto","บิสมัท","鉍","Art/2DItems/Currency/Settlers/BismuthCombined.dds","",0
9,"RefinedVerisium","Verisium Bar","Lingot de Vérisium","Verisiumbarren","ヴァリシウムの延べ棒","베리시움 주괴","Lingote de Verísio","Слиток веризия","Lingote de verisium","แท่งเวรีเซียม","維里西姆錠",64,"Art/2DItems/Currency/Settlers/VerisiumIngot.dds",0,0,"Art/2DArt/UIImages/InGame/Village/Mining/VerisiumIngot","Verisium","Vérisium","Verisium","ヴァリシウム","베리시움","Verísio","Веризий","Verisium","เวรีเซียม","維里西姆","Art/2DItems/Currency/Settlers/VerisiumCombined.dds","",0
