"rownum","BaseItemTypesKey","BK2File","BoxId","BundleId","bool","string","string"
0,6716,"Art/Videos/LightDarkBox_Opening.bk2","","","","",""
1,6718,"Art/Videos/LightDarkBox_Opening.bk2","","","","",""
2,6713,"Art/Videos/LightDarkBox_Opening.bk2","","","","",""
3,6714,"Art/Videos/LightDarkBox_Opening.bk2","","","","",""
4,6720,"Art/Videos/LightDarkBox_Opening.bk2","","","","",""
5,6722,"Art/Videos/LightDarkBox_Opening.bk2","","","","",""
6,6724,"Art/Videos/LightDarkBox_Opening.bk2","","","","",""
7,6726,"Art/Videos/LightDarkBox_Opening.bk2","","","","",""
8,6728,"Art/Videos/LightDarkBox_Opening.bk2","","","","",""
9,6730,"Art/Videos/LightDarkBox_Opening.bk2","","","","",""
10,6732,"Art/Videos/LightDarkBox_Opening.bk2","MysteryPackChaosVsOrderBox","MysteryPackChaosVsOrderBoxBundle","","",""
11,6735,"Art/Videos/FireIceBox_Opening.bk2","MysteryPackFireAndIceBox","MysteryPackFireAndIceBoxBundle","","",""
12,6738,"Art/Videos/InnocenceSinBox_Opening.bk2","MysteryPackSinAndInnocenceBox","MysteryPackSinAndInnocenceBoxBundle","","",""
13,6741,"Art/Videos/MysteryBox_Opening_Apocalypse.bk2","MysteryPackApocalypseBox","MysteryPackApocalypseBoxBundle","","",""
14,6744,"Art/Videos/MysteryBox_Opening_Oriathan.bk2","MysteryPackOriathanBox","MysteryPackOriathanBoxBundle","","",""
15,6747,"Art/Videos/MysteryBox_Opening_Corsair .bk2","MysteryPackFairgravesBox","MysteryPackFairgravesBoxBundle","","",""
16,6750,"Art/Videos/MysteryBox_Opening_Darkwood.bk2","MysteryPackGlimmerwoodBox","MysteryPackGlimmerwoodBoxBundle","","",""
17,6753,"Art/Videos/MysteryBox_Opening_Frontier.bk2","MysteryPackFrontierBox","MysteryPackFrontierBoxBundle","","",""
18,6756,"Art/Videos/MysteryBox_Opening_Carnival.bk2","MysteryPackCircusBox","MysteryPackCircusBoxBundle","","",""
19,6761,"Art/Videos/MysteryBox_Opening_Carnival.bk2","MysteryPackTencentChiyouBox","","","",""
20,6762,"Art/Videos/MysteryBox_Opening_Carnival.bk2","MysteryPackTencentGoddessBox","","","",""
21,6763,"Art/Videos/MysteryBox_Opening_Carnival.bk2","MysteryPackTencentJingweiBox","","","",""
22,6764,"Art/Videos/MysteryBox_Opening_Carnival.bk2","MysteryPackTencentGodOfThunderBox","","","",""
