"rownum","Id","i32","i32","i32","i32","rid","[rid]"
0,"ElderInfluenceSpawnTentacleFiend1A",2,100,1,16,"",[15599]
1,"ElderInfluenceSpawnTentacleFiend1B",2,33,11,16,"","[15599,15793]"
2,"ElderInfluencePortalPack1A",2,100,1,16,"",[15788]
3,"ElderInfluencePortalPack1B",2,33,11,16,"","[15788,15793]"
4,"ElderInfluencePortalPack2A",2,100,1,16,"",[15789]
5,"ElderInfluencePortalPack2B",2,33,11,16,"","[15789,15793]"
6,"ElderInfluencePortalPack3A",2,100,1,16,"",[15790]
7,"ElderInfluencePortalPack3B",2,33,11,16,"","[15790,15793]"
8,"ElderInfluenceTentacleMinionPack1A",2,100,1,16,"",[15791]
9,"ElderInfluenceTentacleMinionPack1B",2,33,11,16,"","[15791,15793]"
10,"ElderInfluenceTentacleMinions1A",2,100,1,16,"",[15792]
11,"ElderInfluenceTentacleMinions1B",2,33,11,16,"","[15792,15793]"
12,"ShaperInfluenceSpawnAnomaly1_1",1,100,1,16,"",[15588]
13,"ShaperInfluenceSpawnAnomaly1_2",1,33,11,16,"","[15588,15589]"
14,"ShaperInfluenceSpawnAnomaly2_1",1,10,1,16,0,[15588]
15,"ShaperInfluenceSpawnAnomaly2_2",1,10,1,16,1,[15588]
16,"ShaperInfluenceSpawnAnomaly2_3",1,10,1,16,2,[15588]
17,"ShaperInfluenceSpawnAnomaly2_4",1,10,1,16,3,[15588]
18,"ShaperInfluenceSpawnGolems1_1_1",1,100,1,16,"",[15590]
19,"ShaperInfluenceSpawnGolems1_1_2",1,33,11,16,"","[15590,15589]"
20,"ShaperInfluenceSpawnGolems1_2_1",1,10,1,16,0,[15590]
21,"ShaperInfluenceSpawnGolems1_2_2",1,10,1,16,1,[15590]
22,"ShaperInfluenceSpawnGolems1_2_3",1,10,1,16,2,[15590]
23,"ShaperInfluenceSpawnGolems1_2_4",1,10,1,16,3,[15590]
24,"ShaperInfluenceSpawnGolems2_1_1",1,100,6,16,"",[15591]
25,"ShaperInfluenceSpawnGolems2_1_2",1,33,11,16,"","[15591,15589]"
26,"ShaperInfluenceSpawnGolems2_2_1",1,10,6,16,0,[15591]
27,"ShaperInfluenceSpawnGolems2_2_2",1,10,6,16,1,[15591]
28,"ShaperInfluenceSpawnGolems2_2_3",1,10,6,16,2,[15591]
29,"ShaperInfluenceSpawnGolems2_2_4",1,10,6,16,3,[15591]
30,"ShaperInfluenceSpawnGolems3_1_1",1,100,6,16,"",[15592]
31,"ShaperInfluenceSpawnGolems3_1_2",1,33,11,16,"","[15592,15589]"
32,"ShaperInfluenceSpawnGolems3_2_1",1,10,6,16,0,[15592]
33,"ShaperInfluenceSpawnGolems3_2_2",1,10,6,16,1,[15592]
34,"ShaperInfluenceSpawnGolems3_2_3",1,10,6,16,2,[15592]
35,"ShaperInfluenceSpawnGolems3_2_4",1,10,6,16,3,[15592]
36,"ShaperInfluenceSpawnGolems4_1_1",1,100,6,16,"",[15593]
37,"ShaperInfluenceSpawnGolems4_1_2",1,33,11,16,"","[15593,15589]"
38,"ShaperInfluenceSpawnGolems4_2_1",1,10,6,16,0,[15593]
39,"ShaperInfluenceSpawnGolems4_2_2",1,10,6,16,1,[15593]
40,"ShaperInfluenceSpawnGolems4_2_3",1,10,6,16,2,[15593]
41,"ShaperInfluenceSpawnGolems4_2_4",1,10,6,16,3,[15593]
42,"ShaperInfluenceSpawnVoidAgent1_1_1",1,40,6,16,"","[15596,15594]"
43,"ShaperInfluenceSpawnVoidAgent1_1_2",1,15,11,16,"","[15596,15594,15589]"
44,"ShaperInfluenceSpawnVoidAgent1_2_1",1,20,6,16,0,"[15596,15594]"
45,"ShaperInfluenceSpawnVoidAgent1_2_2",1,20,6,16,1,"[15596,15594]"
46,"ShaperInfluenceSpawnVoidAgent1_2_3",1,20,6,16,2,"[15596,15594]"
47,"ShaperInfluenceSpawnVoidAgent1_2_4",1,20,6,16,3,"[15596,15594]"
48,"ShaperInfluenceSpawnVoidAgent2_1_1",1,40,6,16,"","[15597,15595]"
49,"ShaperInfluenceSpawnVoidAgent2_1_2",1,15,11,16,"","[15597,15595,15589]"
50,"ShaperInfluenceSpawnVoidAgent2_2_1",1,20,6,16,0,"[15597,15595]"
51,"ShaperInfluenceSpawnVoidAgent2_2_2",1,20,6,16,1,"[15597,15595]"
52,"ShaperInfluenceSpawnVoidAgent2_2_3",1,20,6,16,2,"[15597,15595]"
53,"ShaperInfluenceSpawnVoidAgent2_2_4",1,20,6,16,3,"[15597,15595]"
54,"ShaperInfluenceMaelstromCell1_1",1,12,6,16,"","[15598,15588]"
55,"ShaperInfluenceMaelstromCell1_2",1,12,11,16,"","[15598,15596]"
56,"ShaperSuperInfluenceSpawn1",3,100,1,16,0,"[15588,15589,20514]"
57,"ShaperSuperInfluenceSpawn2",3,100,1,16,1,"[15588,15589,20514]"
58,"ShaperSuperInfluenceSpawn3",3,100,1,16,2,"[15588,15589,20514]"
59,"ShaperSuperInfluenceSpawn4",3,100,1,16,3,"[15588,15589,20514]"
