"rownum","Id","rid","Portrait","TribeIcon","TribeName","FavourTracker","[rid]","Name","rid","rid","rid","rid","[rid]","rid","[rid]","i32","i32","i32","i32","rid"
0,"NoTribe",587,"Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/NavaliPortrait","Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/NavaliIcon","","Art/2DArt/UIImages/InGame/AncestralTrial/TradingPhase/NavaliFavourTracker",[],"","","","","",[],"",[],10,10,10,10,""
1,"Ngamahu",589,"Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/NgamahuTribeLeaderPortrait","Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/NgamahuTribeIcon","Ngamahu Tribe","Art/2DArt/UIImages/InGame/AncestralTrial/TradingPhase/NgamahuFavourTracker",[693],"Ngamahu",2169,1522,2332,2179,[9734],609,[9831],6,8,10,10,599
2,"Tasalio",590,"Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/TasalioTribeLeaderPortrait","Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/TasalioTribeIcon","Tasalio Tribe","Art/2DArt/UIImages/InGame/AncestralTrial/TradingPhase/TasalioFavourTracker",[],"Tasalio",2170,1523,2335,2180,[9735],610,[9832],6,6,6,10,600
3,"Arohongui",591,"Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/ArohonguiTribeLeaderPortrait","Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/ArohonguiTribeIcon","Arohongui Tribe","Art/2DArt/UIImages/InGame/AncestralTrial/TradingPhase/ArohonguiFavourTracker",[],"Arohongui",2171,1524,2336,2181,[9736],611,[9833],6,8,8,10,604
4,"Valako",592,"Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/ValakoTribeLeaderPortrait","Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/ValakoTribeIcon","Valako Tribe","Art/2DArt/UIImages/InGame/AncestralTrial/TradingPhase/ValakoFavourTracker",[],"Valako",2172,1525,2337,2184,[9737],612,[9834],8,10,8,8,603
5,"Hinekora",593,"Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/HinekoraTribeLeaderPortrait","Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/HinekoraTribeIcon","Hinekora Tribe","Art/2DArt/UIImages/InGame/AncestralTrial/TradingPhase/HinekoraFavourTracker",[],"Hinekora",2173,1526,2338,2185,[9738],613,[9835],10,8,8,10,608
6,"Tawhoa",594,"Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/TawhoaTribeLeaderPortrait","Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/TawhoaTribeIcon","Tawhoa Tribe","Art/2DArt/UIImages/InGame/AncestralTrial/TradingPhase/TawhoaFavourTracker",[],"Tawhoa",2174,1527,2339,2327,[9739],614,[9836],10,10,10,10,602
7,"Kitava",595,"Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/KitavaTribeLeaderPortrait","Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/KitavaTribeIcon","Kitava Tribe","Art/2DArt/UIImages/InGame/AncestralTrial/TradingPhase/KitavaFavourTracker","[1077,1085]","Kitava",2175,1902,2340,2328,[9740],615,[9837],8,10,10,8,601
8,"Ramako",596,"Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/RamakoTribeLeaderPortrait","Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/RamakoTribeIcon","Ramako Tribe","Art/2DArt/UIImages/InGame/AncestralTrial/TradingPhase/RamakoFavourTracker",[],"Ramako",2176,1971,2341,2329,[9741],616,[9838],10,8,8,8,606
9,"Tukohama",597,"Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/TukohamaTribeLeaderPortrait","Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/TukohamaTribeIcon","Tukohama Tribe","Art/2DArt/UIImages/InGame/AncestralTrial/TradingPhase/TukohamaFavourTracker",[],"Tukohama",2177,1987,2354,2330,[9742],617,[9839],6,8,10,8,607
10,"Rongokurai",598,"Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/RongokuraiTribeLeaderPortrait","Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/RongokuraiTribeIcon","Rongokurai Tribe","Art/2DArt/UIImages/InGame/AncestralTrial/TradingPhase/RongokuraiFavourTracker",[],"Rongokurai",2178,2068,2355,2331,[9743],618,[9840],6,6,10,6,605
