"rownum","rid_0","i32_16","bool_20"
0,36054,45,""
1,36055,48,""
2,36056,51,""
3,36057,54,""
4,36058,57,""
5,36059,60,""
6,36060,63,""
7,36061,45,""
8,36062,48,""
9,36063,51,""
10,36064,54,""
11,36065,57,""
12,36066,60,""
13,36067,63,""
14,36068,45,""
15,36069,48,""
16,36070,51,""
17,36071,54,""
18,36072,57,""
19,36073,60,""
20,36074,63,""
21,36075,45,""
22,36076,48,""
23,36077,51,""
24,36078,54,""
25,36079,57,""
26,36080,60,""
27,36081,63,""
28,36082,48,""
29,36083,51,""
30,36084,54,""
31,36085,57,""
32,36086,60,""
33,36087,48,""
34,36088,51,""
35,36089,54,""
36,36090,57,""
37,36091,48,""
38,36092,51,""
39,36093,54,""
40,36094,57,""
41,36095,48,""
42,36096,51,""
43,36097,54,""
44,36098,57,""
45,36099,48,""
46,36100,51,""
47,36101,54,""
48,36102,57,""
49,36107,45,""
50,36108,48,""
51,36109,51,""
52,36103,48,""
53,36104,51,""
54,36105,54,""
55,36106,57,""
56,36110,48,""
57,36111,51,""
58,36112,54,""
59,36113,57,""
60,36114,48,""
61,36115,51,""
62,36116,54,""
63,36117,57,""
64,36118,60,""
65,36119,63,""
66,36120,48,""
67,36121,51,""
68,36122,54,""
69,36123,48,""
70,36124,51,""
71,36125,54,""
72,36126,48,""
73,36127,51,""
74,36128,54,""
75,36129,48,""
76,36130,51,""
77,36131,54,""
78,36132,48,""
79,36133,51,""
80,36134,54,""
81,36135,48,""
82,36136,51,""
83,36137,54,""
84,36138,48,""
85,36139,51,""
86,36140,54,""
87,36141,48,""
88,36142,51,""
89,36143,54,""
90,36144,57,""
91,36145,51,""
92,36146,54,""
93,36147,57,""
94,36148,48,""
95,36149,51,""
96,36150,54,""
97,36151,57,""
98,36152,48,""
99,36153,51,""
100,36154,54,""
101,36155,57,""
102,36156,54,""
103,36157,54,""
104,36158,48,""
105,36159,51,""
106,36160,54,""
107,36161,51,""
108,36162,54,""
109,36163,57,""
110,36164,45,""
111,36165,48,""
112,36166,51,""
113,36167,51,""
114,36168,51,""
115,36169,51,""
116,36170,45,""
117,36171,48,""
118,36172,51,""
119,36173,45,""
120,36174,48,""
121,36175,51,""
122,36176,51,""
123,36177,54,""
124,36178,57,""
125,36179,60,""
126,36180,51,""
127,36181,54,""
128,36182,57,""
129,36183,100,""
130,36184,100,""
131,36185,100,""
132,36186,100,""
133,36187,100,""
134,36188,100,""
135,36189,100,""
136,36190,100,""
137,36191,100,""
138,36192,54,""
139,36193,57,""
140,36194,60,""
141,36195,54,""
142,36196,57,""
