"rownum","Event","i32_8","i32_12","i32_16","[i32]_20","[i32]_36","i32_52"
0,"Summoned",-1,500,100,[],[],2000
1,"Dismissed",-1,0,100,[],[],2000
2,"PlayerDied",-1,1000,100,[],[],0
3,"EnterHideout",-1,1000,100,[],[],0
4,"EnterHideoutLongCooldown",-2,1000,20,[],[],180000
5,"Idle3MinuteCooldown",0,0,5,[],[],180000
6,"Idle1MinuteCooldown",0,0,5,[],[],60000
7,"Idle",0,0,5,[],[],60000
8,"KillRareMonster",-2,500,5,[],[],180000
9,"KillUniqueMonster",1,500,100,[],[],90000
10,"DropUniqueItem",2,200,100,[],[],1000
11,"DropUniqueItemLongCooldown",2,200,100,[],[],60000
12,"DropMap",1,200,100,[],[35],1000
13,"DropDivCard",1,200,100,[],[42],1000
14,"DropChromatic",0,200,100,[19],[],1000
15,"DropGlassblowers",0,200,100,[17],[],1000
16,"DropJewellers",0,200,100,[21],[],1000
17,"DropChance",0,200,100,[7],[],1000
18,"DropFusing",0,200,100,[20],[],1000
19,"DropScouring",0,200,100,[12],[],1000
20,"DropAlchemy",0,200,100,[6],[],1000
21,"DropChisel",0,200,100,[25],[],1000
22,"DropRegret",0,200,100,[8],[],1000
23,"DropChaos",1,200,100,[2],[],1000
24,"DropRegal",1,200,100,[14],[],1000
25,"DropGemcutters",0,200,100,[18],[],1000
26,"DropBlessed",1,200,100,[23],[],1000
27,"DropDivine",3,200,100,[22],[],1000
28,"DropExalted",2,200,100,[13],[],1000
29,"DropEternal",3,200,100,[36],[],1000
30,"DropAnnulment",1,200,100,[211],[],1000
31,"DropMirror",-1,200,100,[5],[],1000
32,"DropLegionMarakethEmblem",4,200,100,[2897],[],1000
33,"DropLegionTemplarEmblem",4,200,100,[2899],[],1000
34,"EnterTown",-1,1000,100,[],[],0
35,"LevelUp",2,600,100,[],[],1000
36,"LoggedInWithPetEquipped",0,200,100,[],[],1000
37,"EnterPinnacleBossFight",0,200,100,[],[],1000
38,"EnterMap",1,200,50,[],[],1000
39,"EnterUnvisitedMapForTheFirstTimeThisLeague",-2,200,100,[],[],1000
40,"EnterHideoutFirstTimeThisLoginSession",0,200,100,[],[],1000
41,"KillPinnacleBoss",4,200,100,[],[],1000
42,"PlayerPerformedCraft",-1,200,2,[],[],30000
43,"PlayerPerformed6LinkOrChanceUnique",2,200,100,[],[],1000
44,"PlayerRevived",2,200,100,[],[],1000
45,"PlayerRevivedGreaterOrEqual200Times",2,200,100,[],[],1000
46,"PartyMemberDied",0,200,100,[],[],1000
47,"PlayerToPlayerTradeCompletedReceivedItem",0,200,100,[],[],1000
48,"PlayerToPlayerTradeCompletedPaidForItem",0,200,100,[],[],1000
49,"PlayerToPlayerTradeCompleted",0,200,100,[],[],1000
50,"AnotherPlayerEnteredOurHideout",0,200,100,[],[],1000
51,"EnterAnotherPlayersHideout",0,200,100,[],[],1000
52,"KillActBoss",0,200,100,[],[],1000
53,"KillAct5PlusActBoss",0,200,100,[],[],1000
54,"KillAct6PlusActBoss",0,200,100,[],[],1000
55,"PlayerOfferedMultipleQuestRewardChoices",-1,200,100,[],[],20000
56,"EnterLioneyesWatch",2,5000,100,[],[],1000
57,"EnterAct2",1,12000,100,[],[],1000
58,"EnterAct3",1,12000,100,[],[],1000
59,"EnterAct4",1,12000,100,[],[],1000
60,"EnterAct5",1,12000,100,[],[],1000
61,"EnterAct6",1,12000,100,[],[],1000
62,"EnterAct7",1,12000,100,[],[],1000
63,"EnterAct8",1,12000,100,[],[],1000
64,"EnterAct9",1,12000,100,[],[],1000
65,"EnterAct10",1,12000,100,[],[],1000
66,"KillNonActPantheonBoss",2,200,40,[],[],1000
67,"PlayerReturnedToHideout",3,1000,50,[],[],1000
68,"PlayerReturnedToHideoutAfterDeath",3,1000,50,[],[],1000
69,"MapPortalsOpened",1,200,50,[],[],1000
70,"EnterAct1Coast",1,3000,100,[],[],1000
71,"Bored",3,200,100,[],[],1000
72,"KillNormalMonster",0,200,30,[],[],180000
