"rownum","Id","[rid]_8","[rid]_24","[rid]_40","i32_56","bool_60","[i32]_61","i32_77","i32_81","i32_85","bool_89","string_90","[string]_98"
0,"MicrotransactionBreachHandOnKill","[2,3]",[],[],1,"","[50,100]",0,0,0,"","MicrotransactionRareUnique",[]
1,"MicrotransactionRareUnique","[2,3]",[],[],1,"",[],0,0,0,"","MicrotransactionRare",[]
2,"MicrotransactionRare",[2],[],[],1,"",[],0,0,0,"","MicrotransactionAllRarities",[]
3,"MicrotransactionAllRarities","[0,1,2,3]",[],[],1,"",[],0,0,0,"","MicrotransactionUnique",[]
4,"MicrotransactionUnique",[3],[],[],1,"",[],0,0,0,"","SandwraithMastodon",[]
5,"SandwraithMastodon","[0,1,2,3]",[],[],40,"",[],0,0,0,"","MicrotransactionCursedNormal20Percent",[]
6,"MicrotransactionCursedNormal20Percent",[0],[],[],1,"",[20],0,0,0,"","ˎ","[""ic""]"
7,"MicrotransactionCursedMagic",[1],[],[],1,"",[],0,0,0,"","ˎ","[""ic""]"
8,"MicrotransactionCursedRare",[2],[],[],1,"",[],0,0,0,"","ˎ","[""ic""]"
9,"MicrotransactionCursedUnique",[3],[],[],1,"",[],0,0,0,"","ˎ","[""ic""]"
