"rownum","Id","MiscAnimatedKey1","SpawnWeight","LevelMin","LevelMax","BuffDefinitionsKey","BuffStatValues","SpawnPatterns","ModsKey","[i32]","[i32]","MiscAnimatedKey2","EnvironmentsKey","i32","Achievements","Type","Description","DaemonSpawningDataKey","bool","i32"
0,"Fire1",4986,100,0,24,1644,"[25,20]",[4],[36524],[1],"[100,100,100,100]",5002,1226,4,[7468],"Infernal","Monsters deal extra Fire Damage and can Ignite \nMeteors fall from the sky",0,"",0
1,"Fire2",4986,100,25,45,1644,"[30,25]",[4],[36524],[1],"[100,100,100,100]",5002,1226,5,[7468],"Infernal","Monsters deal extra Fire Damage and can Ignite \nMeteors fall from the sky",0,"",0
2,"Fire3",4986,100,46,67,1644,"[35,30]",[4],[36524],[1],"[100,100,100,100]",5002,1226,5,[7468],"Infernal","Monsters deal extra Fire Damage and can Ignite \nMeteors fall from the sky",0,"",0
3,"Fire4",4986,100,68,77,1644,"[40,35]",[4],[36524],[1],"[100,100,100,100]",5002,1226,6,[7468],"Infernal","Monsters deal extra Fire Damage and can Ignite \nMeteors fall from the sky",0,"",0
4,"Fire5",4986,100,78,100,1644,"[50,40]",[4],[36524],[1],"[100,100,100,100]",5002,1226,6,[7468],"Infernal","Monsters deal extra Fire Damage and can Ignite \nMeteors fall from the sky",0,"",0
5,"Cold1",4987,100,10,24,1645,"[25,20]",[4],[36524],[1],"[100,100,100,100]",5003,1227,1,[7469],"Bitter","Monsters deal extra Cold Damage and can Freeze \nIcy Beams rotate",2,"",0
6,"Cold2",4987,100,25,45,1645,"[30,25]",[4],[36524],[1],"[100,100,100,100]",5003,1227,1,[7469],"Bitter","Monsters deal extra Cold Damage and can Freeze \nIcy Beams rotate",2,"",0
7,"Cold3",4987,100,46,67,1645,"[35,30]",[4],[36524],[1],"[100,100,100,100]",5003,1227,1,[7469],"Bitter","Monsters deal extra Cold Damage and can Freeze \nIcy Beams rotate",2,"",0
8,"Cold4",4987,100,68,77,1645,"[40,35]",[4],[36524],[1],"[100,100,100,100]",5003,1227,1,[7469],"Bitter","Monsters deal extra Cold Damage and can Freeze \nIcy Beams rotate",2,"",0
9,"Cold5",4987,100,78,100,1645,"[50,40]",[4],[36524],[1],"[100,100,100,100]",5003,1227,1,[7469],"Bitter","Monsters deal extra Cold Damage and can Freeze \nIcy Beams rotate",2,"",0
