"rownum","Id","BuffDefinitionsKey1","rid_24","StatValues","i32_56","[i32]_60","i32_76","i32_80","i32_84","Friendly_MonsterVarietiesKey","MiscObjectsKey","MiscAnimatedKey","BuffVisualsKey","Enemy_MonsterVarietiesKey","i32_168","i32_172","i32_176","BuffDefinitionsKey2","IsOnlySpawningNearPlayer","rid_197","rid_213","bool_229"
0,"crit_storm",423,"","[1,0]",0,[],0,0,5000,"",81,618,452,"",0,0,10000,"","","","",""
1,"crit_storm_normal",423,"","[1,0]",0,[],0,0,8000,"",81,618,452,"",0,0,10000,"","","","",""
2,"uber_crit_storm",424,"","[1,1,0]",0,[],-55,0,5000,"",81,618,452,"",0,0,15000,"","","","",""
3,"replenishing_storm",425,"","[600,600]",0,[],-35,0,5000,"",78,615,449,"",0,0,2000,"","","","",""
4,"echoing_storm",426,"","[50,50,1]",0,[],0,0,8000,"",76,611,447,"",0,0,20000,"","","","",""
5,"divine_storm",427,"",[1],0,[],-35,0,5000,"",73,610,422,"",0,0,5000,"","","","",""
6,"rarity_storm",428,"","[2500,1250,120,30]",0,[],-15,0,5000,"",73,610,422,"",0,0,5000,"","","","",""
7,"uber_rarity_storm",429,"","[5000,2500,420,70]",0,[],-35,0,5000,"",73,610,422,"",0,0,5000,"","","","",""
8,"massive_storm",431,"","[30,-30,50,0]",0,[],-35,0,5000,"",75,612,446,"",0,0,20000,"","","","",""
9,"massive_storm_normal",431,"","[30,-30,50,0]",0,[],-35,0,8000,"",75,612,446,"",0,0,20000,"","","","",""
10,"tiny_storm",432,"","[-30,30,-50]",0,[],-35,0,5000,"",74,613,445,"",0,0,5000,"","","","",""
11,"tiny_storm_normal",432,"","[-30,30,-50]",0,[],-35,0,8000,"",74,613,445,"",0,0,5000,"","","","",""
12,"fire_damage_storm",433,"","[50,50,100,0]",36,"[1,2,10]",-15,0,8000,"",83,620,455,"",0,0,20000,"","","","",""
13,"fire_damage_storm_normal",433,"","[50,50,100,0]",36,"[1,2,10]",-15,0,10000,"",83,620,455,"",0,0,15000,"","","","",""
14,"cold_damage_storm",434,"","[50,50,100,0,0]",36,"[1,2,10]",-15,0,8000,"",82,619,454,"",0,0,20000,"","","","",""
15,"cold_damage_storm_normal",434,"","[50,50,100,-50,0]",36,"[1,2,10]",-15,0,10000,"",82,619,454,"",0,0,15000,"","","","",""
