"rownum","Id","Part","string_12"," (French)"," (German)"," (Japanese)"," (Korean)"," (Portuguese)"," (Russian)"," (Spanish)"," (Thai)"," (Traditional Chinese)","i32_20","ActNumber","WorldPanelImage","WorldPanelImageEpilogue","i32_44","IsPostGame","i32_49","[rid]_53"
0,"Act1",0,"","","","","","","","","","",0,1,"Art/2DArt/UIImages/InGame/WorldPanelMapAct1","",0,"",1470,"[123,124]"
1,"Act2",0,"","","","","","","","","","",0,2,"Art/2DArt/UIImages/InGame/WorldPanelMapAct2","",0,"",1470,"[10,133]"
2,"Act3",0,"","","","","","","","","","",0,3,"Art/2DArt/UIImages/InGame/WorldPanelMapAct3","",0,"",1470,"[149,150]"
3,"Act4",0,"","","","","","","","","","",0,4,"Art/2DArt/UIImages/InGame/WorldPanelMapAct4","",0,"",1470,"[673,672]"
4,"Act5",0,"","","","","","","","","","",0,5,"Art/2DArt/UIImages/InGame/WorldPanelMapAct5","",0,"",1470,"[317,1040]"
5,"Act6",1,"","","","","","","","","","",0,6,"Art/2DArt/UIImages/InGame/WorldPanelMapAct6","",0,"",1470,"[1139,1138]"
6,"Act7",1,"","","","","","","","","","",0,7,"Art/2DArt/UIImages/InGame/WorldPanelMapAct7","",0,"",1470,"[1255,1254]"
7,"Act8",1,"","","","","","","","","","",0,8,"Art/2DArt/UIImages/InGame/WorldPanelMapAct8","",0,"",1470,"[1373,1374]"
8,"Act9",1,"","","","","","","","","","",0,9,"Art/2DArt/UIImages/InGame/WorldPanelMapAct9","",0,"",1470,"[1500,1501]"
9,"Act10",1,"","","","","","","","","","",0,10,"Art/2DArt/UIImages/InGame/WorldPanelMapAct10","",0,"",1470,"[1539,1538]"
10,"Epilogue",2,"","","","","","","","","","",0,11,"Art/2DArt/UIImages/InGame/WorldPanelMapAct11","Art/2DArt/UIImages/InGame/WorldPanelMapEpilogue2",0,"",1470,[1548]
11,"Atlas",2,"The Atlas of Worlds","L'Atlas des Mondes","Der Atlas der Welten","アトラス・オブ・ワールド","아틀라스의 세계","The Atlas of Worlds","Атлас миров","El Atlas de Mundos","แอตลาสสรรพโลก","異界輿圖",0,12,"Art/2DArt/UIImages/InGame/WorldPanelMaven","",0,1,1036,[59]
