"rownum","rid_0","[rid]_16","DDSFiles","i32_48","[i32]_52","i32_68","[f32]_72","bool_88","bool_89"
0,1478,"[1278,1295,2138,1279,1296,2139]","[""Art/2DArt/BuffIcons/BloodStance.dds"",""Art/2DArt/BuffIcons/BloodStance.dds"",""Art/2DArt/BuffIcons/BloodStance.dds"",""Art/2DArt/BuffIcons/SandStance.dds"",""Art/2DArt/BuffIcons/SandStance.dds"",""Art/2DArt/BuffIcons/SandStance.dds""]",0,[],0,[],"",""
1,1494,"[1278,1295,2138,1279,1296,2139]","[""Art/2DArt/SkillIcons/BloodArmour.dds"",""Art/2DArt/SkillIcons/BloodArmour.dds"",""Art/2DArt/SkillIcons/BloodArmour.dds"",""Art/2DArt/SkillIcons/SandArmour.dds"",""Art/2DArt/SkillIcons/SandArmour.dds"",""Art/2DArt/SkillIcons/SandArmour.dds""]",0,[],0,[],"",""
2,865,"[1278,1295,2138,1279,1296,2139]","[""Art/2DArt/SkillIcons/BloodLacerate.dds"",""Art/2DArt/SkillIcons/BloodLacerate.dds"",""Art/2DArt/SkillIcons/BloodLacerate.dds"",""Art/2DArt/SkillIcons/SandLacerate.dds"",""Art/2DArt/SkillIcons/SandLacerate.dds"",""Art/2DArt/SkillIcons/SandLacerate.dds""]",0,[],0,[],"",""
3,1475,"[1278,1295,2138,1279,1296,2139]","[""Art/2DArt/SkillIcons/BloodBladeStorm.dds"",""Art/2DArt/SkillIcons/BloodBladeStorm.dds"",""Art/2DArt/SkillIcons/BloodBladeStorm.dds"",""Art/2DArt/SkillIcons/SandBladeStorm.dds"",""Art/2DArt/SkillIcons/SandBladeStorm.dds"",""Art/2DArt/SkillIcons/SandBladeStorm.dds""]",0,[],0,[],"",""
4,1480,"[1278,1295,2138,1279,1296,2139]","[""Art/2DArt/SkillIcons/Bloodspears.dds"",""Art/2DArt/SkillIcons/Bloodspears.dds"",""Art/2DArt/SkillIcons/Bloodspears.dds"",""Art/2DArt/SkillIcons/Sandspears.dds"",""Art/2DArt/SkillIcons/Sandspears.dds"",""Art/2DArt/SkillIcons/Sandspears.dds""]",0,[],0,[],"",""
5,1481,"[1278,1295,2138,1279,1296,2139]","[""Art/2DArt/SkillIcons/Bloodspears.dds"",""Art/2DArt/SkillIcons/Bloodspears.dds"",""Art/2DArt/SkillIcons/Bloodspears.dds"",""Art/2DArt/SkillIcons/Sandspears.dds"",""Art/2DArt/SkillIcons/Sandspears.dds"",""Art/2DArt/SkillIcons/Sandspears.dds""]",0,[],0,[],"",""
6,1511,"[1387,1352]","[""Art/2DArt/SkillIcons/PlagueBearerMaxPoison.dds"",""Art/2DArt/SkillIcons/PlagueBearerUnleashing.dds""]",0,[],0,[],"",""
7,1623,[1568],"[""Art/2DArt/SkillIcons/CallOfSteelSkill2.dds""]",2,"[1996,0]",3,"[1.4,1.4,0.95,1.05]",1,1
8,1731,[1864],"[""Art/2DArt/SkillIcons/Chronomancer2.dds""]",0,[],0,[],"",""
9,1777,"[1278,1295,2138,1279,1296,2139]","[""Art/2DArt/BuffIcons/BloodStance.dds"",""Art/2DArt/BuffIcons/BloodStance.dds"",""Art/2DArt/BuffIcons/BloodStance.dds"",""Art/2DArt/BuffIcons/SandStance.dds"",""Art/2DArt/BuffIcons/SandStance.dds"",""Art/2DArt/BuffIcons/SandStance.dds""]",0,[],0,[],"",""
