"rownum","BaseItemType","i32","i32"
0,4818,30,105
1,4817,160,105
2,4717,150,131
3,4701,0,0
4,4820,30,105
5,4819,160,105
6,4738,150,131
7,4747,160,105
8,4657,15,3
9,4656,95,62
10,4658,200,0
11,4655,5,0
12,4822,160,131
13,4774,30,105
14,4773,160,105
15,4712,150,131
16,4811,210,234
17,4823,180,234
18,4807,150,131
19,4777,120,131
20,4735,250,131
21,4742,0,160
22,4741,0,160
23,4798,160,105
24,4778,120,131
25,4682,175,131
26,4737,200,131
27,4765,30,105
28,4768,160,105
29,4767,60,211
30,4828,0,0
31,4651,15,62
32,4650,25,62
33,4654,1100,235
34,4652,550,338
35,4647,65,62
36,4646,45,62
37,4736,450,340
38,4653,550,340
39,4698,0,0
40,4707,180,131
41,4669,0,0
42,4668,0,0
43,4667,0,0
44,4666,0,0
45,4665,0,0
46,4746,160,105
47,4729,150,131
48,4753,0,160
49,4706,150,131
50,4748,150,0
51,4821,160,0
52,4704,180,131
53,4705,100,131
54,4716,80,62
55,4784,320,211
56,4739,150,131
57,4690,80,62
58,4813,0,0
59,4814,0,0
60,4812,0,0
61,4800,30,105
62,4727,0,0
63,4772,160,0
64,4713,0,0
65,4801,160,105
66,4802,30,105
67,4743,30,105
68,4789,0,0
69,4703,150,131
70,4710,0,0
71,4709,0,0
72,4663,0,0
73,4662,0,0
74,4661,0,0
75,4660,0,0
76,4659,0,0
77,4752,0,0
78,4827,30,105
79,4766,30,105
80,4769,160,105
81,4754,160,105
82,4750,30,105
83,4788,0,0
84,4803,160,105
85,4804,30,105
86,4751,1,160
87,4761,0,0
88,4730,160,131
89,4702,120,131
90,4764,0,0
91,4745,0,0
92,4779,120,131
93,4731,190,235
94,4792,160,0
95,4780,160,235
96,4771,160,0
97,4678,0,0
98,4718,0,0
99,4720,0,0
100,4719,0,0
101,4722,0,0
102,4721,0,0
103,4675,0,0
104,4732,0,0
105,4714,220,235
106,4644,50,62
107,4643,20,62
108,4645,0,0
109,4642,45,62
110,4641,15,62
111,4640,55,62
112,4639,25,62
113,4673,250,235
114,4691,150,131
115,4681,250,131
116,4790,0,0
117,4793,0,0
118,4694,45,131
119,4734,55,131
120,4693,55,131
121,4755,160,105
122,4749,30,105
123,4787,0,0
124,4670,150,131
125,4785,30,105
126,4783,160,105
127,4760,0,0
128,4759,0,0
129,4758,0,0
130,4757,0,0
131,4756,0,0
132,4695,0,0
133,4806,150,235
134,4795,0,0
135,4794,350,0
136,4740,0,0
137,4708,120,131
138,4677,0,0
139,4836,0,0
140,4672,0,0
141,4744,30,105
142,4815,90,131
143,4824,160,105
144,4816,0,0
145,4799,160,105
146,4763,150,131
147,4680,25,3
148,4679,120,131
149,4826,160,105
150,4825,30,105
151,4830,0,0
152,4831,0,0
153,4700,100,44
154,4715,0,0
155,4762,260,338
156,4671,150,131
157,4684,80,62
158,4797,30,105
159,4726,180,235
160,4683,120,131
161,4696,120,0
162,4782,160,105
163,4786,30,105
164,4781,160,131
165,4724,190,235
166,4676,150,131
167,4728,30,62
168,4770,160,131
169,4674,250,235
170,4638,330,235
171,4637,550,340
172,4636,85,62
173,4711,250,131
174,4699,0,0
175,4776,30,105
176,4775,160,105
177,4809,0,0
178,4808,350,0
179,375,100,0
180,126,90,0
181,1915,110,217
182,1914,125,217
183,1892,110,217
184,1891,125,217
185,739,110,217
186,113,10,200
187,1383,125,217
188,1382,110,217
189,1699,115,200
190,424,90,62
191,829,110,270
192,98,75,200
193,306,110,131
194,1925,125,200
195,1237,95,131
196,803,95,0
197,1570,120,220
198,1328,100,131
199,1325,125,62
200,1289,120,0
201,1734,110,205
202,1869,120,205
203,1867,120,271
204,1740,125,270
205,1348,0,271
206,1435,110,200
207,99,95,131
208,136,100,200
209,131,95,200
210,129,25,62
211,116,95,200
212,1260,110,217
213,1261,125,217
214,1515,135,200
215,371,80,131
216,1698,120,200
217,2008,110,217
218,2007,125,217
219,364,100,200
220,516,100,131
221,441,95,200
222,1573,95,131
223,1324,110,131
224,849,125,131
225,627,125,131
226,623,120,131
227,1871,125,0
228,1329,125,131
229,132,90,62
230,1561,130,200
231,1563,0,0
232,1597,110,217
233,1601,125,217
234,103,80,0
235,374,90,131
236,1781,110,217
237,1780,125,217
238,1979,0,0
239,1736,125,205
240,1574,115,205
241,1275,110,217
242,1276,125,217
243,1934,120,270
244,1933,125,270
245,914,125,217
246,1795,110,217
247,1794,125,217
248,128,90,0
249,2031,110,217
250,2030,125,217
251,808,90,131
252,811,100,131
253,806,90,131
254,809,125,131
255,807,80,131
256,810,85,200
257,422,75,0
258,427,75,0
259,1414,95,0
260,738,125,0
261,135,65,0
262,423,75,0
263,719,90,0
264,410,90,131
265,448,125,131
266,1326,130,220
267,370,95,62
268,137,80,0
269,373,80,62
270,824,110,131
271,426,90,131
272,320,110,131
273,835,110,217
274,1486,110,217
275,1481,125,217
276,1872,0,220
277,115,35,62
278,470,120,131
279,107,15,62
280,532,110,131
281,472,120,200
282,804,110,131
283,428,75,131
284,372,90,131
285,520,110,131
286,779,125,217
287,106,90,200
288,1873,0,0
289,820,110,131
290,706,120,200
291,626,125,131
292,819,100,131
293,125,120,131
294,1323,115,160
295,522,100,0
296,523,100,131
297,425,95,131
298,307,95,131
299,1521,0,220
300,308,95,0
301,1327,130,0
302,521,100,131
303,408,90,131
304,778,125,131
305,740,110,217
306,827,115,0
307,828,95,62
308,826,110,131
309,815,95,0
310,823,125,0
311,825,90,0
312,1429,100,131
313,821,105,200
314,1612,110,217
315,1616,125,217
316,2096,0,269
317,2094,125,200
318,2095,125,269
319,2092,0,200
320,2093,125,200
321,2060,0,269
322,114,70,131
323,817,125,131
324,1966,115,0
325,1839,125,270
326,2076,0,0
327,2091,125,269
328,1827,125,200
329,832,125,200
330,2075,125,269
331,2074,125,269
332,1961,120,200
333,818,100,131
334,1972,125,200
335,2073,135,200
336,1975,120,200
337,1336,120,131
338,1439,125,200
339,842,95,220
340,843,130,200
341,1964,115,200
342,1977,135,200
343,1965,115,200
344,1562,125,131
345,1828,150,270
346,1968,125,200
347,1976,120,200
348,1967,0,271
349,1701,120,271
350,844,100,200
351,1759,0,0
352,1758,0,0
353,1757,0,0
354,1756,130,0
355,1974,0,0
356,1342,115,131
357,1874,0,0
358,526,90,220
359,1485,110,217
360,1480,125,217
361,333,100,131
362,519,120,131
363,518,100,131
364,1584,0,0
365,111,25,62
366,1973,115,0
