"rownum","Id","MonsterVarietiesKey","i32_24","rid_28","i32_44","bool_48"
0,"SkeletonMeleeFireTormentNecromancer",2367,145,"",1,""
1,"TormentMutilatorAnimatedWeapons","",8,"",1,""
2,"WbChaos2Skeleton",4528,145,"",1,""
3,"EssenceFleshmonsterSummonedOnDeath",5123,145,1044,2,1
4,"EssenceBloodworm",4394,145,"",1,""
5,"Essence Elemental Swarm 1st stage",418,145,113,4,1
6,"Essence Elemental Swarm 2nd stage",419,145,113,2,1
7,"Essence Elemental Swarm 3rd stage",420,145,113,2,1
8,"Essence Rock Golem",4656,145,"",1,1
9,"Essence Explosive Insect",1601,145,"",1,1
10,"Volatile Flameblood",5150,145,"",1,1
11,"Obsidian Golem",4329,145,"",1,1
12,"TormentedBetrayerBeacon",7678,145,"",1,""
13,"BlightDaemonFire",7992,145,113,1,""
14,"BlightDaemonCold",7994,145,115,1,""
15,"BlightDaemonLightning",7996,145,447,1,""
16,"BlightDaemonPhysical",7998,145,522,1,""
17,"BlightDaemonChaos",8000,145,1059,1,""
18,"MapVolatile",5162,145,"",1,""
19,"LegionVolatile",5153,145,"",1,""
20,"UberVolatile",5163,145,"",1,""
21,"UberElderNova",6254,145,"",1,""
