"rownum","MonsterPacksKey","i32_16","i32_20","i32_24","i32_28","i32_32","bool_36"
0,2496,75,0,0,0,0,""
1,2497,75,0,0,0,0,""
2,2498,75,0,0,0,0,""
3,2499,75,0,0,0,0,""
4,2500,75,0,0,0,0,""
5,2501,75,0,0,0,0,""
6,2502,75,0,0,0,0,""
7,2503,75,0,0,0,0,""
8,2504,75,0,0,0,0,""
9,2505,75,0,0,0,0,""
10,2506,75,0,0,0,0,""
11,2507,75,0,0,0,0,""
12,2508,75,0,0,0,0,""
13,2509,75,0,0,0,0,""
14,2510,75,0,0,0,0,""
15,2511,75,0,0,0,0,""
16,2512,75,0,0,0,0,""
17,2513,75,0,0,0,0,""
18,2514,75,0,0,0,0,""
19,2515,75,0,0,0,0,""
20,2516,75,0,0,0,0,""
21,2517,75,0,0,0,0,""
22,2518,75,0,0,0,0,1
23,2519,160,120,0,0,1,1
24,2520,75,0,0,0,0,""
25,2521,75,0,0,0,0,""
26,2522,75,0,0,0,0,""
27,2523,75,0,0,0,0,""
28,2524,75,0,0,0,0,""
29,2525,75,0,0,0,0,""
