"rownum","i32_0","[rid]_4","[rid]_20","i32_36","i32_40","bool_44","bool_45","bool_46","[rid]_47","i32_63","i32_67","i32_71","i32_75","i32_79","bool_83","i32_84","bool_88","bool_89","i32_90","i32_94","bool_98","bool_99","bool_100","i32_101","bool_105","bool_106","i32_107","i32_111","i32_115"
0,1,[2821],[],4,1,"","","",[],1,0,4,0,0,"",1792,"","",25,0,1,"","",0,"","",13,13,0
1,2,[2831],[],2,1,"","","",[],1,0,4,0,0,"",1792,"","",25,0,1,"","",0,"","",13,13,0
2,3,[2770],[],4,1,"",1,"",[],1,0,4,90,0,"",1792,"","",110,-65,1,"","",0,"","",13,13,0
3,4,[2770],[],4,1,"",1,1,[],1,0,4,-90,0,"",1792,"","",110,65,1,"","",0,"","",13,13,0
4,5,[2827],[],4,1,"",1,"",[],1,0,2,0,0,"",1792,"","",18,0,"","","",0,"","",13,13,0
5,6,[2828],[],4,1,"",1,"",[],1,0,2,0,0,"",1792,"","",18,0,"","","",0,"","",13,13,0
6,7,[2875],[],4,1,"",1,"",[],3,0,4,0,0,1,1792,"","",111,0,"","","",0,"","",13,13,0
7,8,[2920],[],4,1,"",1,"",[],1,0,4,0,0,"",1792,"","",20,0,"","","",0,"","",13,13,0
8,9,[2933],[],4,1,"",1,"",[],1,0,2,0,0,1,1792,"","",15,0,"","","",0,"","",13,13,0
9,10,"[3150,3151,3152]",[],4,1,"",1,"",[],1,0,2,0,0,"",1792,"","",55,0,"","","",0,"","",13,13,0
10,11,[3156],[],4,1,"",1,"",[],1,0,4,0,0,"",1792,"","",110,0,"","","",0,"","",13,13,0
11,12,[3170],[],4,1,"",1,"",[],1,0,2,0,0,"",1792,"","",27,0,"","","",0,"","",13,13,0
12,13,[3169],[],4,1,"",1,"",[],1,0,2,0,0,"",1792,"","",10,0,"","","",0,"","",13,13,0
13,14,[3174],[],4,1,"","","",[],1,0,4,0,0,"",1792,"","",25,0,1,"","",0,"","",13,13,0
14,15,[3175],[],4,1,"",1,"",[],3,0,4,0,0,1,1792,"","",111,0,"","","",0,"","",13,13,0
15,16,[3213],[],2,1,"","","",[],1,0,2,180,0,"",1792,"","",25,0,"","","",0,"","",13,13,0
16,17,[3287],[],4,1,"",1,"",[],4,11,4,0,0,"",1792,"","",20,0,"","","",0,"","",13,13,0
17,18,[3099],[],4,1,"",1,"",[],1,0,2,0,0,"",1792,"","",37,0,"","","",0,"","",13,13,0
18,19,[3322],[],4,1,"",1,"",[],1,0,2,0,0,"",1792,"","",37,0,"","","",0,"","",13,13,0
19,20,[3523],[],4,1,"",1,"",[],4,11,4,0,0,"",1792,"","",110,0,"","","",0,"","",13,13,0
20,21,[3522],[],2,1,"","","",[],1,0,2,0,0,"",1792,"","",27,0,1,"","",0,"","",13,13,0
21,22,[3546],[],3,1,"",1,"",[],3,0,4,0,0,1,1792,"","",111,0,"","","",0,"","",13,13,0
22,23,[3557],[],3,1,"",1,"",[],1,0,2,0,0,1,1792,"","",18,0,"","","",5500,"","",13,13,0
23,24,[3683],[],4,1,"",1,"",[],1,0,4,0,0,1,1792,"","",14,0,"","","",0,"","",13,13,0
24,25,"[3729,3730,3731]",[],4,1,"",1,"",[],1,0,2,0,0,"",1792,"","",55,0,"","","",0,"","",13,13,0
25,26,"[3733,3734,3735]",[],4,1,"","","",[],1,0,2,0,0,"",1792,"","",40,0,"","","",0,"","",13,13,0
26,27,[3833],[],4,1,"",1,"",[],1,0,2,0,0,1,1792,"","",27,0,"","","",5500,"","",13,13,0
27,28,[3871],[],3,1,"",1,"",[],3,0,2,0,0,1,1792,"","",60,0,"","",1,0,"","",13,13,0
28,29,[3843],[],4,1,"",1,"",[],1,0,7,0,0,1,1792,"","",11,0,"","","",0,"","",13,13,0
29,30,[4147],[],2,1,"",1,"",[],3,0,2,0,0,"",1792,"","",23,0,"","",1,0,"",1,13,13,0
30,31,[4329],[],3,1,"",1,1,[],3,0,4,-10,0,"",1792,"","",30,0,"","",1,0,"",1,13,13,0
31,32,[4215],[],3,1,"",1,"",[],3,0,4,10,0,"",1792,"","",30,0,"","",1,0,"",1,13,13,0
32,33,[4320],[],2,1,"",1,"",[],1,0,7,0,0,"",1792,"","",12,0,1,"","",0,"",1,13,13,0
33,34,[4362],[],4,1,"","","",[],1,0,5,0,0,"",1792,"","",37,0,"","","",0,"","",13,13,0
34,35,[4792],[],2,1,"",1,"",[],1,0,7,0,0,"",1792,"","",12,0,1,"","",0,"",1,13,13,0
35,36,[4778],[],4,1,"",1,"",[],1,0,7,0,0,1,1792,"","",28,0,"","",1,0,"",1,13,13,0
36,37,[4819],[],4,1,"","","",[],1,0,2,0,0,"",1792,"","",20,0,"","","",0,"",1,13,13,0
37,38,[4899],[],3,1,"",1,"",[],1,0,7,0,0,1,1792,"","",20,0,"","","",0,"",1,13,13,0
38,39,[4961],[],4,1,"",1,"",[],1,0,7,0,0,"",1792,"","",20,0,"","",1,0,"",1,13,13,0
39,40,[5052],[],4,1,"",1,"",[],1,0,7,0,0,"",1792,"","",20,0,"","",1,0,"",1,13,13,0
40,41,[5053],[],4,1,"",1,"",[],1,0,7,0,0,"",1792,"","",20,0,"","",1,0,"",1,13,13,0
41,42,[5015],[],4,1,"",1,"",[],1,0,7,0,0,"",1792,"","",20,0,"","",1,0,"",1,13,13,0
42,43,[5016],[],4,1,"",1,"",[],1,0,7,0,0,"",1792,"","",12,0,"","",1,0,"",1,13,13,0
43,44,[5146],[],4,1,"",1,"",[],1,0,7,0,0,1,1792,"",1,15,0,"","","",0,"",1,13,13,0
44,45,[5183],[],2,1,"","","",[],1,0,4,180,0,"",1792,"",1,85,0,"","",1,0,1,1,13,13,0
45,46,[5181],[],3,1,"","","",[],4,0,2,0,0,"",1792,"","",35,0,"","",1,0,1,1,13,13,0
46,47,[5125],[],3,1,"",1,"",[],3,0,4,0,0,1,1792,"",1,161,0,"","",1,0,1,1,13,13,0
47,48,[5375],[],4,1,"",1,"",[],3,0,13,0,0,"",1792,"","",130,0,"","","",0,"",1,4,11,0
48,49,[5583],[],4,1,"","","",[],1,0,2,0,0,"",1792,"",1,18,0,"","","",0,"","",13,13,0
49,50,[5592],[],4,1,"",1,"",[],3,0,2,0,0,"",1792,"","",27,-20,"","",1,0,"",1,13,13,0
50,51,[5620],[],4,1,"",1,"",[],3,0,2,0,0,"",1792,"","",27,-20,"","",1,0,"",1,13,13,0
51,52,[5736],[],4,1,"","","",[],1,0,2,0,0,"",1792,"",1,75,0,"","","",0,"","",13,13,0
52,53,[5759],[],4,1,"",1,"",[],1,0,7,0,0,1,1792,"","",12,0,1,"","",0,1,1,13,13,0
53,54,[5762],[],4,1,"",1,"",[],1,0,7,0,0,1,1792,"","",36,0,1,"","",0,1,1,13,13,0
54,55,[5791],[],2,1,"",1,"",[],1,0,2,0,0,1,1792,"",1,108,0,"","","",0,1,"",13,13,0
55,56,[6078],[],3,1,"",1,"",[],1,0,13,0,0,"",1792,"","",35,0,1,"","",0,"","",4,3,0
56,57,[6291],[],4,0,"","","",[],1,0,2,0,0,"",1792,"","",20,0,"","","",0,"","",13,13,0
57,58,[6292],[],4,0,"","","",[],1,0,2,0,0,"",1792,"","",20,0,"","","",0,"","",13,13,0
